,result
25,"In a small saucepan over medium heat, combine ice, bacardi limon, lemonade, lemon concentrate, lime, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate, lemon concentrate,"
26,"In sieve, drain berries and pineapple over a bowl. Press the fruit with spoon until you have 2 cups juice. In med bowl, dissolve the gelatin in the boiling water. Stir in the 2 cups of juice, the fruit, and the sour cream until blended well. Pour into serving bowl and chill until firm."
27,"Place the mangoes, chilies, and ginger in a large pan. Add the lemon rind and juice, and stir in the water. Bring to a boil, and boil for 10 minutes or until a thick consistency is reached. Stir in the sultanas and balsamic. Cook for an additional 5 minutes. Let cool slightly, and pour into warm sterilized jars. Seal according to manufacturers directions."
28,"Preheat oven to 325f. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on wire rack."
29,"Preheat oven to 450 degrees. Grease a 12 cup muffin pan or you can use a mini muffin pan. Combine cornmeal, flour, baking powder and salt in a large bowl. In a separate bowl, combine egg whites, onion, milk, parsley, oil and pepper. Add to dry ingredients stirring just until moistened. Spoon into prepared muffin tins. Bake for 10-12 minutes or until lightly browned. Remove and cool on a rack for 5 minutes."
30,"Preheat oven to 350. In a small bowl combine the challah, brie cheese, fresh basil, tomatoes, butter, salt & fresh ground pepper, hoagie rolls, giardiniera. Add parmesan. Mix well. Bake until heated through, about 10-15 minutes. Unwrap and slice. Bake"
31,"Preheat oven to 200c. Sprinkle olive oil over the base of the baking dish. Lay cutlets in the dish, rubbing them with the oil. Cover cutlets with crushed garlic, mustard and rosemary, then season with the salt and pepper. Place in the oven and cook for 25-30 minutes, turning once, until the cutlets ar browned and crispy. If desired, serve on a bed of couscous with your favourite steamed vegetables."
32,"Preheat oven to 450 degrees f. Heat 2 large roasting pans in the oven for 5 minutes. Meanwhile, in a large bowl, toss the zucchini with the olive oil and crushed red pepper. Season generously with salt and pepper. Spread the zucchini on the hot pans and roast for 30 minutes without stirring, until the rounds are tender and their bottom are golden. Transfer to a platter, garnish with mint and serve."
33,"Combine the mustard, sugar, olive oil, mayonnaise, stone ground mustard, prepared mustard, garlic powder, dill weed, salt and pepper in a saucepan and whisk to mix. Bring to a simmer over low heat and cook gently, uncovered, until richly flaovred, about 5 minutes, whisking from time to time. Remove from heat and season to taste with salt and pepper. Transfer to a serving bowl and serve warm or at room temperature. The glaze will keep, tightly covered in the refrigerator, for several weeks."
34,"Heat oil and butter in a 12-inch skillet over medium-high heat. When butter has melted, add half of the asparagus to the skillet with. Using tongs, distribute spears in an even layer. Cover skillet. Cook until asparagus is bright green and still crisp, about 5 minutes. Uncover, increase heat to high and season asparagus with salt and pepper to taste. Cook until spears are tender and well-browned along one side, 5 - 7 minutes, using tongs to occasionally move spears from the center of the pan to the edge of the pan to ensure all are browned. Transfer to serving dish, adjust seasonings as needed and, if desired, squeeze lemon over spears. Serve immediately."
35,"Preheat oven to 350. Grease 9 x 13 pan. Fry peppy egg strata, breaking it up as it cooks then drain on paper towels. Tear bread into bite-sized pieces and place in pan. Sprinkle cooked egg and cheese evenly over bread. In a medium bowl, combine eggs, salt, worcestershire sauce and milk, and whisk together with wire whisk until combined. Pour over bread mixture then sprinkle bacon over top. Bake 35-40 minutes at 350, checking bacon after 25 minutes- if it looks too brown, cover with foil for rest of cooking time. This can be prepared up to the night before."
36,"Place fish on a broiler rack that has been coated with a non-stick cooking spray. Brush tops of fish with 3 tablespoons of the butter or margarine. Dust with flour. Sprinkle with paprika. Broil 5-6 inches from the heat for 5 minutes or until fish just begins to brown. Combine lemon juice, parsley, worcestershire sauce and remaining butter. Pour over the fish. Broil 5 minutes longer or until fish flakes easily with a fork."
37,"Preheat oven to 375 degrees. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
38,"Preheat oven to 350 f degrees. Beat cream cheese, marshmallow creme, eggs, and flour until smooth. Pour into graham cracker pie shell. Bake for 45 minutes or until edges are brown. Turn oven off and let cheesecake cool in oven for 1 hour. Remove to wire rack to cool. Refrigerate for at least 4 hours before serving."
39,"In a large saucepan, bring broth and water to boil. Add orzo. Cook and stir for 5 minutes. Add asparagus. Cook, uncovered, over medium heat 4-6 minutes or until pasta and asparagus are tender, stirring frequently. Drain. Stir in parmesan cheese and caesar dressing."
40,"Combine the coleslaw mix and onion in a large bowl. Whisk together the mustard, white vinegar, and salt in a medium bowl. Blend thoroughly. Pour dressing mixture over coleslaw mix and toss to coat. Chill at least 2 hours before serving."
41,"Heat olive oil in a small pan and fry chili for 3-4 minutes over a low heat. Stir in chopped red pepper. Drain sweet potato and garlic and mash with 2 tbsp cream cheese and milk, adding more if needed. Stir red pepper, chili and coriander into mash. Add salt and black pepper to taste."
42,"Heat a saute pan on medium high heat. Add in garlic, butter, wine, and half and half. Cook for 10 minutes or until reduced by half. Add in the fresh basil and the clams. Cook for an additional 5 minutes. Portion a half cup of capellini on each plate, top each plate with equal portions of the clam sauce. Garnish with parmesean cheese and chopped fresh parsley and enjoy."
43,"Heat oil on medium high heat in large skillet or frying pan. Preheat oven to 350 degrees f. In a shallow bowl, blend together bread crumbs, parmesan cheese, parsley, salt, and pepper. In a small saucepan, heat butter and garlic over very low heat until butter melts. Remove from heat. Brush chicken pieces with garlic butter, then roll in bread crumb mixture to coat. Place chicken skin side up on a large foil-lined baking sheet. Mix together any remaining crumb mixture and butter and sprinkle over chicken. Place in oven and bake 1 hour."
44,"Preheat oven to 350f, grease cookie sheets. Cream butter with sugar and egg. Stir in everything else. Drop spoonfulls onto the cookie sheets with room for them to expand. Bake 12 min or until light brown."
45,"Preheat oven to 350 degrees. Line a rimmed baking sheet with parchment paper. Peel and trim carrots and slice lengthwise into thin halves or quarters. Toss carrots in bowl with olive oil, rosemary and salt. Roast at 350 for 30 minutes, stirring half way through. Turn up oven to 425 and roast ten minutes longer or until the ends of the carrots begin to turn black. When carrots are almost done, melt apricot jam in microwave for 15-30 seconds. Remove carrots from oven, place in bowl and toss warm carrots with melted apricot jam. Toss with a little more rosemary if desired."
46,"Preheat oven to 450 degrees f. Combine the biscuit mix, cheese, sesame seed and half and half in a bowl and mix well. Shape into balls and place on a greased baking sheet, flaten slightly with palm of hand. Brush with the melted butter. Bake for 10 to 12 minutes or until lightly browned."
47,"Preheat oven to 325 degrees f. In a large, heavy skillet over medium-high heat, brown ground beef, and drain fat. Mix in dry taco seasoning. Spoon browned meat into a 9x13 inch glass baking dish. Spoon a layer of refried beans over meat, then salsa. Top with shredded cheese. Bake about 20 to 25 minutes in the preheated oven."
48,"Preheat oven to 325f. In a large mixing bowl combine cereal, wheat flour, and flour. Set aside. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on a wire rack."
49,"Heat oil in 3-quart saucepan over medium-high heat. Cook turkey, onion, chilies and garlic in oil, stirring occasionally, until turkey is no longer pink in center and onion is tender. Stir in remaining ingredients. Heat oil in 3-quart saucepan over medium-high heat. Cook turkey, onion, chilies"
50,"In a 4-quart dutch oven cook potatoes in enough boiling water to cover for 20 to 25 minues or until just tender. Drain. Cool slightly. Peel and coarsely shred or finely chop potatoes. Preheat oven to 350 degrees. In large bowl stir together sour cream, soup, cheese, melted butter, onion, salt and pepper. Gently stir in potatoes. Transfer to greased 3-quart rectangular baking dish. Sprinkle with cornflakes. Bake, covered, for 40 minutes. Uncover, bake about 15 minutes more until golden."
51,"Heat oil in medium saute pan or saucepan over medium-high heat. Add lentils, water, salt, black pepper, cumin, cayenne, and dash of cayenne to the lentils, stir, cover and simmer for about 5-10 minutes or until water is absorbed. Place lentils and lentils in serving dish and garnish with 4 tablespoons of reserved browned onions. This recipe is best when served with tomatoe salad. See my recipe for tomatoe salad."
52,"In a large saucepan, melt the butter and peanut butter. Remove from the heat. Add sugar and flour. Stir in the eggs and vanilla. Spread into a greased 9 x 5 loaf pan and bake at 350 for 60 to 70 minutes or until a toothpick inserted in the center comes out clean. Cool for 10 minutes before removing from pan to cool on a wire rack."
53,"Heat oil with cornstarch in saucepan over medium-high heat. Cook for 1 minute. Add in chicken pieces and can of green chilies. Mix well and add cream cheese. Cook over low heat until cream cheese melts. Put mixture in a 13 x 9 baking pan, top with 1 cup of grated cheese pour the whipping cream over the top and then put the last cup of grated cheese over that. Bake at 350 for 35 minutes or so, checking to make sure the cheese gets bubbly, not burnt."
54,"Preheat oven to 425f. Combine all the ingredients except the potatoes and cheese over high heat. Mix well. Bake for 5 to 8 minutes, or until heated through, stirring frequently. Remove from the heat and and put into a deep cassarole dish. Dollop with the potatoes. Bake at 375 for 35 minutes. Cover with grated cheese last 10 minutes of cooking. Serve immediately."
55,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheese. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
56,"Preheat oven to 350f. In a large bowl, cream margarine and brown sugar together. Beat in eggs one at a time. Add vanilla. Sift dry ingredients together. Add to wet mixture. Stir in chocolate chips. Do not overmix. Drop onto a greased cookie sheet. Bake for 10 to 12 minutes."
57,Heat oven to 350 degrees F. Place pasta in a large saucepan over medium-high heat. Bring to a boil. Reduce heat to low and simmer for 10 minutes. Remove from heat and stir in parsley. Serve over pasta topped with parmesan cheese.
58,"Cook the macaroni until done as usual. Do not overcook it. Drain macaroni in strainer. Place macaroni, butter, salt, pepper, milk, mozzarella cheese, and 3 cups of cheddar cheese in casserole dish. Mix eggs in a bowl first and then stir into mixture. Cover everything with aluminum foil and cook for 45 minutes at 350 degrees. Uncover and add extra cup of cheddar cheese across the top. Bake uncovered for another 15 minutes."
59,"In a rice pot or large saucepan, cook the ground beef, onion, garlic, dried italian herb seasoning, stewed tomatoes, beef broth, frozen mixed vegetables, conchiglie, parsley, salt and pepper. Bring to a boil, add the water-mixed beef broth or beef cube and bring to a boil. Reduce the heat to medium and simmer, partially covered for 15 minutes so the flavors can blend. Add the vegetables and conchiglie. Simmer uncovered over medium heat until they are tender, maybe 10 minutes. Season the soup with salt and pepper and stir in the parsley."
60,"In a large wok, heat oil with red pepper flakes over medium-high heat. Stir in green beans. Cook, stirring frequently, for 1 to 2 minutes. Stir in garlic and ginger. Cook, stirring frequently, for 3 to 4 minutes. Season with salt and pepper, and then stir in black bean sauce. Cover and continue cooking until green beans are tender, about 10 minutes. Sprinkle with sesame seeds before serving."
61,"Heat olive oil in a large skillet over medium-high heat. Add garlic, salt, and red pepper flakes. Add tomatoes and spinach. Mix well until heated through. Serve over spaghetti or mix it all up."
62,"Preheat oven to 425 degrees f. Coat a 10- by 15-inch rimmed baking sheet with nonstick cooking spray. Place the chicken breasts on the baking sheet. In a small bowl, combine the remaining ingredients. Mix well. Spread the mixture evenly over the chicken breasts. Bake for 12 to 15 minutes, or until the topping is golden and no pink remains in the chicken."
63,"Cream butter and sugar until light and fluffy. Dissolve baking soda in boiling water and add to creamed mixture. Add vanilla, soda mixture, oatmeal, and flour. Roll into balls and press down with glass dipped in flour. Press a quarter of a maraschino cherry in center. Bake 350f for 8-9 minutes."
64,"In a small bowl, combine water and sugar until sugar is dissolved. Place the lemon, lemon juice and sugar mixture into a blender and process for 1 minute or until blended. Cover and freeze for 3 hours or until almost firm. Transfer to a blender and process again for 30-40 seconds or until slushy. Cover and freeze over night. Remove from freezer just before serving. Using a fork, scrape into 2 dessert dishes."
65,"In a large skillet combine carrots, water, and 1 tablespoon of the butter. Cover and cook for 6 to 8 minutes or until carrots are nearly tender. Drain. Return to skillet. In a large skillet combine carrots, water, and 1 tablespoon of the butter"
66,"Cook pasta according to directions on package, drain and cool by running cool water over it. Let drain thoroughly. Combine pasta with peppers, carrots and parsley. Add vinaigrette and mix well. Add feta cheese, mix lightly, lifting the pasta and cheese mixture until the cheese is distributed throughout. Chill for an hour before serving."
67,"Cook sausage, ground beef and onion in large pan until brown, adding worcestershire, oregano and garlic powder. Reduce heat and blend in cheese. Mix thoroughly. Spread on slices of rye bread. Place on a baking sheet with wax paper between layers and freeze. When frozen, put in a ziploc bag and store in freezer until ready to use. Bake at 325 for 15 - 20 minutes."
68,"Preheat oven to 425 degrees f. Combine breadcrumbs, basil, parmesan cheese, salt, egg, eggplants, olive oil, buns, pasta sauce, part-skim mozzarella cheese. Place eggplant on parchment paper-lined baking sheet, drizzle with olive oil and bake for 15 minutes. Transfer baked eggplant to clean plate and discard parchment paper. Set toasted buns halves, cut side down, on baking sheet. Divide eggplant slices evenly among bun halves, spoon on sauce and top with cheese. Place under broiler for 2 minutes until cheese is bubbling."
69,"Preheat oven to 350 degrees. Spray a loaf pan with cooking spray. In a bowl gently mix all your ingredients until well combined. Transfer meat mixture in loaf pan and gently press down. Bake until internal temperature reaches 180 degrees, about 1 hour and 15 minutes. As an option you can brush the top of the meatloaf with a little extra wing sauce when you pull it out of the oven to give it a better appearance."
70,"Preheat oven to 350 degrees. In a large skillet over medium high heat, saute the beef and onion for 5 to 10 minutes, or until meat is browned and onion is tender. Drain fat. Add the celery, chili, tomatoes, taco sauce and corn. Heat thoroughly, reduce heat to low and allow to simmer. Meanwhile, prepare the noodles according to package directions. When cooked, place them in a 9x13 inch baking dish. Pour the meat mixture over the noodles, stirring well. Top with the cheese. Bake at 350 degrees f for 25 minutes, or until cheese is completely melted and bubbly."
71,"Preheat oven to 350 degrees. Preheat oven to 400 f. Combine the oil, garlic, sugar, cumin, salt, cinnamon, and carrots in a shallow baking pan. Roast 20 minutes or until fork-tender. Remove from oven and add the raisins, lemon juice, and parsley. Toss well."
72,"Preheat oven to 350f. In a large mixing bowl, cream butter and sugar. Add eggs and vanilla, mix well. Gradually beat in the flour mixture then add chocolate chips. Drop dough by rounded tablespoonfuls onto greased baking sheets. Bake 10-12 minutes. Let cookies rest on baking sheets for 2 minutes before removing with a spatula to wire racks to cool completely."
73,"Cook pasta until al dente. Combine avocado, garlic, lemon juice and cilantro in a food processor. Process about 1 minute or until smooth. Stir in chopped tomatoes. Drain pasta and pour pesto over it tossing well. Sprinkle with parmesan cheese."
74,"Preheat oven to 350 degrees f. Place fish fillets in a greased shallow baking dish. In a small bowl, combine sour cream, parmesan cheese, lemon juice, onion, and salt. Spread over fillets. Sprinkle with paprika. Bake 20-25 minutes or until fillets flake easily with a fork."
75,"Heat oven to 425 degrees. Stir together honey, butter and crumbled bacon in a small bowl until smooth and set aside. Place carrots and water into an ungreased 9-by-9-inch baking dish, cover with foil and bake 30 minutes. Remove foil and stir in butter mixture. Bake another 15 minutes, stirring occasionally. Bake another 15 minutes,"
76,"Heat oil in skillet on med, add peas, cook until soft. Add peas. Cook until peas are heated through. Stir in celery leaves, salt and pepper."
77,"Heat oven to 350 degrees. Spray muffin tin with non-stick cooking spray. Add one cracked egg to each tin and whisk the yolk. Add your toppings, saving the cheese for last. Bake 30 minutes or until eggs are completely cooked. Cool and serve."
78,"Preheat oven to 350 degrees. Grease a large cookie sheet. Beat butter and sugar in a large bowl with mixer at high speed, until light and fluffy. Add egg and vanilla. Beat until well blended. Combine flour, cocoa, cream of tartar, baking soda and salt in a medium bowl. Add to butter mixture. Mix until uniform. Mix in chopped cherries. Drop dough by tablespoonfuls onto prepared cookie sheet. Bake about 10-12 minutes or until set."
79,Bring 1 cup water to a boil over high heat in 2-quart saucepan. Remove from heat. Add 1 cup water to a boil over high heat in 2-quart saucepan. Add 1 cup water to a boil
80,"Preheat oven to 450. Cut up sweet potatoes into wedges, rounds or thin strips. In a large bowl add the fries. Coat them with oil. You may substitute just water if desired. Then add the garlic granules, parmesan and sea salt. Spay a cookie sheet with pam or oil and lay fries out on top. Bake for 10 mins then turn them over. Put back in the oven for 10 more minutes. If you have thicker fries you may need an additional 5-10 minutes baking time."
81,"Preheat oven to 400 degrees f. In a large bowl, whisk together the asparagus, bacon, worcestershire sauce, brown sugar, butter, fresh garlic, salt and pepper. Add the asparagus and cook for 10 minutes or until the asparagus is just tender."
