,result
41,"Preheat oven to 425. Cut each potato lengthwise into 8 wedges. Line a large rimmed baking sheet with parchment paper. Toss potatoes with oil, sugar, chili powder, salt, and ground pepper, until coated. Place sweet potatoes, cut sides down, on baking sheet. Roast potatoes until browned and tender, 15 to 20 minutes. Season with additional salt, if desired, before serving."
42,"Scrub and drain cockles and set aside. In a 12-inch to 14-inch saute pan, heat oil until smoking. Add garlic and almonds and saute until golden brown. Add clams, wine and lemon juice and zest and bring to a boil. Cover and cook until clams open, about 3 to 4 minutes. Uncover, add scallions and parsley and serve."
43,"Heat oil on medium high heat in large skillet or frying pan. Preheat oven to 300 degrees. Combine dry ingredients. Moisten chicken pieces with water. Dredge chicken in flour and crumb mixture. Quickly fry chicken on all sides until browned and crisp. Place in covered baking dish and bake additional 20-30 minutes to re-crisp chicken, serve."
44,"Place the pears, raisins, maple syrup, butter, vanilla extract, cinnamon in a small saucepan and stir over low heat until melted. Gently stir golden syrup mixture and egg into the pears mixture. Pour the mixture into a lightly greased 20cm square tin and bake for 35-40 minutes at 180c, or until golden and cooked through. Leave to cool in the tin before slicing."
45,"Preheat oven to 350 degrees. Line a rimmed baking sheet with parchment paper. Peel and trim carrots and slice lengthwise into thin halves or quarters. Toss carrots in bowl with olive oil, rosemary and salt. Roast at 350 for 30 minutes, stirring half way through. Turn up oven to 425 and roast ten minutes longer or until the ends of the carrots begin to turn black. When carrots are almost done, melt apricot jam in microwave for 15-30 seconds. Remove carrots from oven, place in bowl and toss warm carrots with melted apricot jam. Toss with a little more rosemary if desired."
46,Preheat oven to 425 degrees. Measure dry ingredients into food processor and pulse until well combined. Add cheese and cut butter and cream cheese into small chunks and distribute throughout processor bowl. Hit pulse about 10 times for 1-2 seconds each pulse until course crumbs develop. Pour milk through feed tube in a slow stream while pulsing until course crumbs develop. Turn dough onto floured surface and gently squeeze it into a ball. Flatten and gently shape into an 8 by 8 inch square. Cut into 16 even squares. Place on ungreased baking sheet and bake 15-18 minutes until lightly browned.
47,"Preheat oven to 325 degrees f. In a large, heavy skillet over medium-high heat, brown ground beef, and drain fat. Mix in dry taco seasoning. Spoon browned meat into a 9x13 inch glass baking dish. Spoon a layer of refried beans over meat, then salsa. Top with shredded cheese. Bake about 20 to 25 minutes in the preheated oven."
48,"Preheat oven to 325f. In a large mixing bowl combine cereal, wheat flour, and flour. Set aside. In a larger mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on a wire rack."
49,In crock-pot combine meat with rest of the ingredients. Cover and cook on high for 2-3 hours. Remove bay leaf.
50,"In a 4-quart dutch oven cook potatoes in enough boiling water to cover for 20 to 25 minues or until just tender. Drain. Cool slightly. Peel and coarsely shred or finely chop potatoes. Preheat oven to 350 degrees. In large bowl stir together sour cream, soup, cheese, melted butter, onion, salt and pepper. Gently stir in potatoes. Transfer to greased 3-quart rectangular baking dish. Sprinkle with cornflakes. Bake, covered, for 40 minutes. Uncover, bake about 15 minutes more until golden."
51,"Preheat the oven to 350 degrees f. Place the lentils in a large bowl and bake until just crisp, about 10 minutes. Let cool. Pour the olive oil in a steady stream until combined. Transfer to a container and store in the refrigerator. To serve, put the lentils in a large bowl. Toss with enough of the vinaigrette to coat the spinach. Sprinkle with the crisp prosciutto crumbles, toss again, and serve."
52,"In a large saucepan, melt the butter and peanut butter. Remove from the heat. Add sugar and flour. Stir in the eggs and vanilla. Spread into a greased 9 x 5 loaf pan and bake at 350 for 60 to 70 minutes or until a toothpick inserted in the center comes out clean. Cool for 10 minutes before removing from pan to cool on a wire rack."
53,"Heat oil with cornstarch in saucepan over medium heat. Cook for 1 minute. Add in chicken pieces and can of green chilies. Mix well and add cream cheese. Cook over low heat until cream cheese melts. Put mixture in a 13 x 9 baking pan, top with 1 cup of grated cheese pour the whipping cream over the top and then put the last cup of grated cheese over that. Bake at 350 for 35 minutes or so, checking to make sure the cheese gets bubbly, not burnt."
54,"Preheat oven to 350 degrees. In a dutch oven, brown hamburger meat. Drain off fat. In the dutch oven, top meat with all of the sliced onions, then the potatoes. Salt the potatoes. Top with shredded cheese. Combine soup and soup can of water in a bowl and blend with spoon until smooth. Spread soup mixture over the cheese. Bake covered at 350 for about an hour."
55,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheese. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
56,"Preheat oven to 350f. In a large bowl, beat the margarine, white and brown sugar together until fluffy. Add eggs and vanilla, beat well. In another bowl, sift flour, baking powder, and salt. Add to the creamed mixture, stirring well. Fold in butter brickle bits, and chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
57,Heat oven to 350 degrees F. Place pasta in a large saucepan over medium-high heat. Bring to a boil. Reduce heat to low and simmer for 10 minutes. Remove from heat. Remove from heat and stir in parsley. Serve over pasta topped with parmesan cheese.
58,"Preheat oven to 400 degrees. Coat 9x10 baking dish with cooking spray. Cook macaroni in a large pot of boiling water until just tender. Drain macaroni and transfer to a large pot. Add soup, maonnaise, cheese, pepper and pimentos. Mix well to combine with pasta. Transfer mixture to prepared baking dish and top with cracker crumbs. Bake, uncovered, until top is golden, about 20 to 25 minutes."
59,"In a rice pot or large saucepan, cook the ground beef, onion, and garlic over medium heat, stirring often, for about 8 minutes. Add the dried herb seasoning and continue to cook for 1 minute. Place the tomatoes in a blender and break them into smaller chunks and then add to the pot. Add the water-mixed beef broth or beef cube and bring to a boil. Reduce the heat to medium and simmer, partially covered for 15 minutes so the flavors can blend. Add the vegetables and conchiglie. Simmer uncovered over medium heat until they are tender, maybe 10 minutes. Season the soup with salt and pepper and stir in the parsley."
60,"In a low-sided nonstick pot or wok, combine the cooked rice, cooked shrimp, green onions, chili peppers and water. Cook over high heat, stirring often to mix well and prevent sticking, until all ingredients are thoroughly heated and most of the water is gone, about 8 minutes. Turn the heat to high and stir for 1 more minute as the pot gets hotter. Add the nuoc cham and stir rapidly to mix thoroughly. Continue to cook over high heat, stirring constantly, until all ingredients are thoroughly heated and most of the water is gone, about 3 minutes. Remove from heat and serve."
61,"Preheat oven to 350 degrees. Cook spaghetti and chicken separately - set aside. Mix broth, mushroom soup and tomatoes. Grease casserole dish with cooking spray. Layer ingredients - spaghetti, kraft singles, chichen, ricotta, tomatoe mixture. Make two layers. Bake 35 minutes."
62,"Preheat oven to 425 degrees f. Coat a 10- by 15-inch rimmed baking sheet with nonstick cooking spray. Place the chicken breasts on the baking sheet. In a small bowl, combine the remaining ingredients. Mix well. Spread the mixture evenly over the chicken breasts. Bake for 12 to 15 minutes, or until the topping is golden and no pink remains in the chicken."
63,"Cream butter and sugar until light and fluffy. Dissolve baking soda in boiling water and add to creamed mixture. Add vanilla, soda mixture, oatmeal, and flour. Roll into balls and press down with glass dipped in flour. Press a quarter of a maraschino cherry in center. Bake 350f for 8-9 minutes."
64,"In a small bowl, combine water and sugar until sugar is dissolved. Place the lemon, lemon juice and sugar mixture into a blender and process for 1 minute or until blended. Cover and freeze for 3 hours or until almost firm. Transfer to a blender and process again for 30-40 seconds or until slushy. Cover and freeze over night. Remove from freezer just before serving. Using a fork, scrape into 2 dessert dishes."
65,"In a large skillet, melt butter over medium-low heat. Add carrots, onions, and ginger, cover and cook, stirring, for about 7 to 10 minutes, until just tender. Stir in the orange juice, jelly, and salt. Cook, uncovered, for about 4 minutes, stirring frequently, until vegetables are tender and nicely glazed with the jelly and orange juice mixture. Sprinkle with fresh chopped parsley just before serving."
66,"Cook pasta according to directions on package, drain and cool by running cool water over it. Let drain thoroughly. Combine pasta with peppers, carrots and parsley. Add vinaigrette and mix well. Add feta cheese, mix lightly, lifting the pasta and cheese mixture until the cheese is distributed throughout. Chill for an hour before serving."
67,"Place bacon in shallow dish, cover with paper towel, cook on high in a microwave for 3 minutes or until bacon is crisp. Remove bacon from the dish, then add the butter, onion and garlic to the dish, cook on high for 2 minutes. Stir in the mushrooms, cook on high for another 2 minutes, then sprinkle the mushroom mixture with the flour. Next, top the mushroom mixture and flour with the cream cheese, worcestershire sauce and dry sherry. Cook on high for 5 minutes, stir halfway through this cooking time. Stir in the sour cream and the chopped bacon. Spoon into a serving dish. Serve as a hot dip with raw vegetables such as sliced carrots, capsicum, beans and celery."
68,"Boil eggplants until soft. Saute onion, chopped shrimp, and celery in butter or oil. Combine with eggplant. Put in baking pan and sprinkle with bread crumbs or cracker crumbs. Bake approximately 30 minutes at 350f."
69,Mix all ingredients thoroughly. Divide mixture in half and place each half on a sheet of plastic wrap. Draw up the sides of the plastic wrap tightly around each ball and firmly secure. Refrigerate 6-8 hours or until firm. Remove plastic wrap and roll in nuts before serving.
70,"Preheat oven to 350 degrees. In a large skillet over medium high heat, saute the beef and onion for 5 to 10 minutes, or until meat is browned and onion is tender. Drain fat. Add the celery, chili, tomatoes, taco sauce and corn. Heat thoroughly, reduce heat to low and allow to simmer. Meanwhile, prepare the noodles according to package directions. When cooked, place them in a 9x13 inch baking dish. Pour the meat mixture over the noodles, stirring well. Top with the cheese. Bake at 350 degrees f for 25 minutes, or until cheese is completely melted and bubbly."
71,"Preheat oven to 400 f. Combine the oil, garlic, sugar, cumin, salt, cinnamon, and carrots in a shallow baking pan. Roast 20 minutes or until fork-tender. Remove from oven and add the raisins, lemon juice, and parsley. Toss well."
72,"Spray cookie sheets with cooking spray. In large bowl, combine flour, sugar, cocoa, baking soda and salt. Stir in corn syrup and egg whites until blended. Drop dough by rounded teaspoonfuls, about 1 inch apart onto prepared sheets. Bake at 350 degrees for 7 to 9 minutes, or until set. Remove cookies to wire rack to cool completely."
73,"In a large saucepan, cook garlic until tender. Add tomatoes, salt, basil, and black pepper. Cook three minutes. Add cooked spaghetti. Toss well. Add chicken broth and stir. Toss with parmesan cheese."
74,"Preheat oven to 350 degrees. Place fish fillets in a greased shallow baking dish. In a small bowl, combine sour cream, parmesan cheese, lemon juice, onion, and salt. Spread over fillets. Sprinkle with paprika. Bake 20-25 minutes or until fillets flake easily with a fork."
75,"In a large skillet combine frozen baby carrots, lemon, zest of, orange juice, dark corn syrup, cornstarch, hot water. Bring to boiling. Reduce heat to medium. Cover and cook for 6 to 8 minutes or until carrots are nearly tender. Drain. Return to skillet. In a large skillet combine frozen baby carrots, lemon, zest of, orange juice, dark corn syrup, cornstarch, hot water."
76,"In a large non-stick skillet over medium heat, melt butter and olive oil together. Add the remaining ingredients to the skillet. Stir until potatoes are evenly coated with spice mixture and onion slices are evenly distributed. Cook covered on medium heat for 15 minutes, tossing and turning the potatoes every few minutes. Potatoes will be done when slightly browned and fork-tender."
77,"Heat oven to 350 degrees. Spray muffin tin with non-stick cooking spray. Add one cracked egg to each tin and whisk the yolk. Add your toppings, saving the cheese for last. Bake 30 minutes or until eggs are completely cooked. Cool and serve."
78,Preheat oven to 350 degrees fahrenheit. Mix ingredients together in a large bowl until well-blended. Roll chocolate dipped spritz cookies into tablespoon size balls. Bake 12 minutes for chewy cookies. Bake 15 minutes for crisp.
79,Bring 1 cup water to a boil over high heat in 2-quart saucepan. Remove from heat. Add 1 cup water to a boil over high heat in 2-quart saucepan. Add 1 cup water to a boil
80,"Preheat oven to 400 degrees f. Arrange fried potatoes in an even layer in a 9-by-13-inch glass baking dish. Combine maple syrup, butter, lemon juice, salt and pepper in a small bowl. Pour the mixture over the fried potatoes. Toss to coat. Cover and bake the fried potatoes for 15 minutes. Uncover, stir and cook, stirring every 15 minutes, until tender and starting to turn brown, 45 to 50 minutes more."
81,"Preheat oven to 400 degrees f. In a large bowl, whisk together the asparagus, bacon, worcestershire sauce, brown sugar, butter, fresh garlic, salt and pepper. Add the asparagus and cook for 10 minutes or until the asparagus is just tender."
82,"Combine sugar, light corn syrup, milk, unsweetened chocolate, butter, vanilla, nuts in a large buttered saucepan. Bring mixture to a boil, stirring constantly. Boil for 7 minutes or until softball stage. Remove pan from heat and stir in white chocolate until melted. Add marshmallow cream and walnuts. Beat by hand until completely blended. Spread into a greased 9x9 inch baking pan. Cool at room temperature."
83,"Preheat oven to 350 degrees. In a small bowl, toss the nuts with the maple syrup, olive oil, herbs and cayenne. Spread the nuts on a rimmed baking sheet and bake for 15 minutes., stirring occasionally, until browned. Season the nuts with salt and pepper and toss frequently until cooled."
84,"In a large saucepan, bring the coffee, milk, granulated sugar, fat free vanilla ice cream, fat free chocolate syrup to a boil. Add water. Bring to a boil, stirring constantly. Allow to boil for two minutes, still stirring. Add milk and orange peel and heat to serving temperature. Add vanilla and serve."
85,"In large skillet, melt butter, stir in flour, cook 1 minute. Slowly stir in milk, cook until bubbly. Add cheese, salt and pepper, mix well. Remove from heat. Put 3 pieces asparagus on each ham slice. Roll up and place in 13x9 baking pan. Cover with the cheese sauce. Sprinkle with crumbs. Bake at 375 for 20 minutes."
86,"Preheat oven to 375f and grease a 12 cup muffin pan. Toss cereal with sugar, flour, baking soda and salt. In a seperate bowl, whisk oil, egg and buttermilk. Add buttermilk mixture to cereal mixture and stir just until blended. Stir in blueberries and spoon into prepared muffin tin. Bake for 20 to 25 minutes, until tester inserted in the centre of a muffin comes out clean."
87,"Boil eggplants until soft. Saute onion, chopped shrimp, and celery in butter or oil. Combine with eggplant. Put in baking pan and sprinkle with bread crumbs or cracker crumbs. Bake approximately 30 minutes at 350f."
88,"In a large non-stick skillet, heat oil over medium high heat. Add onions. Once onions begin to brown reduce heat to low. Continue to cook onions until soft and caramelized. This should take a total of 20-30 minutes. Roll dough out. Spread pesto. Layer remaining ingredients and onions over sauce. Bake according to dough directions."
89,"Place salmon on a broiler pan and baste with the sauce. Let sit for 10 minutes. Bake in preheated 425 f oven for 10-12 minutes, or until fish flakes easily and is opaque in centre."
90,Heat oven to 400f. Add 1 tb olive oil in a large bowl. Add lamb. Turn to coat. Let marinate at room temperature at least 30 minutes and up to 1 hour. Preheat oven to 400f. Add 1 tb olive
91,"Place pork chops in a shallow dish. Combine remaining ingredients and mix well. Pour marinade over chops. Cover and refrigerate overnight, turning occasionally. Remove chops from marinade. Place on grill, approximately six inches from medium-hot coals. Grill for 10-15 minutes, turning once and basting with remaining marinade. Discard remaining marinade when meat is grilled"
92,Place breakfast sausage in crockpot. Cover and cook on low for 8 hours or high for 3-4 hours. Remove sausage from bones and cut into bite-size pieces and return to crockpot. Serve with a slotted spoon on buns. I have also used boneless chicken pieces and cut them up before placing in the crockpot. You just need to adjust cooking time if doing it this way.
93,"Preheat oven to 350f. Grease a 12-cup muffin pan or line with 12 muffin paper liners. Using scissors, cut the flapjacks in half. Sift together the flour, cocoa, baking powder and salt into a large bowl. Stir in the sugar and butter. Lightly beat the eggs in a large bowl, then beat in the milk and oil. Make a well in the center of the dry ingredients and pour in the beaten liquid ingredients. Stir gently until just combined. Do not overmix. Spoon the batter into the prepared muffin pan. Bake in the preheated oven for about 25 minutes, until well risen and firm to the touch. Let the muffins cool in the pan for 5 minutes, then serve warm or transfer to a wire rack and let cool completely."
94,"Preheat oven to 375f. In a large bowl, beat sugar, brown sugar and margarine until light and fluffy. Add vanilla and eggs. Blend well. Add flour, baking soda and salt. Mix well. Stir in chocolate chips. Drop dough by rounded tablespoonfuls 2 inches apart onto ungreased cookie sheets. Bake at 375f for 8 to 10 minutes or until light golden brown."
