steps,ingredients,name,id
"In a large skillet, brown pork in oil and butter on each side. Remove the chops and keep warm. In the same skillet, saute the mushrooms, beans and garlic until vegetables are tender. Stir in the soup, water and pepper. Bring to a boil. Top with pork chops. Reduce heat. Cover and simmer for 10-15 minutes until pork juices run clear, stirring occasionally. Serve sauce over chops.","shallots, fresh ground black pepper, boneless pork loin, egg, muscovado sugar, fish sauce",thit kho to pork in clay pot,115146
"In a large bowl, combine water, sugar, orange juice concentrate, lemon juice, half-and-half cream. Mix well. Pour mixture evenly into 4 ice cube trays. Set trays on a cookie sheet and set in freezer. Freeze solid. When ready to serve, put sherbet cubes in fancy dessert glasses. Let set a few minutes to thaw slightly.","water, sugar, frozen orange juice concentrate, lemon juice, half-and-half cream",delicious orange sherbet no ice cream machine,308790
"Heat oil in medium saute pan or saucepan over medium-high heat. Fry onion until crisp and reddish-brown, about 10 minutes, then drain on paper towels. Put garlic and chile in saucepan and fry for 20 seconds or until just beginning to brown. Add lentils and water. Partially cover and cook for 30-35 minutes, or until lentils are soft. Serve lentils with onions on top.","water, brown lentils, olive oil, onions, garlic, carrot, celery, tomatoes, oregano, salt & pepper",lentil bolognese for pasta,16857
"Mix together dill weed, lemon-pepper seasoning, salt, garlic powder, brown sugar, chicken broth, olive oil, soy sauce, salmonpreparation:Combine all ingredients except the salmon or chicken in a container that can be sealed. Mix together dill weed, lemon-pepper seasoning, salt, garlic powder, brown sugar, chicken broth, olive oil, soy sauce, salmonpreparation:Preheat broiler. Rinse salmon and pat dry. Arrange salmon, skin side down, in a foil-lined jelly-roll pan and rub thoroughly with soy sauce. Season salmon with salt and pepper and broil about 4 inches from heat 12 to 15 minutes, or until just cooked through. Transfer salmon to a platter and garnish with herbs. Serve salmon warm or at room temperature with mustard dill sauce.","butter, flour, fish stock, light cream, salt, dill, lemon, juice of",ukrainian dill sauce,78472
"Preheat oven to 350 degrees. Spray muffin tins with cooking spray. In a large bowl, mix together flour, sugar, nuts, baking soda, baking powder and salt. In a medium bowl, combine applesauce, banana and shredded apple. Add sugar and egg to wet ingredients. Add wet ingredients to flour mixture, stirring just until combined. Fill muffin tins and bake for about 25 minutes or until tests clean.","whole wheat flour, all-purpose flour, baking soda, ground nutmeg, salt, eggs, banana, unsweetened applesauce, honey",honey banana muffins,70354
"In small bowl, combine all dressing ingredients. Beat at low speed until smooth. Cover and refrigerate for several hours to blend flavors. Combine salad ingredients in large bowl. Serve with dressing.","olive oil, white vinegar, kosher salt, fresh ground black pepper, avocados, grape tomatoes, red onion, fresh thyme",grape tomato and avocado salad,262142
"Preheat oven to 350 degrees fahrenheit or 175 degrees celsius. Mix the powdered sugar, butter, egg, vanilla, almond extract, flour, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar, baking soda, cream of tartar","powdered sugar, butter, egg, vanilla, almond extract, flour, baking soda, cream of tartar",grandma s sugar cookies,196461
"Heat oil in a 10 inch heavy skillet over moderate heat until hot. Pan fry the garlic in batches, turning occasionally, until golden on all sides, about 3 minutes per batch. Transfer with slotted spoon to paper towels to drain. Chop over some fresh parsley to serve.","garlic, olive oil, cauliflower, parmesan cheese, salt and black pepper, fresh parsley",roasted parmesan garlic cauliflower,59965
"Place beans in a saucepan and cover with water. Bring to a boil. Reduce heat. Cover and simmer until crisp-tender. Meanwhile, in a skillet, saute mushrooms, onion and garlic in oil until tender. Stir in water chestnuts and seasonings. Heat through. Drain beans and stir into skillet. Sprinkle with parmesan cheese. Serve immediately.","fresh green beans, olive oil, italian salad dressing mix, low-fat parmesan cheese",weight watcher green bean casserole,155440
"In a 2 quart saucepan, add green beans in enough water just to cover them, and bring to a boil, reduce heat and simmer, uncovered about 15 minutes or until crisp tender. Drain and immediately rinse with cool water to stop cooking. Drain and set aside. In a large skillet, cook bacon over medium-high heat until crisp. Stirring frequently. Reserve 1 tablespoon of bacon fat and drain off the rest and place bacon on plate covered with paper towels. In the same skillet add onion and 1 tablespoon bacon fat and cook over medium-high heat, stirring occasionally, until tender. Stir in tomato, garlic, oregano, salt and pepper into onions and simmer about 5 minutes. Stir in green beans and heat through. Add bacon and stir to blend. Transfer mixture to serving dish and drizzle with lemon or lime juice.","green beans, onions, olive oil, parmesan cheese, garlic clove, bacon",baked garlic bacon green beans,114011
"In a heavy skillet, saute onion and garlic in olive oil until just about ready to carmelize. Remove vegetables from skillet and set aside. Season chops with salt and pepper. Dredge with flour on both sides. Brown chops for about five minutes on each side. Pour apple juice over chops. Let the chops cook in the juice for another five minutes over med-low heat. Do not cover. Remove chops and add onion and garlic back into the pan. Reduce sauce slightly, adding dried cherries in last 2-3 minutes of cooking. To serve, plate chops with wild rice and spoon a bit of the sauce over each chop. Depending on thickness of the chops, you may need to adjust cooking time slightly.","bratwursts, white onion, apple, garlic, coarse black pepper",bratwurst bake,156725
"Spray or grease small baking dish. Line bottom of dish with green chiles and spread evenly. Cover green chiles with shredded cheese and spread evenly. Beat eggs with sour cream, using a fork. Add hot sauce and salt and pepper to taste, and mix well. Pour into baking dish. Sprinkle with bacon bits and additional shredded cheese. Bake in 350 oven for 30 minutes, or until cheese is set.","hot dog, bacon, sweet relish, stuffed green olives, saltine crackers, mayonnaise, pepper",tubesteak pate,279741
"Heat oil in large skillet over high heat. Add green beans and saute till beans are just crisp but tender, about 5 minutes. In a small bowl stir together soy sauce, minced garlic, honey and ginger. Pour over green beans in skillet and boil until sauce thickens and coats vegetables, about 2 minutes. Serve immediately.","green beans, garlic clove, butter, sesame seeds",sesame garlic beans,240620
"Preheat oven to 180c. Cut potatoes into large wedges. Place on greased oven trays, bake for about 30 minutes or until golden brown, turning potatoes when necessary. Combine oil, garlic, herbs, mustard and juice in a bowl. Add potatoes and toss until potatoes are well coated with mixture. Return potatoes to oven trays and drizzle with melted butter. Cook under hot grill until golden brown, turning potatoes when necessary. Serve sprinkled with salt if desired.","baking potatoes, onions, garlic powder, butter, salt and pepper, aluminum foil, sour cream, bacon bits",bbq potato with onion garlic,94307
"Heat oil in a medium large soup pot. Add onions and cook over medium-low heat until completely translucent. Add tomatoes and bring to a simmer. Add chicken stock. Bring to a simmer and allow to simmer for 15 minutes. Add pesto. Blend to desired consistency with hand blender, food processor or blender. Adjust seasoning with salt and pepper.","roma tomatoes, canned tomatoes, garlic, dried basil, dried oregano, olive oil, tapenade, cream, salt and pepper, fresh basil",fantabulous tomato soup,84188
"Preheat oven to 375f. Grease 9 x 9-inch square pan. Mix milk, lemon peel and lemon juice until thickened. Reserve. Mix remaining ingredients until crumbly. Press half of the crumbly mixture in pan. Bake about 10 minutes or until edge is golden brown and center is set but soft. Cool completely.","flour, quick-cooking oats, brown sugar, baking soda, salt, butter, chocolate chips, nuts, caramel ice cream topping",gina s oatmeal caramelita s,324350
"Stir mayonnaise with hardboiled egg, garlic clove, paprika, parsley until evenly combined. Drain tuna and break apart using a fork. Add to mayonnaise mixture and stir until evenly combined. Season with salt and pepper to taste. Serve as a sandwich filling or as part of a salad plate. Can be made up to 24 hours ahead.","tuna, mayonnaise, lettuce, tomatoes, ripe olives, hardboiled egg, garlic clove, paprika, parsley",thon en salade swiss tuna salad plate,455218
"Preheat oven to 350 degrees farenheit. Cream sugar and margarine. Add bananas and eggs. Sift cake flour, salt, and baking soda 3 times. Blend flour mixture into banana mixture, making sure not to overmix. Turn batter into 2 greased 9x5x3-inch loaf pans. Bake for 55 minutes, or until toothpick inserted in center of loaf comes out clean. Turn out immediately to cool on wire rack.","sugar, bananas, vegetable oil, eggs, flour, breadcrumbs, baking powder",banana upside cake bolo de banana,103381
"Heat broth and water to boiling. Add chicken broth, chicken, diced tomatoes, red beans and rice mix, cheese. Simmer on medium for about 15-20 minutes or until pasta is the way you like it.","chicken broth, chicken, diced tomatoes, red beans and rice mix, cheese",easy spicy chicken rice soup,75428
"Heat oil in a large skillet over medium-high heat. Add eggs, bacon, blue cheese, turkey breast, avocado, tomatoes, lettuce, and bacon. Add bacon, blue cheese, turkey breast, avocado, tomatoes, lettuce, and bacon. Add","whole wheat bread, ranch dressing, eggs, bacon, blue cheese, turkey breast, avocado, tomatoes, lettuce",california cobb club sandwiches,185319
"Heat oil on medium high heat in large skillet or frying pan. Preheat oven to 300 degrees. Combine dry ingredients. Moisten chicken pieces with water. Dredge chicken in flour and crumb mixture. Quickly fry chicken on all sides until browned and crisp. Place in covered baking dish and bake additional 20-30 minutes to re-crisp chicken, serve.","frying chickens, salt water, flour, oil",knott s berry farm fried chicken,196065
"Preheat oven to 350 degrees. Combine the eggs and milk. Add the sugar, black pepper, cubed bread, both cans of corn amd mix well. Pour into large baking dish that has been coated with non-stick cooking spray. Combine the softened butter and cereal and mix until crumbly. Sprinkle over top of corn mixture and bake, uncovered, until light golden brown.","frozen corn, bacon, green bell pepper, onion, sea salt, black pepper",cook s fried corn,341995
"Heat oil in a medium frying pan over medium-low heat. When it shimmers, add onion and garlic, season with salt and freshly ground black pepper, and cook, stirring occasionally, until vegetables are caramelized and brown, about 20 minutes. Remove from heat and let cool slightly. Combine sour cream, chvre, and chives in the bowl of a food processor fitted with a blade attachment. Add onion mixture, and pulse until combined, about 10 pulses. Adjust seasoning with salt and freshly ground black pepper and pulse a few more times to mix in seasoning. Transfer to a serving bowl, cover, and refrigerate until chilled, about 1 hour. Serve with potato chips or crudits.","sweet onions, butter, chicken broth, cream cheese, mayonnaise, pistachios",golden onion dip,442206
"Heat olive oil in a large skillet over medium-high heat. Add carrots, zucchini and garlic. Cook, stirring occasionally, for about 5 minutes or until just barely tender. Season with salt and pepper. Stir in fresh herbs. Serve immediately.","carrot, zucchini, lemon juice, dried basil, onion powder, butter, pepper, salt",herbed carrots and zucchini,278799
"Heat butter, sugar and water in a 3 quart sauce-pan to a rolling boil. When mix reaches 305 degrees pour onto a greased large cookie sheet. Sprinkle chocolate chips over the candy. As chocolate melts spread with a butter knife. Spread nuts evenly over the pan, shaking lightly until all nuts stick. Cool until hard. Break into pieces. Enjoy.","sugar, dark corn syrup, butter, half-and-half, blanched almond",swedish hard candy,79359
"In a large bowl, whisk the eggs and cream together. Gently fold in the cheese, pasta and rest of ingredients. One at a time, in that order. In a nonstick pan, heat the oil over medium heat. Pour the egg mixture into the pan and cook for 7 to 8 minutes until the edges start to brown. Flip the frittata by sliding it onto a large plate or tray then carefully inverting it back into the pan. Continue to cook for 5 to 6 minutes more. Remove from pan then cut into wedges and serve. This is delicious served warm or at room temperature.","eggs, heavy cream, mozzarella cheese, bel paese cheese, parmesan cheese, fresh chives, ground pepper, vegetable oil",three cheese frittata,343220
"Mix all ingredients together in a large bowl. Add salt and pepper and mix well. Serve with chips, pita or vegetables.","edamame, red onion, fresh parsley leaves, garlic clove, fresh lemon juice, miso, kosher salt, thai sweet chili sauce, fresh ground black pepper, extra virgin olive oil",edamame dip alton brown,462422
"Preheat oven to 350 degrees. In a bowl combine all ingredients and set to the side. Heat the oil in a heavy bottom oven proof skillet until the oil shimmers. Pat the chops dry and add them to the hot pan. Cook for two minutes on the first side, flip the chop and cook for an additional minute. Transfer the chops to a plate. Pour the excess oil out of the pan. Add the sauce mixture, scrape up the browned bits on the bottom of the pan. Simmer the sauce over medium heat, stirring frequently until sauce is thick and glossy, about 4- 5 minutes. Take the pan off the heat and add the pork chops to the pan, turning to coat in the sauce. Place the skillet in the oven and cook for 15 minutes. Spoon the sauce on top of the pork chops and serve.","pineapple rings, brown sugar, soy sauce, garlic powder, pork chops, ground black pepper",pineapple grilled pork chops,461098
"Preheat oven to 400. Place fish fillets in a greased 9x13 dish. Sprinkle with salt and pepper. Combine lime juice, sour cream and herbs, stir well. Pour over fish. Bake at 400 for 20 minutes till flakes easy with fork.","sole fillets, flour, dried herbs, salt, pepper, butter, fresh lemon juice",lemon herb fish fillets,255217
"Place potatoes in an 8 inch square baking dish which has been wiped down with shortening or sprayed with pam. Potatoes will thaw over night in the fridge. Sprinkle dish with cheese, ham and onions. In a separate bowl, beate eggs, evaporated milk, pepper and salt together. Pour into baking dish over the potato mixture. Cover and refridgerate for several hours or overnight. Remove from refridgerator 30 minutes before baking. Bake, uncovered, at 350 for 55-60 minutes or until a knife inserted near the center comes out clean.","frozen hash brown potatoes, bacon, onion, green bell pepper, cheddar cheese, egg, milk, salt, pepper",morning casserole,147997
"Preheat oven to 400 degrees f. Spray muffin pan with nonstick spray. In a large bowl, whisk together flour, baking powder, sugar, salt and pumpkin pie spice. In a medium bowl, thoroughly mix together milk, egg and applesauce. Stir in squash. Fold the squash mixture into the flour mixture just until moistened. Spoon batter into the greased muffin pan, filling cups about full. Bake 20 minutes.","cocoa powder, salt, cayenne pepper, cinnamon, sugar, butternut squash, canola oil, slivered almonds",cocoa roasted butternut squash,441927
"Melt cream cheese in a medium sized mixing bowl. Saute onions in butter until softened. Add onions, seafood, wine and swiss cheese to cream cheese. Stir until combined. Spread into a greased 2 quart baking dish and top with cheddar cheese. Bake for 25-30 minutes until bubbly and golden brown.","cream cheese, miracle whip, chopped tomato, cucumber, black olives, feta, pita bread",mediterranean layered dip,61841
"Heat oil in a nonstick skillet, add one tortilla. Layer with half the cheddar cheese, all of the chicken and mushrooms and half the monterey jack cheese. Top with the second tortilla. Cover and heat until cheese melts and bottom tortilla is crisp and golden brown. Turn over. Sprinkle remaining cheese on top. Cook until bottom tortilla is crisp and golden brown and cheese is melted. Cut into wedges and serve with sour cream and salsa if desired.","flour, paprika, manchego cheese, eggs, breadcrumbs, oregano, oil",queso frito fried cheese,335798
"In medium bowl, combine corn, bell pepper and oil. Toss to coat. Spread in ungreased 15 x 10 x 1 inch baking pan or on cookie sheet. Broil 4 to 6 inches from heat for 9 to 14 minutes or until corn is light golden brown, stirring once or twice. Place corn mixture in same bowl. Add onions, sugar, cumin, salt and lime juice. Mix well. Sprinkle with cilantro. Serve immediately.","corn, french haricots vert, cider vinegar, salt, pepper, olive oil, red onion, fresh parsley",fresh corn and green bean salad,193459
"Cover chicken with water in a large pot. Cook 1 hour and remove chicken. Meanwhile, prepare remaining ingredients, and add to pot after removing chicken, and cook for 1 hour. Meanwhile, place chicken in baking dish and roast it in a 350 f oven for 30 minutes. After roasting, let chicken cool for 10 minutes before removing meat from the carcass and adding the meat to the soup pot. Simmer until the meat is heated through, and serve.","boneless skinless chicken breasts, celery rib, onion, butter, chicken broth, chicken bouillon, fresh parsley, cream-style corn, eggs, salt and pepper",chinese chicken and corn soup,137886
"Cut the paula deen in half and place it on a baking sheet. Bake for about 15 minutes, or until the paula deen is golden brown. Remove from the oven and let cool for about 15 minutes","bacon, onion, garlic cloves, diced tomatoes, chicken base, sugar, fresh okra, fresh ground black pepper",the lady and sons okra and tomatoes paula deen,112180
"Preheat oven to 400 degrees farenheit. Place chicken in ungreased 13 x 9 x 2 inch oblong pan. Mix the remaining ingredients together. Pour over chicken. Cook uncovered, spooning oil mixture over chicken occasionally, for 30 minutes. Turn the chicken and cook until thickest pieces are done, about another 30 minutes. Garnish with lemon slices.","potatoes, onions, frying chicken, lemon, butter, oregano, salt and black pepper",oregano lemon chicken,23013
"Place the couscous in a bowl and pour over 300ml boiling water. Leave for 30 minutes until the water has been completely absorbed, allow to cool. Add the olive oil, lemon juice, cilantro and seasoning to taste. Add chili pepper, tomatoes and onions and stir gently to combine ingredients. Allow to chill for at least an hour. It allows the flavours to mingle. Keeps well in the fridge for 2 or 3 days.","chicken broth, couscous, dried tart cherries, carrots, cucumbers, balsamic vinegar, olive oil, dijon mustard, salt and pepper, slivered almonds",dried cherry couscous salad,399212
"Place salmon fillets, in a single layer, in a greased baking pan. Sprinkle each fillet with salt and pepper. In cup combine dijon, butter and honey. Brush mixture on top of each fillet. Bake in preheated 450 degree oven, for 10minutes. Garnish with lemon slices.","dijon mustard, butter, honey, fresh breadcrumb, fresh parsley, pecans, fish fillets, salt and pepper",villa capri s fish fillets with pecan crunch coating,486541
Preheat oven to 350 degrees. Place all ingredients in a medium casserole dish. Put in oven for 10 minutes. Remove and stir ingredients until well mixed. Place back in oven and bake for 20-25 minutes.,"frozen corn, butter, cream cheese, salt, pepper, parsley",cream cheese corn,47054
"Heat oven to 425 degrees f. Arrange asparagus and mushrooms on aluminum foil-lined 15x10x1-inch jelly roll pan. Sprinkle garlic, salt and pepper on top. Drizzle melted butter over vegetables. Bake, stirring occasionally, for 15-20 minutes or until vegetables are tender and lightly browned. Serve immediately.","fresh asparagus, white button mushrooms, butter-flavored cooking spray, lemon juice",asparagus with mushrooms fat free and delicious,88246
"Preheat oven to 450f. Combine whole wheat flour, oats, sugar and baking soda. Cut in butter until mixture is crumbly. Set aside 1 cup of crumb mixture. Press remainder on bottom of greased 13 x 9 pan. Spread half of the marshmallows on top and sprinkle with apples. Top with reserved crumb mixture. Bake at 375 for 20 to 25 minutes. Sprinkle remaining marshmallows on top and place under broiler just until marshmallows are lightly golden, 1 to 2 minutes. Cool. Place caramels and water in small microwaveable bowl. Microwave on high for 1 minute, stir until smooth. Drizzle on top, chill to set caramel. Bake at 375","apples, caramels, milk, white chocolate chips, cinnamon sugar, wooden sticks",apple pie caramel apples,328449
"In a saucepan, melt butter over medium heat. Add celery and onion and cook for 5 minutes or til tender, stirring occasionally. Add turkey. Blend water, gravy, flour, salt and pepper. Pour over turkey. Stir. Bring to a boil. Reduce heat and simmer 5 minutes serve over rice.","butter, celery, onion, chicken broth, reames frozen noodles, cooked turkey, fresh parsley, flour, cold water",day after thanksgiving noodles,200959
"Preheat oven to 350f. Cover baking sheet with foil and spray with cooking spray. Put torn bread in large bowl. In skillet, saute onion and celery in the butter. Once soft, add parsley, pepper, salt and poultry seasonings and mix well. Add cooked mixture to bread and again mix well. Pour chicken broth over bread and again mix well.","bread stuffing mix, celery, onions, mushroom, butter, chicken broth",mrs cubbison s bread stuffing,151968
"In a double boiler, melt caramels, butter, and milk. Keep water in the bottom of pot to a minimum boil. Dip one marshmallow into melted mix using a fork. Remove, and roll in marshmallow toffee balls. Place on tray covered with wax paper. Repeat until bag of marshmallows is finished. Freeze marshmallow balls if desired. Enjoy.","macintosh toffee bars, condensed milk, margarine, marshmallows, rice krispies",marshmallow toffee balls,136463
Combine all ingredients except vanilla in a sauce pan. Bring to a boil and boil for only 1 minute. Remove from heat and cool. Add vanilla and beat with fork or beaters until spreading consistency. Cooking time does not include time to cool.,"unsweetened chocolate, butter, powdered sugar, milk, vanilla",nana s chocolate frosting,31114
"In a medium saucepan over medium-high heat, combine flour, salt, baking powder, onion, chile, egg, milk, oil. Bring to a boil. Reduce heat to low and cook, covered, until rice is tender and liquid is absorbed, about 20 minutes. Remove from heat. Meanwhile, in a small skillet over medium-high heat, combine flour, salt, baking powder, onion, chile, egg, milk, oil. Meanwhile, in a small skillet over medium-high heat, combine flour, salt, baking powder, onion,","flour, salt, baking powder, onion, chile, egg, milk, oil",onion bhajia,113213
"In a large bowl, combine the goat cheese, cajun seasoning, hard goat cheese, green onion, romaine lettuce, paprika, salt and pepper in a small jar with a tight-fitting lid. Cover and shake to combine. Dressing can be made several days in advance and refrigerated, shake well before using. Combine remaining ingredients in a large bowl. Chill until serving time. To serve, add dressing and toss lightly to combine. Add additional freshly ground pepper to taste.","baby shrimp, mayonnaise, soft fresh goat cheese, cajun seasoning, hard goat cheese, green onion, romaine lettuce, paprika",shrimp goat cheese salad in romaine,199234
"Preheat oven to 350 degrees f. Spray 9 by 13-inch casserole dish with pam. Place broccoli, garlic salt and pepper in a bag and toss. Place in casserole dish and top with cheddar cheese. Cover and bake for 20 minutes.","frozen chopped spinach, frozen chopped broccoli, cream of mushroom soup, mayonnaise, egg, pepper, salt, garlic powder",spinach broccoli bake,165251
"Place chocolate, milk and sugar in a heavy saucepan over low heat. Whisk slowly until the chocolate melts and sugar dissolves. When it is smooth and steamy, put into mugs and top with a little cinnamon. Place chocolate, milk and sugar in a heavy saucepan over low heat. Whisk slowly until the chocolate melts and sugar diss","low-fat milk, cocoa powder, salt, splenda sugar substitute",rich hot chocolate for one,395484
"Wash cucumbers, dry off and remove the ends. Score the skins with the tines if a fork, dragging it the length of the cucumber. Repeat all the way around. Slice cucumbers very, very thin. Place in a bowl. Sprinkle with salt and sugar. Add vinegar and press slightly with back of a spoon. Cover and refrigerate overnight. Keeps well in a covered jar. The end result is similar to an uncooked pickle.","cucumber, onion, dried dill weed, sugar, vinegar, water, salt",just cucumber slices,69519
"Preheat oven to 375f. Heat butter over medium-high heat. Add onions, and cook, stirring occasionally, until softened. Add flour, salt, and pepper to skillet. Stir until smooth. Gradually stir in milk until blended. Bring to a boil. Cook and stir for 2 min or until thickened. Reduce heat to med. Return onions to the pan. Heat through.","butter, red onions, jalapeno, brown sugar, kahlua, low-sodium low-fat chicken broth, heavy cream",luscious creamy glazed onions,243288
Heat oven to 350 degrees. Bake for 20 minutes. Top each breast with a slice of swiss cheese and bake 5 more minutes just until cheese is melted.,"whole wheat bread, butter, cheddar cheese, avocado",avocado cheddar grilled cheese,364119
"Preheat oven to 400 degrees. Fry onion, garlic, mushrooms and leek in a pan in the olive oil until softened. Rinse and drain mixed beans and kidney beans and add to pan. Add tomatoes and heat through. Combine the parmesan and the grated parsnip in a bowl and put aside. Place the bean mixture in an oven proof casserole dish. Cover with the parmesan and parsnip mixture and sprinkle over some olive oil. Bake for 25 minutes or until brown and crispy.","olive oil, brown onion, garlic cloves, crushed tomatoes, tomato paste, stock, macaroni, frozen mixed vegetables, borlotti beans, parsley",pantry minestrone,249682
"Preheat oven to 350 degrees and spray an 8 inch square baking pan. In a medium bowl, combine applesauce, sugar, and vanilla. In a another bowl, whisk together flours, cocoa, baking powder and soda. Make a well in the center and add wet ingredients. Mix until just combined. Gently fold in walnuts and blueberries. Spread mixture into prepared pan and bake for 25 to 30 minutes, until center is firm and not sticky. Let cool completely before slicing. Makes 16 brownies.","mint leaves, blueberries, diet lemon-lime soda, mint",wild blueberry beginner,425102
"Heat oven to 375 drgrees. Drop a piece of butter in the bottom of each of 10 compartments of a muffin tin. Arrange the banana slices on top. Sprinkle the pecans and brown sugar over the bananas. Top each compartment with a biscuit. Bake until golden, about 8-10 minutes. Remove from oven. Place a baking sheet on top of the buns in the muffin tin while they are atill hot. Carefully flip the tin over, tapping the bottom to release the buns. Transfer to a platter, serve warm.","butter, light corn syrup, brown sugar, pecans, frozen yeast dinner roll dough",bite size sticky buns,128809
"Grate zucchini. Chop onion, add to zucchini. Add beaten eggs, bisquick, parmesan cheese, garlic powder, salt and pepper. Mix well. Fry as pancakes on hot greased griddle or skillet. Serve as a side dish.","zucchini, salt, egg, bisquick, parmesan cheese, garlic powder, salt and pepper, canola oil",barb s zucchini patties,99731
