,result
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in a covered container."
20,"In a large saucepan, stir together the oranges, vanilla bean, orange-flavored liqueur, brandy. Add water. Bring to a boil, stirring constantly. Allow to boil for two minutes, still stirring. Add orange blossom water, blood orange juice and lemon juice. Stir. Add what remains of one lemon and one blood orange. Let chill for 30 minutes. Serve over ice."
21,"Preheat oven to 350f. In small saucepan, melt butter and choc in saucepan over low heat. When melted ans smooth, set aside to cool. Beat eggs and sugar in large bowl till thick and creamy. Stir n cooled chocolate and golden syrup. Then add flour, cocoa, salt and nuts. Pour into tin, bake 30 minutes. Remove from oven, cool in tin then cut into squares."
22,"Preheat oven to 350 degrees farenheit. Cream sugar and margarine. Add bananas and eggs. Sift cake flour, salt, and baking soda 3 times. Blend flour mixture into banana mixture, making sure not to overmix. Turn out immediately to cool on wire rack. Bake for 55 minutes, or until toothpick inserted in center of loaf comes out clean"
23,"Preheat oven to 350 degrees fahrenheit. Grease and flour a 9 x 9-inch pan. In a bowl, beat together the butter and sugar. Add eggs and vanilla. Mix well. Combine the cocoa, salt, and flour together. Stir into the walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
24,"Place broccoli in a large mixing bowl. Pour dressing over salad mixture, stirring well. Cover and refrigerate at least 2 hours to allow flavors to blend."
25,"In a small saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add pineapple juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving. Just before serving, mash the mixture with a potato masher and stir in lemon-lime soda."
26,"Heat oven to 425 degrees. Prepare pastry. In a large mixing bowl, add the blackberries and sugar & cinnamon. Toss to coat. Next add the cornstarch & lightly mix. Place filling into pastry lined pie pan. Sprinkle lemon juice over filling & dot with butter. Cover the filling with the top pie crust. Trim the excess crust off around the pie and seal. Cut slits in top of pie crust. Bake 50-60 minutes or until crust is golden brown & juice begins to bubble through the slits in crust. Cool completely before slicing."
27,"Puree all ingredients together in blender. Pour into 6- 3oz molds or paper cups. Freeze for one hour, place sticks in the middle. Freeze for another 3 hours, until solid. To release mango frappe, dip molds into hot water until pops loosen and slide out. If using paper cups, peel away paper."
28,"Preheat oven to 350 degrees. Remove stones and place cut nectarines on the parchment paper in an oven proof dish or pan facing up. Drizzle honey, vanilla and sprinkle brown sugar over the top. Bake for 15 minutess, scoop up the juices from the bottom of the pan and coat nectarines and bake for an additional 15 minutes or until golden and sticky. Serve with yoghurt, drizzled with honey."
29,"Preheat oven to 450 degrees. Grease a 12 cup muffin pan or you can use a mini muffin pan. Combine cornmeal, flour, baking powder and salt in a large bowl. In a separate bowl, combine egg whites, onion, milk, parsley, oil and pepper. Add to dry ingredients stirring just until moistened. Spoon into prepared muffin tins. Bake for 10-12 minutes or until lightly browned. Remove and cool on a rack for 5 minutes. Serve immediatlely."
30,"To prepare each sandwich, spread 1 teaspoon of the olive oil on one side of each slice of bread. Place 2 slices cheese, three to four spinach leaves and 1 tablespoon cooked bacon between unbuttered sides of two bread slices. Place one sandwich in a large frypan or on a griddle. Cook over medium high heat for 3 to 4 minutes on eaach side or till the cheese is melted and the bread is golden brown. If necessary to prevent overbrowning, reduce to medium or brush on extra margarine, butter or olive oil. Repeat for remaining sandwiches."
31,"Combine all ingredients except the meat in a medium bowl. Place the meat in a shallow glass or ceramic dish in one layer. Pour marinade over and turn meat to coat well. Marinate at room temperature for at least 2 hours. Drain meat. Thread on 6 skewers and grill 10 to 12 minutes, turning to cook all sides."
32,"Heat olive oil in a large skillet over medium heat. Add zucchini, summer squash, and zucchini. Cook, stirring constantly, for 3 to 4 minutes or until vegetables are crisp-tender. Add italian seasoning and garlic powder. Cook 1 minute more- serve hot."
33,"Combine mustard, honey, sugar and vinegar in a saucepan and whisk to mix. Bring to a simmer over low heat and cook gently, uncovered, until richly flaovred, about 5 minutes, whisking from time to time. Remove from heat and season to taste with salt and pepper. Transfer to a serving bowl and serve warm or at room temperature. The glaze will keep, tightly covered in the refrigerator, for several weeks."
34,"Preheat oven to 325f place pears in 2 large baking dishes. Spoon 1 teaspoon jam in center of each pears half. Top with goat cheese rounds, and lightly drizzle with oil. Bake pears 30 minutes, or until cheese begins to brown. Whisk together remaining 2 tbs. Fig jam, lemon juice, and mustard in bowl. Whisk in 1 tbs. Olive oil. Divide watercress among 8 serving plates. Sprinkle with onion and walnuts. Top each with pear half, and drizzle with dressing."
35,"Spray 9x13 inch casserole dish. Place bread on bottom and top with jalapeno jack cheese, green chiles and ham. Mix eggs, milk, green onion& tabasco and pour over bread. Top with cheese and cover over night. Bake 325 for 40 minutes."
36,"Place fish on a broiler rack that has been coated with a non-stick cooking spray. Brush tops of fish with 3 tablespoons of the butter or margarine. Dust with flour. Sprinkle with paprika. Broil 5-6 inches from the heat for 5 minutes or until fish just begins to brown. Combine lemon juice, parsley, worcestershire sauce and remaining butter. Pour over the fish. Broil 5 minutes longer or until fish flakes easily with a fork."
37,"Preheat oven to 350f. In a large bowl, beat butter, brown sugar and margarine until light and fluffy. Add vanilla and eggs. Beat on medium speed until light and fluffy, about 3 minutes. Reduce speed to low, add salt, vanilla, and eggs. Beat until well mixed, about 1 minute. Add flour mixture, mix until just combined. Stir in chocolate chips. Drop heaping spoonfuls about 2 inches apart onto baking trays lined with parchment paper. Bake until golden around the edges and soft in the middle, about 8-10 minutes."
38,"Combine graham cracker crumbs, butter, cinnamon, and nutmed, and press into 9-inch pie plate. Chill in fridge 2 hours before filling. For filling, using a mixer, blend cup of milk into cream cheese until very smooth and creamy. Gradually add remaining milk until blended. Add pudding mix and blend 1 minute do not overblend. Pour into graham cracker crumbs, butter, cinnamon, and nutmed, and mix 1 minute do not overblend. Pour into pie crust. Chill until serving. Keep leftovers refrigerated."
39,"In a high-sided nonstick pot or wok, combine the cooked rice, cooked shrimp, green onions, chili peppers and water. Cook over high heat, stirring often to mix well and prevent sticking, until all ingredients are thoroughly heated and most of the water is gone, about 8 minutes. Turn the heat to high and stir for 1 more minute as the pot gets hotter. Add the nuoc cham and stir rapidly to mix thoroughly. Continue to cook over high heat, stirring constantly, until most of the liquid has evaporated, about 3 minutes. Remove from heat and serve."
40,"In a large skillet over medium-high heat, melt butter. Add to the skillet the cabbage, carrots, onion and brown sugar. Cook, stirring often, for about 10-12 minutes until the vegetables are well-browned and softened. Remove from heat and stir in the soy sauce, vinegar and pepper. Serve hot."
41,"Preheat oven to 325 degrees f. Place chicken in baking dish. Combine mustard, honey and curry powder. Spread over chicken pieces. Bake uncovered for 45 minutes. Baste while baking and be careful that sauce does not burn."
42,"Preheat oven to 400 degrees f. Put the first 7 ingredients into a food processor bowl. Pulse until bread is very coarsely chopped, 4-6 times. Grease an 8 inch square baking dish and arrange the cherry tomatoes in a single layer. Sprinkle with the bread crumb mixture. Bake until crust is browned and tomatoes are tender, about 20 minutes."
43,Heat oven to 450 degrees. Remove chicken from oven and let rest 10 minutes. Remove from oven and let rest 10 minutes. Remove from oven
44,"Preheat oven to 425 degrees f. Spray cookie sheets with nonstick cooking spray. In medium bowl, sift together flour, ginger, baking soda, allspice, and salt. In large bowl, cream together sugar and margarine until well-blended. Mix until well blended. Drop dough by rounded tablespoons 1 inch apart onto prepared cookie sheets. Flatten each slightly with moistened finger. Bake 11-14 minutes, or until firm. Watch carefully at end of baking, to prevent overbrowning."
45,"Heat the oil in a 9-inch saute pan over medium heat. Add the carrots and cook until lightly browned on all sides, about 3 minutes per side. Season with salt and pepper. Add the ginger, garlic, and shallots and cook over medium-low heat, stirring occasionally, until the shallots are softened, 5-7 minutes. Add the honey, orange juice, soy sauce and water. Cover with a round of waxed paper that fits snugly on the vegetables. Cook the carrots slowly on top of the stove, stirring occasionally, until the carrots are tender and the juices have formed a glaze, 30-40 minutes. Garnish with the mint."
46,Preheat oven to 400 degrees celcius. Add salt and cheese to flour. Add milk and mix well. Spray a 12-cup muffin tin with nonstick spray. Spoon the mixture equally amongst the 12 cups. Bake till browned on the top. Should be 10 to 15 minutes.
47,"Spray a large frying with cooking spray then cook the potatoes until no longer pink. Mix in the water, taco seasoning, & salsa, simmer for 5 minutes. Add in the cheese then stir until melted. Turn off the heat & stir in the sour cream. Spoon the potatoes onto the tortilla shells, top with the tomato & lettuce, if using."
48,"Preheat oven to 350 degrees f. Spray cookie sheet with cooking spray. In a large bowl combine flour, sugar, cocoa, baking soda and salt. Stir in corn syrup and egg whites until throughly blended. Drop dough by rounded teaspoonfuls, about 1 inch apart onto prepared sheets. Bake 7 to 9 minutes, or until set. Remove cookies to wire rack to cool completely."
49,"In small dish, mix the vegetable oil, onion, ground turkey, cumin seed, tomatoes, kidney beans, red chili powder, black pepper, sazon goya, salt. Cook until fragrant, about 15 seconds. Stir in beans and cook until heated through, about 1 minute."
50,"Wash, peel and cut the potatoes into pieces. Boil in salted water until tender. Mash and add the cheese, sour cream, the milk if needed for creaminess, and salt and pepper. Place in a large pan, top with butter slices and bake at 325 degrees until hot. Broil a few minutes to get the top nice a browned."
51,Heat oil in a large skillet over medium-high heat. Add onions and sauté for 5 minutes. Add bay leaves and sauté for another 5 minutes. Add salt and pepper and cook for another 5 minutes. Add more salt and pepper and cook for another 5 minutes. Add more salt and
52,"Preheat oven to 350f. In a large bowl, beat butter, brown sugar and margarine until light and fluffy. Add vanilla and eggs. Blend well. Add flour, baking soda and salt. Mix well. Stir in chocolate chips. Drop dough by rounded tablespoonfuls 2 inches apart onto ungreased cookie sheets. Bake at 350f for 8 to 10 minutes or until light golden brown."
53,"In a large saucepan over medium heat, add the water and milk. When bubbles just begin to break the surface, slowly add the grits, whisking constantly. Cook, stirring frequently and scraping the bottom of the pan, until thickened and cooked, about 7 minutes. Add the cheese and butter and stir just until melted. Remove from the heat. Add salt to taste and hot pepper sauce, if desired. Serve immediately."
54,"Preheat oven to 425f. Combine all the ingredients except the potatoes and cheese over high heat. Mix well. Bake for 5 to 8 minutes, or until heated through, stirring frequently. Remove from the heat and and put into a deep cassarole dish. Dollop with the potatoes. Bake at 375 for 35 minutes. Cover with grated cheese last 10 minutes of cooking. Serve immediately."
55,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
56,"Preheat oven to 350 degrees. In a large bowl, beat the margarine, white sugar, butter, eggs, vanilla, flour, baking powder, salt, chocolate-covered toffee bits, semi-sweet chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
57,"In a large pot with boiling salted water cook pasta until al dente. Drain. In a large saucepan heat the italian dressing and olive oil together over medium heat. Add drained spaghetti. Toss well to coat. Add chopped tomatoes, cooked chicken, and grated parmesan cheese and toss lightly. Serve warm."
58,"This step will take approximately 20 minutes, so preheat oven to 350 while working on this step. Put macaroni to boil. In a medium pot heat butter and saut onions. Add milk, flour, salt and pepper. Bring to a rolling boil. Slowly add cheddar cheese, stirring while adding. Drain macaroni. Add macaroni directly to the cheese mixture in the pot. Pour mac and cheese mixture into large lasagna pan. Put in oven and bake for 30 minutes or until top is bubbly and golden brown."
59,"Place meat, onions, potatoes, and carrots into a dutch oven, cover with water and boil for twenty minutes or until potatoes are tender. Add canned vegetables. You probably will not need the entire can of tomato juice. Simmer on stove for thirty minutes. Salt and pepper to taste. Serve with hot corn bread."
60,"In a high-sided nonstick pot or wok, combine the cooked rice, cooked shrimp, green onions, chili peppers and water. Cook over high heat, stirring often to mix well and prevent sticking, until all ingredients are thoroughly heated and most of the water is gone, about 8 minutes. Turn the heat to high and stir for 1 more minute as the pot gets hotter. Add the nuoc cham and stir rapidly to mix thoroughly. Continue to cook over high heat, stirring constantly, until most of the liquid has evaporated, about 3 minutes. Remove from heat and serve."
61,"Place pasta in 2 quarts of salted water and cook until soft, which should take about 10 to 12 minutes. Chop the pepper and onions into half inch pieces and saute in olive oil. After 5 minutes, add the garlic, basil, and the tomato sauce and simmer until it starts to thicken. If the sauce become to thick, add a little of the water from the pasta. Add the precooked sausage to the vegetable and sauce mixture, and stir over low heat while waiting until the pasta is done. Add drained pasta to the pan, stir, check to see if salt is needed, and plate. Serve with grated parmesan cheese."
62,"Preheat oven to 425 degrees f. Coat a 10- by 15-inch rimmed baking sheet with nonstick cooking spray. Place the chicken pieces, bone side up on unheated rack of a broiler pan. Broil 4-5 inches from the heat, about 20 minutes or until light brown. Meanwhile in a bowl stir together oil, mustard, lemon juice, lemon pepper seasoning, oregano and red pepper. Brush mustard mixture onto chicken. Turn chicken, brush with remaning mixture. Broil for 5-15 minutes more or until chicken is no longer pink."
63,"Preheat oven to 350f. In a large mixing bowl, cream butter and sugar. Add eggs and vanilla, mix well. Gradually beat in the flour mixture then add chocolate chips. Drop dough by rounded tablespoonfuls onto greased baking sheets. Bake 10-12 minutes. Let cookies rest on baking sheets for 2 minutes before removing with a spatula to wire racks to cool completely."
64,"In a small saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add pineapple juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving. Just before serving, mash the mixture with a potato masher and stir in lemon-lime soda."
65,"Preheat oven to 425 degrees. Stir together honey, butter and crumbled bacon in a small bowl until smooth and set aside. Place carrots and water into an ungreased 9-by-9-inch baking dish, cover with foil and bake 30 minutes. Remove foil and stir in butter mixture. Bake another 15 minutes, stirring occasionally."
66,Bring 3 quarts water to a boil in a pot. Add pasta. Cook 8 minutes. Cook 3 minutes or until pasta is al dente. Drain. Place pasta mixture in a large bowl. Stir in basil and next 4 ingredients. Place spinach on plates. Top with pasta mixture.
67,"Cook sausage, ground beef and onion in large pan until brown, adding worcestershire, oregano, garlic powder, miniature party rye rounds. Reduce heat and blend in cheese. Mix thoroughly. Spread on slices of rye bread. Place on a baking sheet with wax paper between layers and freeze. When frozen, put in a ziploc bag and store in freezer until ready to use. Bake at 325 for 15 - 20 minutes."
68,"Heat olive oil in a large skillet over medium-high heat. Add onion and cook until translucent, about 5 minutes. Add garlic and cook until fragrant, about 5 minutes. Add salt and pepper and cook until fragrant, about 5 minutes. Add salt and pepper"
69,"Heat oven to 190c. Peel, quarter and thinly slice celeriac - can be done with slicing blade of food processor. Toss celeriac with walnut oil, season to taste. Place in a gratin dish, spread out evenly. Pour over stock, bake for 45 minutes. Scatter with walnuts and crumble over blue cheese. Cook another 15 minutes till crisp and golden."
70,"Heat oven to 350f. Cook ground beef, stirring occasionally until brown. Drain off fat. Stir in rice, soup, chilies, and taco seasoning mix. Spoon into 12 x 8-inch baking pan. Top with tomatoes cheese and corn chips. Bake for 30-35 minutes or until heated through."
71,"Heat oven to 400 f. Combine the oil, garlic, sugar, cumin, salt, cinnamon, and carrots in a shallow baking pan. Roast 20 minutes or until fork-tender. Remove from oven and add the raisins, lemon juice, and parsley. Toss well. Remove from oven and add the raisins,"
72,"Preheat oven to 350 degrees fahrenheit. In a large mixing bowl, cream butter and sugar. Add eggs and vanilla, mix well. Gradually beat in the flour mixture then add chocolate chips. Drop dough by rounded tablespoonfuls onto greased baking sheets. Bake 10-12 minutes. Let cookies rest on baking sheets for 2 minutes before removing with a spatula to wire racks to cool completely. Let cookies rest on baking sheets for 2"
73,"Heat olive oil over medium heat. Add garlic, and cook until golden brown, 2 to 3 minutes. Using a slotted spoon, transfer garlic to paper towels. Reserve. Discard oil. Spray pan with cooking spray, and heat over medium heat. Coarsely chop spinach and stalks. Working in batches, add damp spinach to the pan. Cover, and cook until spinach just begins to wilt, 4 to 5 minutes. Transfer the cooked spinach to a metal bowl, and cook remaining spinach. Season with salt and pepper. Sprinkle reserved garlic over spinach, and serve warm."
74,"Preheat oven to 400f line a baking sheet with aluminum foil, and spray with non-stick cooking spray. Coat a small saucepan with non-stick cooking spray. Over medium heat, cook and stir garlic until soft, about 3 minutes. Mix in white wine, honey, balsamic vinegar, mustard, salt and pepper. Simmer, uncovered, for about 3 minutes, or until flesh flakes easily with a fork. Brush fillets with balsamic glaze, and sprinkle with oregano. Bake in preheated oven for 10 to 14 minutes, or until flesh flakes easily with a fork. Brush fillets with remaining glaze, and season with salt and pepper. Use a spatula to transfer fillets to serving platter, leaving the skin behind on the foil. Bake in preheated oven for 10 to 14 minutes, or until flesh"
75,"Heat the oil in a 9-inch saute pan over medium heat. Add the carrots and cook until lightly browned on all sides, about 3 minutes per side. Season with salt and pepper. Add the ginger, garlic, and shallots and cook over medium-low heat, stirring occasionally, until the shallots are softened, 5-7 minutes. Add the honey, orange juice, soy sauce and water. Cover with a round of waxed paper that fits snugly on the vegetables. Cook the carrots slowly on top of the stove, stirring occasionally, until the carrots are tender and the juices have formed a glaze, 30-40 minutes. Garnish with the mint."
76,"In a large non-stick skillet over medium heat, melt butter and olive oil together. Add the remaining ingredients to the skillet. Stir until potatoes are evenly coated with spice mixture and onion slices are evenly distributed. Cook covered on medium heat for 15 minutes, tossing and turning the potatoes every few minutes. Potatoes will be done when slightly browned and fork-tender."
77,"Preheat oven to 375 degrees fahrenheit. Unroll squares into 4 rectangles and place in a 13 x 9 inch baking dish. Press up sides slightly and press perforations together. Layer cooked sausage, cooked bacon, hash browns, and cheese. At this point you can make it ahead and refrigerate for up to 24 hours. Mix together eggs, milk, salt and pepper. Pour mixture over the dish. Bake for 20 to 25 minutes."
78,"Preheat oven to 350 degrees fahrenheit or 175 degrees celsius. Mix the flour, baking powder, baking soda, butter, sugar, egg, vanilla extract, cornmeal, baking powder, salt, flour. Add to the creamed mixture. Drop dough by tablespoonfuls onto a greased cookie sheet. Bake in a preheated 350 degree oven about 15 minutes or until lightly brown."
79,"Heat oven to 375f. Arrange baguette slices on large ungreased cookie sheet. Brush with olive oil. Bake 5 to 7 minutes or until lightly toasted and crisp. Place on 2 serving plates and cool 1 minute. Spread each with about tablespoon alouette crme de brie. In small bowl, combine chutney, and cranberries. Spoon small dollops over cheese. Garnish sparingly with mint."
80,"Preheat oven to 450 degrees. Put oil in 9x13 pan, swirl around. Scrub potatoes. Cut each lengthwise into 8 wedges. Combine flour and seasonings in a bowl or baggie. Add potato wedges and shake or toss to coat. Arrange skin-side-down in oiled pan. Bake 35-40 minutes."
81,"Preheat oven to 425f. Line a 10 x 15 inch rimmed baking sheet with foil. Place vegetables in pan and sprinkle with olive oil and toss until covered evenly. Sprinkle with salt, pepper and garlic powder. Roast 10 minutes, stir, sprinkle with parmesan cheese and roast an additional 10 to 15 minutes until vegetables are slightly charred and tender."
82,"In a large mixing bowl, cream the butter until smooth. Add in the sugars. Beat on low for 2 minutes. Add in the milk, syrup, and vanilla. Beat 3-5 minutes until smooth and creamy. Use immediately or store, covered, at room temperature for up to 2 days. Reportedly, the icing tastes better if made the day before because the brown sugar gives the icing a slightly grainy texture that improves if allowed to set overnight."
83,"In a saucepan over medium low heat, melt 3 tbls butter. Stir flour and salt into pan until mixture becomes thick and smooth, remove from heat and set aside. In a saucepan over medium-high heat, saute onions and garlic in remaining butter until translucent. Add spinach and water to pan, reduce heat to low, cover. Cook, stirring occasionally for 8 minutes. Stir prepared sauce and parmesan cheese into pan, stir until completely blended."
84,"Mix together coffee, milk, granulated sugar, fat free vanilla ice cream, fat free chocolate syrup, vanilla extract, salt, semisweet chocolate, walnutspreparation:Heat butter, sugar and water in a 3 quart sauce-pan to a rolling boil. When mix reaches 305 degrees pour onto a greased large cookie sheet. Sprinkle chocolate chips over the chocolate. As chocolate melts spread with a butter knife. Spread nuts evenly over the pan, shaking lightly until all nuts stick. Cool until hard. Break into pieces. Enjoy."
85,"Preheat oven to 350 degrees fahrenheit. Place the asparagus on a nonstick baking sheet. Drizzle with the olive oil and sprinkle with the salt & pepper. Toss to coat. Bake for 6 minutes, stirring once, until golden. Meanwhile, fill a medium saucepan with water and bring to a rapid boil. Add the asparagus and cook until crisp-tender, about 3 minutes. Drain the asparagus and refresh under cold running water, then pat dry. In a small saucepan, simmer the heavy cream with the sliced garlic. Season with salt and pepper. Crack 2 eggs into each gratin dish, pour the garlic cream on top and sprinkle all over with the buttered crumbs. Bake the eggs for 15 minutes, or until the whites are firm and the yolks are still runny. Serve at once."
86,"Preheat oven to 375 degrees. Beat the butter with the sugar in a large bowl until light and fluffy. Beat in the eggs, orange juice and vanilla. In another bowl mix the flour, corn meal and baking powder. Add the dry ingredients to the wet and stir just until blended. Fold in corn. Fill greased muffin cups three-fourths full. Bake at 375 for 18-22 minutes or until a toothpick comes out clean. Cool for 5 minutes before removing from pan to a wire rack. Serve warm."
87,Heat olive oil in a large skillet over medium-high heat. Add onions and garlic and saute for 5 minutes. Add garlic and saute for 5 minutes. Add aubergines and saute for 5 minutes. Add parsley and saute for 5 minutes. Add salt and pepper and saute for 5 minutes. Add salt and pepper and
88,"Preheat oven to 325 degrees f. In 2 pans place tomato halves cut side up. Sprinkle with oil, salt and pepper, onion, garlic, oregano, thyme, red wine. Bake tomatoes for 2 hours. Check the tomatoes after 1 hour and turn down the heat if they seem to be cooking too quickly. Then turn the oven to 400 degrees and bake another 30 minutes. Remove from the oven and process tomatoes through a food mill using a medium dye over a small saucepan. Discard skins. Add wine, bring to a boil, reduce heat to low and cook for 5 minutes."
89,"Preheat oven to 350f. Mix all ingredients, except salmon, together. Pour a small amount of the mix into the bottom of a baking pan - just enough to lightly cover the bottom. Add the salmon, and pour the remaining mix over top. Bake for about 20 minutes, or until salmon flakes easily with a fork."
90,"Preheat oven to 425 degrees f. And grease a 8 inch square baking pan. Sift the cornmeal, flour, baking powder and salt together. In a seperate bowl mix the egg, buttermilk oil and honey. Add the egg mixture to the dry ingredients. Beat until smooth. Pour into pan. Bake 20 minutes edges may start to brown a little."
91,"Preheat oven to 400f. Place a baking dish in the oven while you preheat it. Meanwhile, separate the cloves from the garlic head but do not peel them. Smash the cloves with a knife. Heat the oil in a pan and add in the garlic. Fry for a couple minutes and put in the pork chops. Season with salt and pepper. Brown for just 1-2 minutes on each side. Put the chops and garlic in the pan that has been heating in the oven. Meanwhile, put the apple in the pan and fry for a couple minutes. Add the wine and let bubble until reduced by half. Pour over the chops and bake for 12-15 minutes, braising with the juice if you like. Take out and serve immediately with your choice of veggies."
