steps,ingredients,name,id
"Mix together butter, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream, cream,","butter, shallots, sliced mushrooms, lemon, juice of, white wine, heavy cream, gruyere cheese, cayenne, cornstarch, water",mushroom and gruyere cheese omelet,91223
Cook linguini according to diretions. Combine next 4 ingredients in large serving bowl. Add pasta and toss well. Season with salt and pepper to taste. Toss in parmesan cheese. Add asparagus and shrimp.,"linguine, butter, onions, garlic, shrimp, half-and-half, ground black pepper, parmesan cheese, fresh parsley, lemons",shrimp linguine alfredo,23627
Sprinkle lime wedges on top of steaks. Serve immediately.,"tequila, sugar, fresh cilantro, lime zest, garlic, salt, lime juice, jalapeno pepper, steaks",margarita steaks,38415
Scoop egg yolks into bowl. Cover and refrigerate until ready to serve.,"bacon, eggs, mayonnaise, green onions, prepared mustard, salt and pepper",bacon deviled eggs,290199
"Place chicken breasts in crock pot. Add all other ingredients. Cook on high for 5-6 hours. Remove chicken and shred with two forks. Return chicken to crock pot, reduce to low, and cook for 1-2 hours.","dry ranch dressing mix, boneless skinless chicken breasts, mushrooms, butter, chicken broth, condensed cream of mushroom soup, cream cheese, garlic cloves, salt, black pepper",interesting crock pot chicken,26845
Combine dressing ingredients and heat until it comes to a boil. Let cool and refrigerate.,"cooked rice, mayonnaise, celery, onion, prepared mustard, salt, hardboiled egg, radishes, cucumber, chicken",oriental summer rice salad,118696
Sprinkle with parmesan cheese and serve immediately.,"string bean, shallots, garlic cloves, extra virgin olive oil, bacon, salt and pepper",roasted string beans,387080
"Preheat oven to 350f, grease cookie sheets. Bake for 10 minutes, should be very puffy. Allow to cool for 5 minutes on baking sheet, they will fall considerably due to the lack of egg.","raisins, water, baking soda, vanilla, cinnamon, nutmeg, margarine, brown sugar, eggs, flour",raisin drop cookies,137960
Place ice cream taffy in ice cream maker and mix well. Pour ice cream taffy into ice cream maker and mix well. Pour ice cream,"sugar, white vinegar, water, butter, vanilla extract, powdered sugar",ice cream taffy,22732
Preheat oven to 350f. Butter a 9x9 pan with butter or spray butter. Spread half of the kluski noodle mixture into pan. Spread half of the k,"bacon, onion, cabbage, kluski noodles, cottage cheese, muenster cheese, salt, cracker crumb, butter, sour cream",kluski pierogi casserole,184595
"Put butter, sugar, icing sugar, drinking chocolate, plain flour, sultanapreparation:Put butter, sugar, icing sugar, drinking chocolate, plain flour, sultanabake at 170 degrees celcius for 8-15 minutes or until golden. Store in an airtight container.","butter, icing sugar, drinking chocolate, plain flour",viennese biscuits cookies,124962
Place meatloaf in crockette and place on top of meatloaf. Cover and cook on low for 10-12 hours. Remove meatloaf from crockette and place on top of meatloaf. Cover and cook on low for 10-,"lean ground beef, egg, quick-cooking oats, dry onion soup mix, catsup",meatloaf crockette size,186366
"Mix all ingredients in a large serving bowl and top with lettuce, canned corn, canned beans, tomato, green onion, pinto beans, mayonnaise, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour cream, tomatoes, cheddar cheese, sour","cornbread mix, green onions, red bell pepper, whole kernel corn, pinto beans, mayonnaise, sour cream, tomatoes, cheddar cheese",cornbread layered salad,224127
Boil chicken for 40 minutes. Cool. Serve.,"boneless chicken breast halves, hot chili sauce, vegetable oil, salt, bacon, mixed salad green, red onions, grape tomatoes, parmesan cheese, vinaigrette",sriracha grilled chicken salad,436620
"Add butter, chicken tenders, onion, celery ribs, carrots, frozen corn, cream of potato soup, chicken broth, dried dill, half-and-half. Cover and cook on low for 5-6 hours or on high for 4-5 hours. Serve chicken chowder over rice.","butter, chicken tenders, onion, celery ribs, carrots, frozen corn, cream of potato soup, chicken broth, dried dill, half-and-half",crock pot chicken chowder,115253
In a shaker filled with ice. Combine all ingredients. Shake to blend. Strain into ice filled hurricane glasses. Garnish with mango zest.,"mango juice, pineapple, coconut rum, granulated sugar, lime juice, fresh pineapple chunk",frozen mango colada,343103
"Place the dried apricot chips in a large bowl, cover with plastic wrap and refrigerate until ready to serve.","dried apricot, hot water, fresh lime juice, mayonnaise, chipotle chile in adobo, green onions, adobo sauce",dried apricot chipotle sandwich spread,371242
"Preheat broiler. Mix mayonnaise, parmesan, garlic and herbs in bowl to blend. Arrange bread, cut side up, on baking sheet. Butter generously. Broil until crisp and golden-brown. Spread parmesan mixture over bread. Broil until puffed and golden-brown. Cut into wedges and serve.","olive oil, button mushrooms, parsley, basil, salt & freshly ground black pepper, crusty bread, garlic",garlic bread with sauteed mushrooms,88274
Place the lime slush in a blender and blend until ice is very fine. Place the lime slush in a blender and blend until ice is very fine. Place the lime slush in a blender and blend until ice,"tequila, triple sec, frozen limeade concentrate, blue curacao, ice, coarse salt, lime wedge",frozen bluethongarita,257512
Heat oil in saucepan. Bring to a boil. Reduce heat. Cover and simmer for 10 minutes or until vegetables are tender.,"red potatoes, garlic cloves, green beans, olive oil, fat-free chicken broth, salt and pepper, fresh basil",herbed red potatoes and baby green beans,104631
Mix all dry ingredients in a bowl. Mix all dry ingredients together and let stand for a minute. Mix all dry ingredients together and let rise for 1 hour. Bake at 350 for 20 minutes or so.,"whole wheat flour, bread flour, honey, butter, yeast, gluten, warm water",sweet wheat bread bread machine,158677
"Preheat the oven to 350°F. In a large bowl, whisk together the olive oil, lemon juice, salt and pepper. Set aside. In a large bowl, whisk together the olive","olive oil, fresh lemon juice, orange zest, kalamata olives, red onion, navel oranges, salt & pepper, fresh rosemary",orange red onion and black olive salad,249742
Heat oven to 450 degrees. Line pastry shell with foil and bake 5 minutes. Remove foil and bake 5 additional minutes. Remove,"apples, butter, sugar, cinnamon, unbaked pie shell, cheddar cheese, eggs, whipping cream",smithfield inn s apple cinnamon quiche,70014
Combine all ingredients in a blender or food processor. Whirl until smooth. Place in jar with tight-fitting lid. Refrigerate for up to two weeks. Shake well before serving.,"garlic, extra virgin olive oil, buttermilk, light mayonnaise, white wine vinegar, salt, white pepper, green onion",roasted garlic ranch dressing,117973
"In a small bowl, combine the peanut butter, vinegar, soy sauce, sesame oil, honey, toasted sesame seeds, garlic clove, ginger, frozen peas, carrot, chili sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce","thin spaghetti, peanut butter, soy sauce, sesame oil, honey, toasted sesame seeds, garlic clove, ginger, frozen peas, carrot",my favorite sesame noodles,92225
"Heat oil over med-high heat. Add bacon, thyme, rosemary, sugar, balsamic vinegar, maple syrup, garlic clove. Simmer scraping the bottom of the pan for 1 minute. Return bacon to pan","pork tenderloin, bacon, thyme, rosemary, sugar, balsamic vinegar, maple syrup, garlic clove",bacon wrapped pork tenderloin with maple balsamic glaze,451277
"Preheat oven to 350f. Bake in a 350 degree oven for 10-15 minutes, or until golden brown. Remove from oven and allow to cool. Remove from oven and allow to","mushrooms, cream cheese, mayonnaise, smoked salmon, dried dill, fresh lemon juice, margarine, parsley, fresh breadcrumb, parmesan cheese",mushroom caps stuffed with smoked salmon,337135
"Preheat oven to 350f. Place all the ingredients into one large mixing bowl. Mix well. Pour into the prepared pan. Bake for 30 to 40 minutes, or until done.","crushed pineapple, flaked coconut, vanilla instant pudding mix, cherry pie filling, chocolate cake mix, butter",granny s black forest dump cake,34348
"Mix together the sweet potato, fresh ginger, egg, baking powder, flour, cinnamon, cardamom, salt, baking powder, salt, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking powder, baking","sweet potato, fresh ginger, egg, baking powder, flour, cinnamon, cardamom, salt, oil",sweet potato and ginger pancakes can be gluten free,333994
Preheat oven to broil. Cut each cheese and garlic crisps into 6 slices. Bake at 350 for 13 to 15 minutes.,"pita bread rounds, butter, fresh basil, garlic, parmesan cheese",cheese and garlic crisps,105271
Place beef cubes in crock pot. Cover with gravy mixture. Cook on low for 8-10 hours.,"flour, salt & pepper, beef cube steaks, oil, onion, water, green pepper, gravy",crock pot beef tips with gravy,97019
 Bake at 375f.,"roma tomatoes, garlic cloves, olive oil, balsamic vinegar, fresh cilantro, jalapenos, kosher salt, fresh cracked pepper, french bread, parmesan cheese",southwestern bruschetta,191478
"Preheat oven to 400f. In a mixing bowl, combine pumpkin, milk, egg, biscuit mix, sugar, ground nutmeg, ground cinnamon, ground ginger, butter, eggs, canola oil, water, canned pumpkinpreparation:Preheat oven to 400f. In a mixing bowl, combine pumpkin, milk, egg, biscuit mix, sugar, ground nutmeg, ground cinnamon, ground ginger, butter, eggs, canola oil, water, canned pumpkinpreparation:Preheat oven","pumpkin puree, evaporated milk, honey, ground cinnamon, vanilla ice cream, rum, ground nutmeg",nestles pumpkin nog,197793
"Mix together the lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute, lemon juice, curry powder, cucumber, cantaloupe, water","olive oil, lemon juice, curry powder, cucumber, cantaloupe, watermelon, strawberry, splenda sugar substitute",kathy s fruit salad,337210
Put chicken in wok. Cover with lid. Bake 30 minutes at 350. Remove lid. Baste and cook 30 minutes longer uncovered.,"margarine, all-purpose flour, chicken broth, water, soy sauce, garlic powder, cooked chicken, pepper, chow mein noodles",oriental chicken oamc,324521
Place potatoes in crockpot. Cover and cook for 7-8 hours or on high for 3 to 4 hours. Remove potatoes from crockpot and return to crock pot. Cover and cook for 7-8 hours or on,"ground beef, potatoes, onion, cream of chicken soup, sour cream, butter, cheese",potluck potatoes slow cooker,398347
"Preheat oven to 350 degrees. Combine brown and serve rolls, deli ham, swiss cheese, butter, yellow mustard, worcestershire sauce, poppy seed, green onion, horseradish sauce, butter, yellow mustard, worcestershire sauce, poppy seed, green onion, horseradish sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard, worcestershire sauce, butter, yellow mustard","brown and serve rolls, deli ham, swiss cheese, butter, yellow mustard, worcestershire sauce, poppy seed",hot ham and cheese rolls,402035
"Heat grill or cast-iron griddle over medium-high heat until chicken wings are cooked through, about 5 minutes. Remove from heat and serve.","chicken wings, pineapple preserves, dry sherry, frozen orange juice concentrate, soy sauce, brown sugar, vegetable oil, garlic powder, ground ginger",aloha chicken wings,77820
"Preheat oven to 425 degrees f. Combine pistachios, sun-dried tomatoes packed in oil, roasted red peppers, garlic cloves, eggplants, olive oil, buns, pasta sauce, part-skim mozzarella cheese, salt, egg, eggplantspreparation:Preheat oven to 425 degrees f. Combine pistachios, sun-dried","shelled pistachios, sun-dried tomatoes packed in oil, roasted red peppers, garlic cloves, eggplants",pistachio crusted eggplant cutlets,494207
"Preheat oven to 350 degrees F. Line a baking sheet with parchment paper. Bake for 20-25 minutes, or until golden brown. Remove from oven and let cool completely. Remove from oven and let","ground turkey, carrots, celery, onion, chicken base, water, garlic clove, salt, pepper, bun",ground turkey loose meat sandwich or burger,304772
"Heat oil in a large non-stick skillet on medium-high. Add flour, cocoa powder, malted milk balls, eggs, sugar, vegetable oil, low fat fromage frais, icing sugar","self raising flour, cocoa powder, malted milk balls, eggs, sugar, vegetable oil, low fat fromage frais, icing sugar",easy malteser whopper fudge slice ww 3 points,253055
"Heat oven to 350f. Mix bacon, ground beef, hamburger buns, onion, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa, green onions, lettuce leaves, tomatoes, pickles,","bacon, ground beef, hamburger buns, onion, lettuce leaves, tomatoes, pickles, mexican blend cheese, green chili salsa",southwestern bacon burgers,458439
"Cook chicken through. Cook penne al dente. Saute chicken and garlic until chicken is no longer pink inside. Reduce heat and stir in salt, pepper, cream, pesto, and parmesan cheese. Cook until chicken is no longer pink inside. Reduce heat and stir in salt, pepper,","boneless skinless chicken breasts, penne pasta, butter, heavy cream, gorgonzola, parmesan cheese, nutmeg, roma tomatoes",penne gorgonzola with chicken and roma tomatoes,17961
Cook chicken in skillet in hot oil 4 to 5 minutes or until chicken is cooked through. Sprinkle with shredded cheese. Continue cooking about 3 minutes or until chicken is cooked through,"chicken breasts, salt, pepper, long-grain rice, water, salsa, cheddar cheese",zingy salsa chicken casserole,277802
Mix first 2 ingredients in medium bowl. Add boiling water. Stir 2 minutes. Pour into a 13x9 inch pan sprayed with cooking spray. Pour into a,"graham cracker, gelatin, sour cream, sugar",graham cracker jell o dessert,64288
"Preheat oven to 350 degrees. Bake for 30 minutes, or until golden and set. Dust with icing sugar to serve. Hope it tastes good.","unsalted butter, golden syrup, dark muscovado sugar, apples, eggs, milk, double cream, brioche bread",english toffee apple bread and butter pudding,255210
Mix all ingredients in blender. Blend on high until mixture is smooth and creamy. Transfer to a tall glass and serve.,"heath candy bars, chocolate ice cream, milk, cinnamon, vanilla extract",chocolate shake down,184702
"Cream butter, sugar, eggs, and vanilla. Add flour, cocoa, baking soda, and salt. Mix well. Bake at 350 degrees for 8 - 10 minutes.","peanut butter, butter, white sugar, brown sugar, eggs, vanilla, quick-cooking rolled oats, all-purpose flour, baking soda, chocolate chips",basketball team cookies,308822
"Heat oven to 400 degrees f. In a food processor, combine the butter, cheddar cheese, cornmeal, flour, baking soda, salt, sugar, egg, butter, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk, buttermilk","white bread, shredded cheddar cheese, bacon, slivered almonds, onion, mayonnaise",mary vickers,413057
"Preheat oven to 350f. Toss together raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, raisins, ra","sugar, golden raisin, ground cinnamon, ground nutmeg, apples, brown sugar, all-purpose flour, butter",warm apple raisin crisp with crumb topping,283983
