Unnamed: 0,result
13,"In a medium saucepan, combine 1 cup cream and coffee. Bring to a boil over medium-high heat. Remove from heat. In a medium bowl, combine chocolates. Through a fine-mesh strainer, strain cream mixture over chocolates. Stir until chocolates are melted. In a medium bowl, beat remaining 2 cups cream and vanilla at high speed with an electric mixer until soft peaks form. Gradually add sugar, beating until stiff peaks form. Fold whipped cream mixture into chocolate mixture. Cover and chill. Chilling can take up to 4 hours."
14,"Preheat oven to 350 degrees. Pound chicken breasts between sheets of waxed paper. Mix gruyere cheese, pesto, pine nuts, and green onions in a small bowl. Spread 2 tablespoons of the cheese mixture on top of each chicken breast and roll tightly. Dredge chicken breasts in flour. Saute chicken breasts in heated oil at medium-high heat until golden brown, turning occasionally, for approximately 6 minutes. Place chicken in pan and bake until chicken is tender and cooked through, about 20 minutes. Place chicken in pan and bake until chicken is tender and cooked through, about"
15,"In a large pot of boiling salted water, heat the cream in a large pot of boiling salted water until al dente. Bring to boiling. Reduce heat. Simmer covered for 15 minutes. Stir in cooked sausage, kale or spinach simmer for about 5 minutes more or until kale is tender. Season to taste with pepper."
16,"Preheat broiler. Combine all ingredients, except butter and flour. Bring to a boil. Reduce heat and simmer 5 minutes. Blend melted butter with the flour to make a roux. Add roux to the corn and mix well. Remove from heat. Pour into a casserole dish. Sprinkle with parmesan cheese. Broil until cheese is nicely browned."
18,"Heat 1 tablespoon of oil in large frying pan. Add onion, cover, and cook over low heat for 4 minutes. Add meat patties and cook 10 to 12 minutes over medium heat. Turn 4 times during cooking, and once seared, season well. When burgers are done, transfer to ovenproof dish. Cover each burger with a slice of cheese and broil 2 to 3 minutes."
20,"To a blender, add ice and all ingredients except lime. Blend until ice is fully crushed and liquid is frothy. To a blender, add ice and all ingredients except lime. Pour into the glass. Add in the sprite to the glass. Shake vigorously for 5-10 seconds. Add in the"
21,"Preheat oven to 350 f. Combine flour and baking soda in a bowl. Beat butter, peanut butter, sugars, and vanilla in a large mixing bowl until creamy. Beat in eggs. Beat in flour mixture. Stir in oats and chocolate chips. Drop by mounded tablespoons onto a ungreased cookie sheet about 3 inches apart then bake for 10 to 15 mins. Or until they are light brown. Let stand on cookie sheets 3 minutes then remove to wire racks to cool."
23,"In a small saucepan, combine the brown sugar, butter, cream and maple syrup. Cook and stir over medium heat for 4-5 minutes or until sauce is smooth. Stir in bananas. Heat through. Remove from the heat. Stir in extract. Serve over ice cream."
24,"Put jello in a pyrex. Pour boiling water over and stir until completely dissolved. Fold in all fruit and 1 cup nuts. Put in fridge to congeal. When jello is totally set, spread sour cream over top. Sprinkle with rest of pecans. Refrigerate until ready to serve. Prep time doe not include refrigerator time."
25,"Heat oil in a saucepan, add onion and saute until soft. Remove seeds and rib of pepper, chop, add to saucepan and cook for 5 minutes. Add beef cubes and cook for about 5 minutes, stirring occasionally. Add stock and thyme. Season with salt and simmer for about half an hour. Serve with cooked rice."
26,"Mash the banana in a medium bowl. Add the egg, vanilla, yogurt, and water. Whisk until a bit frothy and smooth. In a smaller bowl mix the flour, baking soda, baking powder and cocoa powder. Sift it into the banana mixture. Mix until just blended. It will be thick. Use a ladle to drop some batter on a non-stick skillet or griddle over medium heat sprayed with non-stick cooking spray. Cook about 1-2 minutes per side. When bubbles form on one side, its time to flip them over."
27,"Spread the egg mixture evenly over the buttered side of the bread. Arrange the cheese on four slices, and top with the salami and remaining bread. Press firmly together. Beat the eggs and olive oil together, adding salt and pepper to taste. Heat the cooking oil in a frying pan. Dip each sandwich into the egg mixture, fry 2 sandwiches at a time until golden brown, turning with a spatula to crisp both sides. Drain on absorbent kitchen paper and serve."
28,"Preheat oven to 375 degrees. Grease 12-cup muffin pan. Set aside. In a large bowl, combine spaghetti, eggs, parmesan cheese, ground beef, onion, spaghetti sauce, mozzarella string cheese, mozzarella cheese. Evenly press mixture into muffin cups to form a crust. Evenly top each cup with pasta sauce, then mozzarella cheese. Bake 15 minutes or until bubbling. Let stand 5 minutes before serving."
29,"Mix all ingredients on medium speed for 2 minutes. Pour into greased and floured bundt or tube pan. Bake at 350 degrees for about 55 minutes, or until inserted toothpick comes out clean. Cool 15 minutes, then turn out of pan. Cool. Dust with powdered sugar if desired."
31,"In a large saucepan over medium-high heat, melt butter. Add the onion, mushrooms, carrot, and thyme, and saute until the onion is just translucent, about 4-5 minutes. Add the broth and mashed potatoes. Stir until potatoes are mostly dissolved and broth is smooth. Add the turkey and bring to a simmer. Reduce heat to medium-low and cook, stirring occasionally, until heated through, about 10 minutes. Season to taste with salt and pepper."
32,"Heat oil in a large skillet over medium heat. Add onion, celery, green pepper, garlic clove, stewed tomatoes, sugar, water, hot sauce. Bring to a boil, stirring well. Cover and simmer until liquid is absorbed, and rice is tneder, about 10-12 minutes. Remove from heat, and let rest 5 minutes before serving."
33,"Preheat oven to 350f place the pork char shu chinese side by side, fat side up in a large heavy roasting pan. Insert an ovenproof meat thermometer in the center of one of the roast. Roast the pork for 30 minutes. Meanwhile in a bowl, crush the rosemary with the olive oil, pepper, vinegar and salt. Spoon the seasoning over the pork. Return the meat to the oven and roast for 30 minutes longer, until the internal temperature is 160 to 165. Remove from the oven, cover loosely with foil and let rest for at least 10 minutes. Thinly slice the meat and arrange on platters. Pour any juices over the meat. Garnish with rosemary springs. Serve warm or at room temperature."
34,"Place the rice into a pan with the milk and bring to a boil. Reduce heat and simmer for 30 minutes. Strain through a cheesecloth or fine mesh sieve. Stir in the sugar, cinnamon, nutmeg, and peel. Chill in the refrigerator and serve."
35,"Preheat oven to 450. Grease or spray a large cookie sheet. Stir together dry ingredients including the sugar. Cut butter into flour mixture. Add raisins, stir to mix well. Beat egg in measuring cup. Add milk to make 1 cup. Stir into flour. Drop roughly tablespoon size scoops on cookie sheet. Bake for 10-12 minutes."
36,"Place celery, water, and bouillon in med saucepan. Bring to boil. Reduce heat, cover and cook approx 15 minutes or until celery is crisp-tender. Drain, add butter, cover and let stand until butter melts. Sprinkle with cheese and parsley."
37,"Preheat oven to 375 degrees. Butter two baking sheets, or place silicon baking sheets on them. In a large bowl, stir together the flour, sugar, baking powder and salt. With an electric mixer on low speed, add the butter until blended. Whisk together the eggs, zest and vanilla, and add this to the flour mixture, and continue beating on low until you have a smooth dough. Pinch off a small piece of dough about the size of a small golf ball and roll it into a log about 2 inches long. Roll the log into the sesame seeds, pressing them so seeds stay on. Place the cookie on the prepared baking sheets keeping the cookies two inches apart. Bake for 25 minutes or until lightly browned. Cool, and store in airtight containers."
38,"Preheat oven to 350f. Grease a 12-cup muffin pan or line with 12 muffin paper liners. Sift together the flour, cocoa, baking powder, brown sugar, eggs, maraschino cherry juice, flour, baking powder, maraschino cherries, pecans, powdered sugar. Make a well in the center of the dry ingredients and pour in the beaten liquid ingredients. Stir gently until just combined. Do not overmix. Spoon the batter into the prepared muffin pan. Bake in the preheated oven for about 25 minutes, until well risen and firm to the touch. Let the muffins cool in the pan for 5 minutes, then serve warm or transfer to a wire rack and let cool completely."
39,"In 4-quart saucepan, melt butter over medium heat. Cook onion and garlic in butter 2 to 3 minutes, stirring frequently, until tender. Stir in flour, salt and pepper. Cook, stirring constantly, 1 minute. Stir in broth, broccoli and corn. Heat to boiling over high heat. Reduce heat. Simmer 5 to 7 minutes, stirring occasionally, until vegetables are tender. Stir in half-and-half. Cook 2 to 3 minutes, stirring occasionally, until hot."
40,"Place beans in a saucepan and cover with water. Bring to a boil. Reduce heat. Cover and simmer until crisp-tender. Meanwhile, in a skillet, saute mushrooms, onion and garlic in oil until tender. Stir in water chestnuts and seasonings. Heat through. Drain beans and stir into skillet. Sprinkle with parmesan cheese. Serve immediately."
41,"Mix the salt and chile powder on a small plate. Rub the rims of 4 martini glasses with the lime wedge, then dip the rims in the salt mixture to coat. Fill a cocktail shaker with ice, and add all of the remaining ingredients. Shake vigorously, then strain into glasses. Serve immediately."
42,"Place chicken breasts in a lightly greased shallow baking dish. Season with the taco seasoning mix. Pour the salsa over the chicken. Bake at 350 for 35 to 45 minutes, or until chicken is tender. When ready to serve, remove the chicken from the pan, stir sour cream into salsa, then return chicken. Serve salsa sour cream chicken with a big tossed salad and spanish rice. This chicken breast recipe serves 4."
43,"Preheat a grill for high heat. When the grill is hot, lightly oil the grate. In a large bowl, mix together the ground beef, worcestershire sauce, hickory seasoning, salt and pepper until well blended. Make 8 or 10 balls, and flatten into patties. On one half of the patties, distribute the onions, mushrooms, ham and cheese. Carefully cover the piles with the remaining patties, making sure to seal all of the edges of the patties together tightly and enclose the filling. Grill the patties for 8 to 10 minutes per side, or until meat is well done, and cheese in the center is melted."
44,"Preheat oven to 190c grease a patty tin or use paper cups. Sift flour and baking powder. Cream fat and sugar until mixture is light and creamy. Add in vanilla essence. Beat egg and add it gradually to the mixture, beating well after each addition. Fold in the sifted flour with a metal spoon. Add a little milk if necessary to give it a soft dropping consistency. Mix in the raisins. Fill greased patty tin or paper cups half full with the mixture. Bake for 20 minutes."
45,"Combine the mustard, honey, sugar and vinegar in a saucepan and whisk to mix. Bring to a simmer over low heat and cook gently, uncovered, until richly flaovred, about 5 minutes, whisking from time to time. Remove from heat and season to taste with salt and pepper. Transfer to a serving bowl and serve warm or at room temperature. The glaze will keep, tightly covered in the refrigerator, for several weeks."
46,"In a large saucepan, melt butter, brown sugar, spiced rum, nutmeg. Heat about 2 minutes, stirring occasionally. Stir in carrots and cook until coated with sauce and just heated through. Serve hot."
47,"In a large bowl or cork, toss the zucchini with the salt. Cover and let stand in a cool place for 8-12 hours. In a non-reactive saucepan, combine the sugar and vinegar. Bring to a boil, then let it cool. Rinse the zucchini, and drain it well. Pack the vegetable mixture firmly into pint mason jars. Pour the vinegar mixture over the vegetables. Close the jars with hot two-piece caps. Process the jars for 20 minutes in a boiling water bath. Store the cooled jars in a cool, dry, dark place for at least 3 weeks before eating the zucchini."
49,"Preheat oven to 325f. In small saucepan, melt chocolate chips and margarine over low heat, stirring until foamy and light yellow in color. Beat in sugar, vanilla, and chip mixture. Add flour, mixing well. Pour into a lightly greased 13x 9-inch pan. Bake for 40 to 45 minutes or until brownies pull away from pan or until set in center. Cool completely before cutting into squares."
50,"Preheat oven to 350 degrees F. In a small sauce pan, heat the sesame oil, almonds and sesame seeds on medium high. Toast the almonds and seeds stirring constantly until the sesame seeds start turning golden brown. Immediately pour the nuts and seeds into the soy sauce mix and stir. Add in the scallions, and then pour the dressing over the salad. Toss the salad until the dressing is completely incorporated. Allow the salad to sit at room temperature for at least 30 minutes before serving up to 4 hours."
51,"Combine egg yolks and sugar in a medium-sized bowl and beat well. In a separate bowl, beat the egg whites to stiff peaks. In a third, larger bowl, combine the egg yolk mixture with the mascarpone, then fold in the egg whites to produce a creamy mixture. Arrange a tight layer of ladyfingers in a 9-by-12-inch serving dish. Using a spoon, drizzle about half the liqueur and half the espresso over the ladyfingers. Cover the ladyfingers with the mascarpone mixture and the grated chocolate, and dust it with a little more than half the cocoa. Cover the filling with a second layer of ladyfingers and drizzle with the remaining liqueur and espresso. Place the dish in the refrigerator for at least 12 hours. Top with the remaining cocoa before serving."
52,"Heat oven to 425. Place chicken breasts in ungreased baking pan, 9 x 9 x 2. Spread 1 tsp butter on each of the four chicken breasts. Sprinkle salt and paprika on the breasts. Drizzle all with the lemon juice. Bake uncovered 35- 45 minutes or until tender. Sprinkle with snipped parsley and serve."
54,"Put the dressing in a small mixing bowl and put it on to boil. Put the sultanas into a small bowl, then cover them with boiling water and set them aside. To make the citrus dressing, peel and finely grate the ginger into a small mixing bowl. Finely grate half the rind from the lemon and then from the orange into the bowl. Squeese the juice from half of the lemon and then from half of the orange and add it to the ginger in the mixing bowl. Stir in the sour cream or yogurt and set the dressing aside. Peel the carrots and grate them into a serving bowl, then drain the sultanas and add them. Stir the dressing into the carrots and sultana mixture, then season with salt and add honey or sugar to taste. Finally, stir in the chopped nuts and serve."
55,"In a wide shallow dish, whisk the egg, yogurt and salt. Brush one side of bread slices with melted butter. Layer the ham, swiss and cheddar on the buttered side of 2 slices of the bread. Top with remaining bread, buttered side inward. Melt 2 tablespoons of butter in a cast iron skillet over medium-low heat. Carefully dip both sides of the sandwich into the egg mixture, holding sides of sandwich together. Cover and cook in skillet until golden, then turn and cook other side until cheese is melted. Add additional butter to skillet as needed. Dust with powdered sugar and serve immediately."
56,Preheat oven to 350f. Spray 13x9 pan with cooking spray. Drain butter beans and pour into pan. Add all other ingredients and mix well. Bake for 1 hour or until brown and bubbling.
57,Heat oven to 400f. Saut salmon and chive in butter until tender. Add salt to taste. Beat eggs and milk together in small bowl. Sprinkle parmesan in bottom of well greased muffin trays or pie dish. Layer salmon and chive in bottom of well greased muffin trays or pie dish. Layer salmon and chive in bottom of well greased muffin tr
58,"Heat oven to 425. Cut the bottoms off the brussels sprouts and trim any damaged leaves. Cut in half. Add the rest of the ingredients into a bowl. Mix to combine. Add broccoli, then pine nuts and wine. Add lemon juice a bit at a time. Season with salt and pepper. Cover and simmer until liquid is absorbed."
59,"Put your brats in a large pot and dump in the 2 beers, onion, season all and garlic powder. Add water until the brats are fully covered. Cook 20 minutes on medium heat, meanwhile, heat up your grill. Transfer your brats to the grill and cook 4-5 minutes on each side. Be careful not to pierce the brats with a fork or anything because this will let the good tasting juices out. Discard the beer & onion mixture. Place a slice of cheese in each hot dog bun and add your brats on top. Add desired condiments."
60,"Heat oil in a wok. Add cabbage, garlic, black bean sauce, stir fry for 1 minute. Stir in the spinach, chili sauce, and lemon juice, and mix well. Keep stirring for about 3 minutes, until cabbage is soft, about 20-30 minutes. Add cabbage to the skillet and saut for 1 minute or until aromatic. Add garlic to the skillet and stir to coat in bacon drippings and garlic. Add rotel, reserved crumbled bacon, salt and pepper and stir to combine. Simmer over low to med heat until cabbage is soft, about 20-30 minutes. Add garlic to the skillet"
61,"Preheat oven to 375 degrees. Grease 16 muffin cups. Cut each carrot in half crosswise to create 2 short round rolls. Press each half roll into one muffin cup, forming it into a cup shape. Mix together ther blueberries, preserves and lemon peel, and spoon some of the mixture into each muffin cup. Sprinkle each cup with pecans. Bake 12 minutes at 375 degrees until golden brown. Cool for 10 minutes in the muffin tin, then remove and place on wire rack. Drizzle icing over rolls."
63,"Preheat oven to 325f. In small saucepan, melt chocolate chips and margarine over low heat, stirring until foamy and light yellow in color. Beat in sugar, vanilla, and chip mixture. Add flour, mixing well. Pour into a lightly greased 13x 9-inch pan. Bake for 40 to 45 minutes or until brownies pull away from pan or until set in center. Cool completely before cutting into squares."
64,"Place 1 cup beef stock and 1 cup water in sauce pan. Add diced tomato and bring to a boil. Cook until tomatoes are easily pierced with a fork, about 10 minutes. While the potatoes are boiling, cook the frozen vegetables, according to the package, in the microwave. When the potatoes are tender, reduce heat to medium and add the remaining ingredients except water. Use an additional cup of stock if you desire a stronger flavored broth. Add enough water to cover the meat and veggies with broth. Stir to combine. Allow to simmer for 10-15 minutes, stirring occasionally, or until heated thoroughly."
65,"Heat oven to 350 degrees. Place cubed chicken in a ungreased rectangular baking dish, 13 x 9 x 2 inches. Bake chicken for 25-30 minutes, cook thoroughly. Meanwhile, start cooking your rice according to your package directions. Then in a large bowl, add the remaining ingredients and still well. When the chicken is done remove it from oven. Spoon in the ingredients from the bowl. Cover and cook for 30 minutes. Serve hot over rice and be sure to get lots of the juice."
66,"Heat oil in skillet, add onion, pepper, tomatoes, cilantro, garlic and tomato paste. Cook for 10 minutes. Bring sauce to a boil, then add shrimp and lemon juice. Reduce heat to medium and cook for 2 minutes. Add coconut milk and stir-fry 3-4 minutes until shrimp are pink and opaque. Add cilantro. Toss well and transfer to serving plates. Top each serving with 1 tablespoon toasted coconut and 1 tablespoon chopped peanuts. Garnish with lime wedges."
68,"In small bowl, mix together heavy cream, milk, vanilla extract, limoncello, eggs, granulated sugar, stale bread. Stir well and leave to sit for 1 hour. Lightly beat heavy cream, milk, vanilla extract, limoncello, eggs, granulated sugar, stale bread. Spoon into four glasses or serving dishes, drizzle over the remaining coffee and sprinkle with remaining chocolate. Chill at least one hour and up to 4 hours. Dust lightly with icing sugar before serving."
69,"Mix all ingredients and bring to soft ball stage, stirring constantly. Remove from heat. Stir until mixture thickens, becomes creamy and cloudy, and pecans stay suspended in mixture. Spoon out on aluminum foil or parchment paper. Makes approximately fifteen to twenty pralines, depending on size."
70,"In a saucepan, combine milk, whipping cream, cornstarch, white chocolate, rose essence, salt. Gradually whisk in milk until smooth. Cook, whisking constantly, over medium-high heat for about 5 minutes or until boiling and thickened. Remove from heat. Whisk in vanilla. Divide among custard cups or dessert dishes. Let cool to lukewarm or serve chilled."
71,"Heat oil in a large fry pan, add the vegetables and garlic, salt and pepper to taste. Saute to desired doneness. Add tomato sauce, and simmer for 15 minutes. Sprinkle with fresh parsley you can serve this on rice, or as a side dish, hot or cold or luke warm. You can put this on a ham sandwich. Yummm. You can put this in an omelette and top with mozzarella and parmesan"
72,Place pasta mixture in a large bowl. Add pasta. Cook 8 minutes. Add shrimp to pot. Cook 3 minutes or until shrimp are done and pasta is al dente. Drain. Place pasta mixture in a large bowl. Stir in basil and next 4 ingredients. Place spinach on plates. Top with pasta mixture.
73,"Preheat oven to 425 degrees. Stir together honey, butter and crumbled bacon in a small bowl until smooth and set aside. Place carrots and water into an ungreased 9-by-9-inch baking dish, cover with foil and bake 30 minutes. Remove foil and stir in butter mixture. Bake another 15 minutes, stirring occasionally."
74,"Preheat oven to 350 degrees. In a large mixing bowl, cream together the butter and two sugars until well combined. Beat in vanilla pudding mix. Add eggs, one at a time, until well incorporated. Mix in vanilla extract. In another small bowl, mix together flour, baking soda, and salt. Add the dry ingredients to the wet ingredients, mixing until just incorporated. Fold in m&ms and white chocolate chips. Drop tablespoon size cookie dough onto prepared cookie sheet. Bake for 10 minutes, or until just turning golden brown. Cool on cookie sheet for 5 minutes before removing to wire rack to cool completely."
75,"In a large saucepan, saute the pinto beans in oil until tender. Stir in the garlic, cumin, salt and cayenne. Cook and stir until heated through and water is absorbed. It only takes a few minutes. Remove from heat, and stir in lime juice."
76,"Preheat oven to 375 degrees f. Place sliced apples in 9 inch pie plate and sprinkle with orange juice and amaretto. Combine sugar, flour, and spices in a medium mixing bowl. Cut in butter until mixture is crumbly. Sprinkle mixture over apples evenly. Bake at 375 degrees f for 45 minutes until apples are tender and topping is crisp. May serve with a scoop of vanilla ice cream."
77,"In a blender, combine orange juice, lemon juice, splenda sugar substitute, fresh thyme. Pour through a strainer into ice-filled glasses. You should end up with about 1 cup of liquid. Stir in lime juice and agave. Garnish with lime and mint, and serve."
78,"In a large skillet, melt butter and saute garlic until it is browned slightly. Cook spaghetti according to the package directions, and drain. Add spaghetti, parmesan cheese, cream, parsley flakes, salt, and pepper, and mix well. Pour into a buttered 2 quart baking dish. Cover and bake at 325 degrees until it is warm, about 15 minutes. Uncover and sprinklethe bacon over casserole."
79,"Preheat oven to 350 degrees f. Lightly grease cookie sheet. Beat sugar and shortening until creamy. Beat in egg, milk and orange extract. Stir in flour and baking powder. Add cereal and nuts. Mix well. Drop by tablespoon onto prepared cookie sheet. Bake 10-12 minutes or until lightly browned. Let stand 1 minute before removing to racks to cool."
80,"In large mixing bowl, mix all ingredients together. Fold until all is blended. Keep refrigerated in mason jars with lids, or in containers with tightly fitting lids. To make garlic bread, slice french bread and place on cookie sheet. Spoon spread onto bread. Toast, bake, or broil until cheese is bubbly and nicely browned."
81,"Preheat oven to 325 degrees f. In a large mixing bowl, beat eggs and egg whites. Beat in milk, honey and vanilla. Stir in bread cubes. Pour into 8 inch baking dish, sprayed with a non-stick spray. Bake for 35 to 40 minutes, or until a toothpick comes out clean. Serve hot."
82,"Preheat oven to 375f. Cream butter and sugars. Add egg, vanilla, and beat until light and fluffy. Sift together flour, salt and baking soda. Stir into creamed mixture. Blend well. Add chocolate pieces and peanuts and stir by hand. Drop from teaspoon about 2 inches apart on a greased cookie sheet. Bake in 375f oven for 12 minutes. Remove from sheet immediately."
83,"Place the coleslaw mix and onion in a large bowl and set aside. In a small sauce pan, heat the sugar, vinegar, and seeds on medium high heat just until the mixture comes to a light boil. Whisk in the splenda and set aside. In a small saute pan, heat the sesame oil, almonds and sesame seeds on medium high. Toast the almonds and seeds stirring constantly until the sesame seeds start turning golden brown. Immediately pour the nuts and seeds into the soy sauce mix and stir. Add in the scallions, and then pour the dressing over the salad. Toss the salad until the dressing is completely incorporated. Allow the salad to sit at room temperature for at least 30 minutes before serving up to 4 hours."
84,"Preheat oven to 375f. Mix ground beef, stuffing mix, water, and the powder ingredient from the variation you chose. Press into 12 muffin cups sprayed with cooking spray. Make an indentation in center of each meatloaf. With spoon fill indentation with sauce. Bake 30 min or until cooked through. Top with cheese, continue baking 5 minutes or until cheese is melted."
85,"In a large bowl, beat cream cheese until fluffy. Beat in sweetened condensed milk, lemon juice, and vanilla. Lightly swirl pie filling into cream cheese mixture. Spoon into serving dishes. Cover and chill. Garnish with almonds. Prep time includes refrigeration time."
86,"Heat oil in a large skillet over medium heat. Saut onion 5 minutes, or until softened. Stir in tomatoes and basil and saut 5 minutes. Add zucchini and saut 5 minutes, or until zucchini is tender. Stir vegetables into egg mixture. Pour into a buttered shallow baking dish and bake 15 minutes or until casserole is set. Do not overcook. Cut into wedges."
87,Preheat oven to 350 degrees. Spray 9 x 13 pan with non stick spray. Place flour in bowl and dredge chicken and shake off excess. Place in pan. Sprinkle dry soup mix over all. Empty canned soups into a 4 cup measuring bowl and mix well with enough milk to arrive at the 4 cup level. Pour mixture over the chicken. Bake uncovered 1 hour.
88,"For pork, combine all but the salt in a large plastic zipper bag. Marinate in refrigerator, turning the bag occasionally, for 2 hours. Remove pork and discard marinade. Sprinkle pork evenly with salt. Grill pork over indirect heat for about 20 minutes, or until internal temperature reaches 155. Let stand 10 minutes. Slice crosswise. For salsa, combine all ingredients in a large plastic zipper bag"
89,"Preheat oven to 375 degrees fahrenheit. Unroll rolls into 4 rectangles and place in a 13 x 9 inch baking dish. Press up sides slightly and press perforations together. Layer cooked sausage, cooked bacon, hash browns, and cheese. At this point you can make it ahead and refrigerate for up to 24 hours. Mix together eggs, milk, salt and pepper. Pour mixture over the dish. Bake for 20 to 25 minutes."
90,"Preheat oven to 350 degree season meat with seasonings. In large skillet over medium high heat, saute the meat until well browned on all sides. Next, place the potatoes, onions, green peppers and mushrooms over the meat. Top with salad dressing, and cover with foil. Bake at 350 degree for 1 hour, or until potatoes are done and meat is tender."
91,"Melt butter in medium saucepan over medium high heat. Add orzo and saute until golden brown. Add scallions and saute quickly. Add chicken broth, water, salt & pepper. Bring to a boil. Stir in rice. Reduced heat to low. Cover and cook for 17-20 minutes. I finished by adding a little extra butter and salt and pepper to taste."
92,"Preheat oven to 350 degrees. In large bowl stir together sour cream, soup, cheese, melted butter, onion, salt and pepper. Gently stir in potatoes. Transfer to greased 3-quart rectangular baking dish. Sprinkle with cornflakes. Bake, covered, for 40 minutes. Uncover, bake about 15 minutes more until golden."
93,"Preheat oven to 450 degrees. Place crust on an ungreased 14 in pizza pan. In a small bowl, combine cheese, mayonnaise, onion, garlic and oregano. Spread over crust. Bake at 450 degrees for 8 to 10 minutes or until edges are lightly browned. Cut into wedges and serve warm or slightly cooled."
94,"Preheat oven to 350 degrees. Place all ingredients into a large mixing bowl and mix until just moistened. Spoon into lined or nonstick, sprayed mini muffin pan. Bake at 350 degrees for 15 minutes. Remove muffins from the tray and cool on a wire rack."
95,"Place peppers in a single layer on a foil-lined jelly roll pan, and broil peppers for 4 minutes on each side or until blackened and tender. Cool, combine peppers, olive oil, garlic cloves, lemon rind, red pepper, salt, and mozzarella balls, and toss. Cover, and refrigerate overnight, tossing after 6 hours. Let stand at room temperature for 30 minutes. Stir in basil leaves, and lemon juice before serving. Serve with a slotted spoon."
96,"Heat oil in a large non-stick skillet over medium high heat. Add chicken and cook until golden brown on all sides, about 6 to 10 minutes. Drain excess liquid before adding sauce ingredients. Mix remaining ingredients and add to skillet, stirring to coat chicken well. Cook on medium heat until chicken is well coated and sauce thickens, about 8 to 10 minutes. You can also cook them in a crock pot, on low setting. The meat just falls off the bone."
97,"Heat oil in a large frying pan over medium heat. Add flour, salt, pepper, matzo meal, eggs and cook until golden brown, about 5 minutes. Add flour mixture to pan and cook until golden brown, about 5 minutes. Add flour mixture to pan and cook until golden"
98,"In a pitcher, blend water and sugar until the sugar dissolves. Add orange blossom water, blood orange juice and lemon juice. Stir. Add what remains of one lemon and one blood orange. Let chill for 30 minutes. Serve over ice."
99,"In a large pot of boiling salted water, cook orzo 5 minutes. Add sugar snap peas and squash. Cook until orzo is al dente and vegetables are crisp-tender, about 3 minutes. Drain well. Return to pot. Add lemon juice, olive oil, and parmesan. Season with salt and pepper. Toss to combine and serve."
