,result
14,"In a large glass bowl whisk together oil, honey, soy sauce, barbecue sauce and black pepper until well combined. Add in garlic pieces and green onion. Add in the chicken strips and toss with the marinade to combine well. Cover and refrigerate for a minimum of 8-24 hours. Remove the chicken strips and discard the marinade. Thread chicken strips on the wooden skewers piercing at least 3 times through the skewers. Grill over medium heat."
15,"Preheat oven to 400 degrees f. In a food processor, combine the butter, cheese and butter. Process until the mixture is smooth. Add the scallions and pulse until combined. Season with salt and pepper, to taste. Spread the butter mixture on the cut sides of the bread. Place on a baking sheet and bake for 10 to 12 minutes until golden. Remove from oven and serve immediately."
16,"Preheat oven to 375 degrees f. Place marinated pork in a roasting pan, and bake in preheated oven for 35 to 40 minutes, or until meat thermometer reads 160 degrees f, basting meat often with marinade."
17,Preheat oven to 400f degrees. Mix all ingredients in lg bowl. Mix well. Pour into pie crust. Bake for 15 minutes. Reduce the oven temperature to 350f and bake another 35 to 40 minutes or until a knife inserted 1-inch from the edge comes out clean. Cool before cutting. Garnish with whipped cream. Refrigerate leftovers.
18,"Adjust rack to middle position and heat broiler. You may also use a toaster oven. Break the crackers in half to form squares and place on a baking sheet. Arrange 4 marshmallow halves on top of each square. Broil for 30-60 seconds or until golden brown. Remove from oven. Break chocolate bar into 12 pieces. Arrange the chocolate and raspberries on one half of the crackers. Invert remaining marshmallow topped crackers onto the raspberry and chocolate topped crackers, pressing gently to for a cookies sandwich."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in a covered container."
20,"In a large saucepan, combine the liqueur, vanilla bean, orange-flavored liqueur, brandy, and orange-flavored liqueur. Stir until smooth and creamy. Pour into prepared pan. Let stand for about 1 hr or until firm. Dust with powdered sugar and cut to serve. Store in ziplock bag."
21,"Preheat oven to 350 degrees fahrenheit. Grease 8x8x2-inch baking pan. In large bowl beat butter and sugar until fluffy. Beat in eggs, one at a time. Beat in chocolate, then flour. Stir in walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
22,"Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, splenda sugar substitute, sugar, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, baking powderpreparation:Using a large mixing bowl, sift the butter, spl"
23,"Preheat oven to 325f butter a 9x13-inch baking pan. Coarsely chop chocolate and place in a large microwave-safe bowl along with butter. Microwave, uncovered, on high for 2 minutes, then stir until chocolate is melted. Let mixture cool to room temperature. Stir in sugar, then eggs and vanilla. Gradually stir in flour, then nuts and chocolate chips, if using. Spread mixture in pan. Bake in center of oven for 30 minutes or until center is set. In heavy saucepan, over medium heat, melt chips and margarine with milk and vanilla. Spread evenly over brownie layer. Cool. Chill 2 hours or until topping is firm. Cut into bars. Store at room temperature."
24,"Combine all ingredients in a large mixing bowl. Mix well. Pour dressing over salad mixture, stirring well. Cover and refrigerate 8 hours or overnight."
25,"In a small saucepan, bring the water and sugar to a boil in a medium-sized saucepan. Cook for 5 minutes, until sugar is dissolved. Add the lemon zest. Allow mixture to cool to lukewarm. Pour into a glass jar and store in the refrigerator. For the lemonade, combine the lemon juice, salt, syrup, and ice water in tall pitcher. Stir well and pour into tall, ice filled glasses."
26,"Heat oven to 425 degrees. Prepare pastry. In a large mixing bowl, add the blackberries and sugar & cinnamon. Toss to coat. Next add the cornstarch & lightly mix. Place filling into pastry lined pie pan. Sprinkle lemon juice over filling & dot with butter. Cover the filling with the top pie crust. Trim the excess crust off around the pie and seal. Cut slits in top of pie crust. Bake 50-60 minutes or until crust is golden brown & juice begins to bubble through the slits in crust. Cool completely before slicing."
27,"Place the mangoes, chilies, and ginger in a large pan. Add the lemon rind and juice, and stir in the water. Bring to a boil, and boil for 10 minutes or until a thick consistency is reached. Stir in the sultanas and balsamic. Cook for an additional 5 minutes. Let cool slightly, and pour into warm sterilized jars. Seal according to manufacturers directions."
28,"Preheat oven to 325f. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on wire rack."
29,"Preheat oven to 450 degrees. Grease a 12 cup muffin pan or you can use a mini muffin pan. Combine cornmeal, flour, baking powder and salt in a large bowl. In a separate bowl, combine egg whites, onion, milk, parsley, oil and pepper. Add to dry ingredients stirring just until moistened. Spoon into prepared muffin tins. Bake for 10-12 minutes or until lightly browned. Remove and cool on a rack for 5 minutes. Serve immediatlely."
30,"Toast the buenos aires press sandwich. In a microwaveable cup roughly the same diameter of the buenos, add the challah, a tablespoon of water. Beat the buenos aires press sandwich. In a microwaveable cup roughly the same diameter of the buenos, add the basil, tomatoes, butter. In a"
31,"Preheat oven to 200c. Sprinkle olive oil over the base of the baking dish. Lay cutlets in the dish, rubbing them with the oil. Cover cutlets with crushed garlic, mustard and rosemary, then season with the salt and pepper. Place in the oven and cook for 25-30 minutes, turning once, until the cutlets ar browned and crispy. If desired, serve on a bed of couscous with your favourite steamed vegetables."
32,"Preheat oven to 350 degrees F. Place thai marinated summer squash in a large bowl. Mix dressing ingredients in a small bowl, stream in the extra-virgin olive oil and beat dressing with a fork. Pour dressing into the food storage bag and seal bag. Coat the vegetables evenly with dressing then grill vegetables a couple of minutes on each side until marked and tender. Arrange on a small platter."
33,"In a small bowl, beat the mustard, honey, sugar and vinegar in a saucepan and whisk to mix. Bring to a simmer over low heat and cook gently, uncovered, until richly flaovred, about 5 minutes, whisking from time to time. Remove from heat and season to taste with salt and pepper. Transfer to a serving bowl and serve warm or at room temperature. The glaze will keep, tightly covered in the refrigerator, for several weeks."
34,"Heat broiler to high. Cut the ciabatta into bite-size pieces and spread out in a single layer on a baking sheet. Drizzle over 1 tbsp oil. Broil for 3-4 mins, turning the pieces of bread occasionally, until just golden. Leave to cool. Put the toasted ciabatta in a serving bowl with tomatoes, cucumber, olives and feta. Tear up the basil, then scatter over the salad. Whisk the balsamic and remaining olive oil together and drizzle over, then mix gently to combine."
35,"Preheat oven to 350 degrees. Place eggs in a large skillet over medium heat. When hot, add 4 teaspoons of oil to pan and swirl to coat. Place eggs in carefully and cook until the white has become solid, about 1 to 2 minutes. Sprinkle the eggs with salt, pepper, and about a tablespoon of cheese for each egg. Swirl the remaining olive oil on the top of the cheese. Serve immediately."
36,"Heat oil in a deep fryer to 365 degrees f. Rinse fish, pat dry, and season with salt and pepper. Combine flour, garlic powder, paprika, 2 teaspoons salt, and 2 teaspoons pepper. Stir egg into dry ingredients. Gradually mix in one beer until a thin batter is formed. You should be able to see the fish through the batter after it has been dipped. Dip fish fillets into the batter, then drop one at a time into hot oil. Fry fish, turning once, until both sides are golden brown. Drain on paper towels, and serve warm."
37,"Preheat oven to 350f. In a large bowl sift together flour and baking soda, set aside. In a large bowl, combine butter and both sugars. Beat on medium speed until light and fluffy, about 3 minutes. Reduce speed to low, add salt, vanilla, and eggs. Beat until well mixed, about 1 minute. Add flour mixture, mix until just combined. Stir in chocolate chips. Drop heaping spoonfuls about 2 inches apart onto baking trays lined with parchment paper. Bake until golden around the edges and soft in the middle, about 8-10 minutes."
38,"Preheat oven to 350 degrees fahrenheit. Beat cream cheese at medium speed of electric mixer until fluffy. Mix in sugar. Add eggs one at a time, making sure the mixture is well blended. Stir in vanilla. Line 12 muffin cups with muffin paper, and place a chocolate wafer in each lined cup. Spoon the cream cheese mixture over the wafers. Bake for 20 minutes at 350 degrees. Remove the cheesecakes from the muffin pan. To serve, spoon a tablespoon of cherry pie filling on each mini cheesecake."
39,"In a large saucepan, bring broth and water to boil. Add orzo. Cook, uncovered, over medium heat 4-6 minutes or until pasta and asparagus are tender, stirring frequently. Drain. Stir in parmesan cheese and caesar dressing."
40,"Combine the coleslaw mix and onion in a large bowl. Whisk together the mustard, white vinegar, and salt in a medium bowl. Blend thoroughly. Pour dressing mixture over coleslaw mix and toss to coat. Chill at least 2 hours before serving."
41,"Heat oil in a wok. Add soy sauce, sugar, garlic, sesame seeds, scallions, sesame oil. Stir well. Reduce heat to medium. Cook, stirring occasionally, until sweet potatoes are crispy and tender. Stir in cilantro."
42,"Scrub the clams under running water and soak them in salt water for 15 minutes. Drain. Heat the olive oil and add the onion, garlic and clams. Fry for about 10 minutes, stirring often to open the clams. Add the lime juice, wine, parsley, water and bread crumbs. Cook for 10 minutes more. Discard any unopened clams. Add salt to taste and serve."
43,"Heat oil on medium high heat in large skillet or frying pan. Preheat oven to 425 degrees. Melt flour in a 13 x 9 baking pan. Combine flour, paprika, salt and pepper in a bag. Shake chicken pieces, one at a time, in bag to coat with flour mixture. Place chicken skin side down in baking pan. Bake, uncovered, 30 minutes. Turn chicken. Bake 30 minutes longer."
44,"Preheat oven to 400f. In a small bowl, combine the pears, raisins, maple syrup, butter, vanilla extract, cinnamon. Cover and process until pureed. Pour into tart pan. Add the remaining ingredients in order suggested by manufacturer. Select basic tart setting. Choose crust color and tart size if available. Bake according to tart setting. Choose tart color and tart size if available. Choose tart color and tart"
45,"Heat olive oil in a large skillet over medium-high heat. Add carrots, zucchini and garlic. Cook, stirring occasionally, for about 5 minutes or until just barely tender. Season with salt and pepper. Stir in fresh herbs. Serve immediately."
46,"Preheat oven to 450 degrees f. Combine the biscuit mix, cheese, sesame seed and half and half in a bowl and mix well. Shape into balls and place on a greased baking sheet, flaten slightly with palm of hand. Brush with the melted butter. Bake for 10 to 12 minutes or until lightly browned."
47,"Preheat oven to 350 degrees f. In a large, heavy skillet over medium-high heat, brown ground beef, and drain fat. Mix in dry taco seasoning. Spoon browned meat into a 9x13 inch glass baking dish. Spoon a layer of refried beans over meat, then salsa. Top with shredded cheese. Bake about 20 to 25 minutes in the preheated oven."
48,"Preheat oven to 325f. In a large mixing bowl combine cereal, wheat flour, and flour. Set aside. In a larger mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on a wire rack."
49,In crock-pot combine meat with rest of the ingredients. Cover and cook on high for 2-3 hours. Remove bay leaf.
50,"In large, nonstick skillet, melt butter. Add potatoes and cook over medium heat until almost tender and lightly browned. Add salt, pepper, and milk, continuing to cook until milk is absorbed and potatoes are tender. Sprinkle with cheese, heating until melted. Stir well, sprinkle with chopped parsley and serve."
51,"Heat oil in medium saute pan or saucepan over medium-high heat. Fry onions until crisp and reddish-brown, about 10 minutes, then drain on paper towels. Put garlic and chile in saucepan and fry for 20 seconds or until just beginning to brown. Add lentils and water. Partially cover and cook for 30-35 minutes, or until lentils are soft. Serve lentils with onions on top."
52,"In a large saucepan, melt the butter and peanut butter. Remove from the heat. Add sugar and flour. Stir in the eggs and vanilla. Spread into a greased 9 x 5 loaf pan and bake at 350 for 60 to 70 minutes or until a toothpick inserted in the center comes out clean. Cool for 10 minutes before removing from pan to cool on a wire rack."
53,"Heat oil with cornstarch in saucepan over medium heat. Cook for 1 minute. Add in cornstarch and cook for another minute. Add in green chilies. Mix well and add cream cheese. Cook over low heat until cream cheese melts. Put mixture in a 13 x 9 baking pan, top with 1 cup of grated cheese pour the whipping cream over the top and then put the last cup of grated cheese over that. Bake at 350 for 35 minutes or so, checking to make sure the cheese gets bubbly, not burnt."
54,Preheat oven to 350 degrees. Place foil on baking sheet and bake for 10 minutes or until chicken is fully cooked. Carefully cut open the packets.
55,"Preheat oven to 325 degrees. Brush the 1 tbsp melted butter into a square baking dish. Beat the eggs, sour cream, milk and mustard together until well blended. Stir in the scallions, swiss cheese, salt and paprika. Pour into the buttered baking dish. Bake at 325 for about 30-35 minutes or until eggs are set but still moist."
56,"Preheat oven to 350f. In a large bowl, beat the margarine, white and brown sugar together until fluffy. Add eggs and vanilla, beat well. In another bowl, sift flour, baking powder, and salt. Add to the creamed mixture, stirring well. Fold in butter brickle bits, and chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
57,Preheat oven to 350 degrees F. Place pasta in a large saucepan over medium-high heat. Bring to a boil. Reduce heat to low and simmer for 10 minutes. Remove from heat and stir in parsley. Serve over pasta topped with parmesan cheese.
58,"Preheat oven to 400 degrees. Coat 9x10 baking dish with cooking spray. Cook macaroni in a large pot of boiling water until just tender. Drain macaroni and transfer to a large pot. Add soup, maonnaise, cheese, pepper and pimentos. Mix well to combine with pasta. Transfer mixture to prepared baking dish and top with cracker crumbs. Bake, uncovered, until top is golden, about 20 to 25 minutes."
59,"In a rice pot or large saucepan, cook the ground beef, onion, and garlic over medium heat, stirring often, for about 8 minutes. Add the dried herb seasoning and continue to cook for 1 minute. Place the tomatoes in a blender and break them into smaller chunks and then add to the pot. Add the water-mixed beef broth or beef cube and bring to a boil. Reduce the heat to medium and simmer, partially covered for 15 minutes so the flavors can blend. Add the vegetables and conchiglie. Simmer uncovered over medium heat until they are tender, maybe 10 minutes. Season the soup with salt and pepper and stir in the parsley."
60,"In a large saucepan, saute the kidney beans in oil until tender. Stir in the garlic, cumin, salt, and cayenne. Cook and stir until heated through and water is absorbed. It only takes a few minutes. Remove from heat, and stir in lime juice."
61,"Boil spaghetti until al dente. Prepare a large non-stick skillet on med-high heat with olive oil. Chop onion into large chunks and cook until browned in the skillet. Add garlic, salt, and red pepper flakes. Add tomatoes and spinach. Mix well until heated through. Serve over spaghetti or mix it all up."
62,"Preheat oven to 325 degrees f. Place chicken in a roasting dish. Combine mustard, honey and curry powder. Spread over chicken pieces. Bake uncovered for 45 minutes. Baste while baking and be careful that sauce does not burn."
63,"In a large bowl cream together butter, sugars and vanilla. Beat in egg. Mix in flour, baking soda, and salt. Stir in oatmeal and chocolate chips until well blended. On a baking sheet place a ball of dough 2 inches between each other. Bake at 350 degrees f. For about 8-10 minutes."
64,"In a large saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add pineapple juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving."
65,"In a large skillet, melt butter over medium-low heat. Add carrots, onions, and ginger, cover and cook, stirring, for about 7 to 10 minutes, until just tender. Stir in the orange juice, jelly, and salt. Cook, uncovered, for about 4 minutes, stirring frequently, until vegetables are tender and nicely glazed with the jelly and orange juice mixture. Sprinkle with fresh chopped parsley just before serving."
66,"In a large skillet, cook roasted red bell pepper pasta until crisp. Remove pasta with slotted spoon and set aside, reserving the drippings. Saute onions and garlic in drippings for 3 minutes. Add peppers, cook and stir for 3 minutes. Stir in tomatoes and heat through. Add bacon and mix well. Serve over pasta. Cooking time does not reflect time to cook pasta."
67,"Place bacon in shallow dish, cover with paper towel, cook on high in a microwave for 3 minutes or until bacon is crisp. Remove bacon from the dish, then add the butter, onion and garlic to the dish, cook on high for 2 minutes. Stir in the mushrooms, cook on high for another 2 minutes, then sprinkle the mushroom mixture with the flour. Next, top the mushroom mixture and flour with the cream cheese, worcestershire sauce and dry sherry. Cook on high for 5 minutes, stir halfway through this cooking time. Stir in the sour cream and the chopped bacon. Spoon into a serving dish. Serve as a hot dip with raw vegetables such as sliced carrots, capsicum, beans and celery."
68,"Boil eggplants until soft. Saute onion, chopped shrimp, and celery in butter or oil. Combine with eggplant. Put in baking pan and sprinkle with bread crumbs or cracker crumbs. Bake approximately 30 minutes at 350f."
69,"Place all ingredients except chives in mixer bowl and beat about 1 minute, or until well blended. On waxed paper, shape mixture into a ball. Roll ball in chopped pecans. Wrap up the ball in plastic wrap and chill for 2-4 hours. Once the ball is firm, roll in remaining 1 cup of chopped pecans. Roll on plastic wrap into a ball. Once the ball is firm, roll in remaining"
70,"Preheat oven to 350f. Cook beef in a large skillet until brown. Drain off extra fat. Stir in soup, salsa, water, tortillas and bring to a boil. Reduce heat to low and cook for 5 minutes stirring frequently. Top with lettuce and tomato before serving."
71,"Preheat oven to 350 degrees. Preheat oven to 400 f. Combine the oil, garlic, sugar, cumin, salt, cinnamon, and carrots in a shallow baking pan. Roast 20 minutes or until fork-tender. Remove from oven and add the raisins, lemon juice, and parsley. Toss well."
72,Spray cookie sheets with cooking spray. Bake at 350 degrees fahrenheit for 10 to 15 minutes or just until set. Do not overbake. Cool on wire rack.
73,"In a large pot of salted boiling water, cook angel hair pasta until it is al dente, about 8 to 10 minutes. Drain, and set aside. In a large skillet, heat oil over medium-high heat. Saute the onions and garlic. Stir in the tomatoes, chicken, basil, salt and hot pepper sauce. Reduce heat to medium, and cover skillet. Simmer for about 5 minutes, stirring frequently, until mixture is hot and tomatoes are soft. Toss with parmesan cheese."
74,"Heat oil in a large skillet over medium-high heat. Add onion and cook for 1 minute, or until onion is translucent. Add garlic and cook for 1 minute, or until garlic is translucent. Add garlic and cook for 1 minute"
75,"Place the sushine carrots in a large bowl and stir in the lemon juice. Add the sushine pieces, salt and lemon juice. Pour over the carrots. Cook and stir until the mixture thickens. Remove foil and stir in the lemon juice"
76,"Heat oil in skillet on med, add onions, cook until soft. Add celery, cook until crisp tender. Increase heat to med hi, add peas. Cook until peas are heated through. Stir in celery leaves, salt and pepper."
77,"Preheat oven to 325 degrees. Brush the 1 tbsp melted butter into a square baking dish. Beat the eggs, sour cream, milk and mustard together until well blended. Stir in the scallions, swiss cheese, salt and paprika. Pour into the buttered baking dish. Bake at 325 for about 30-35 minutes or until eggs are completely cooked. Cool and serve."
78,"Preheat oven to 350f. In a large mixing bowl, cream butter and sugar. Add eggs and vanilla, mix well. Gradually beat in the flour mixture then add chocolate chips. Drop by tablespoonfuls onto greased baking sheets. Bake 10-12 minutes."
79,"In a blender or food processor, combine whole cloves, cinnamon sticks, boiling water, sugar, water, splenda sweetened cranberry juice, orange juice, lemon juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice, orange juice,"
80,"Preheat oven to 450. Put oil in 9x13 pan, swirl around. Scrub potatoes. Cut each lengthwise into 8 wedges. Combine flour and seasonings in a bowl or baggie. Add potato wedges and shake or toss to coat. Arrange skin-side-down in oiled pan. Bake 35-40 minutes."
81,"Preheat oven to 400 degrees f. Spread garlic in an 11 x 7-inch baking dish coated with cooking spray. Arrange asparagus in an even layer over garlic. Bake at 400 for 15 minutes or until asparagus is crisp-tender, turning once."
82,"Combine the icing sugar, butter and milk in large saucepan. Let boil stirring frequently at medium heat until soft ball stage. Add butter and milk. Cook over medium heat to 236f, stirring frequently. Remove from heat & add chocolate, marshmallow cream, vanilla & nuts. Beat until chocolate is melted & blended. Pour into pan."
83,"Preheat oven to 350 degrees. In a small bowl, toss the nuts with the maple syrup, olive oil, herbs and cayenne. Spread the nuts on a rimmed baking sheet and bake for 15 minutes., stirring occasionally, until browned. Season the nuts with salt and pepper and toss frequently until cooled."
84,"In a large saucepan, stir together the coffee, milk, granulated sugar, fat free vanilla ice cream, fat free chocolate syrup. Add to flour mixture, mixing well. Fold in egg white which has been whipped until stiff. Pour into oiled waffle iron and bake until brown."
85,"In large skillet, melt butter, stir in flour, cook 1 minute. Slowly stir in milk, cook until bubbly. Add cheese, salt and pepper, mix well. Remove from heat. Put 3 pieces asparagus on each ham slice. Roll up and place in 13x9 baking pan. Cover with the cheese sauce. Sprinkle with crumbs. Bake at 375 for 20 minutes."
86,Preheat oven to 375 degrees. Mix all dry ingredients in large bowl. Mix dry and wet ingredients together. Pour into prepared muffin pans and bake at 375 for 20 to 25 minutes.
87,"Boil eggplants until soft. Saute onion, chopped shrimp, and celery in butter or oil. Combine with eggplant. Put in baking pan and sprinkle with bread crumbs or cracker crumbs. Bake approximately 30 minutes at 350f."
88,"Heat olive oil over medium high heat. Add the tomatoes, garlic, half of the pinenuts, rocket and basil in a food processor and process until smooth. Toast the remaining pinenuts until golden. Set aside. Slowly add the oil to the olive oil while the processor is running. Turn the processor off and then stir through the parmesan. Stir pesto through the pasta then sprinkle with the reserved pinenuts. Serve immediately with salad and crusty bread."
89,"Place the orange marmalade in a blender and blend until smooth. Pour into a large zip-top plastic bag. Add salmon, and seal and marinate in refrigerator 1 hour, turning bag occasionally. Preheat broiler. Remove salmon from bag, discarding marinade. Place salmon on a broiler pan coated with cooking spray. Broil 8 minutes. Turn, and broil an additional 4 minutes or until fish flakes easily when tested with a fork. Serve with lime wedges."
90,Heat oven to 400f. Add 1 tb olive oil in a large bowl. Add lamb. Turn to coat. Let marinate at room temperature at least 30 minutes and up to 1 hour. Preheat oven to 400f. Let marinate at room temperature
91,"Sear pork chops, 2 minutes per side. Reserve. Preheat oven to 350 degrees f. Arrange pork chops in the bottom of a prepared 9x12 baking dish. Sprinkle with brown sugar and cinnamon. Dot with butter. Top apples with seared pork chops. Season with salt and pepper to taste. Pour cranberry juice over all and cover. Bake for 1 hour. Make sure pork reaches an internal temperature of 160 degrees f."
92,Place breakfast sausage in crockpot. Cover and cook on low for 8 hours or high for 3-4 hours. Remove sausage from bones and cut into bite-size pieces and return to crockpot. Serve with a slotted spoon on buns. I have also used boneless chicken pieces and cut them up before placing in the crockpot. You just need to adjust cooking time if doing it this way.
