response,target_recipe
Saute bacon and ham cubes. Remove bacon and ham. Saute onions and bell peppers. Add grits and saute until thickened. Add tomatoes and seasoning. Add bacon and ham. Serve.,179325
In a large pot melt butter. Add onion and celery to pot. Sauté for 2 minutes. Stir in flour and salt. Cook for 1 minute. Add milk. Bring to boil. Stir in cheese. Cook for 10 minutes or until thick. Top with chives. Serve with bread.,54298
"Preheat the oven to 400 degrees. Cook chicken until cooked through, about 25 minutes. Set aside. Add olive oil to a large saucepan over medium heat. Add onion and garlic and cook until softened. Add green pepper and cook until tender. Add the canned tomato and the chicken broth and cook for 10 minutes. Season the rice with salt. In a large bowl, combine the cooked rice with the seasoned chicken, tomato sauce and the bay leaf. Pour the rice mixture into a 3-quart baking dish. Bake the rice for 15 to 20 minutes, or until heated through. Let the rice stand for 5 minutes before serving. Serve with your favorite side dishes.",107271
"Rinse pork under cold waterpat dry. Place in large resealable bag. Add canola oilseason with salt and pepper. Close bagshake until meat is coated. In 4 qt. slow cooker, combine onion and garlic. Add pork to slow cookerdiscard marinade. Add poultry seasoning and white wine to onions and garlic. Pour in pork broth and sweet potatoes. Cover and cook on low for 8 to 9 hours or on high for 4 to 5 hours until meat is tender. Remove pork from slow cooker. Shred meatdiscard bones. Serve over hot rice.",48792
"Preheat oven to 375 degrees F (190 degrees C). Grease or line 12 muffin cups with paper liners. In a large bowl, combine flour, ginger, salt, baking soda, brown sugar, pumpkin and molasses until well blendedmix in egg until smooth. Fold in pecans. Bake 20 minutes or until done.",255654
Mix all the ingredients in a large bowl. Pour mixture into a 9 x 13 inch baking pan. Bake for 30 minutes. Remove from oven. Serve.,316547
"Preheat oven broiler. Cook sausage and green onions in skillet over medium heat. Sautee until sausage is cooked through and green onions are tender. Meanwhile, beat eggs in large bowl with mustard, salt & pepper. Blend in melted butter and stir in cream cheese. Increase heat under sausage mixture and cook 30 seconds or just until sausage is lightly browned and vegetables are crisp tender. Spoon sausage mixture into 1 1/2 inch wells in 2 (10 inch) cast iron skillets. Pour egg mixture over sausage mixture in skillets, dividing evenly. Top each with 1/4 cup cheese. Bake in preheated 400 degree oven about 15 minutes or just until egg is set and cheese is melted. Sprinkle with thyme. Serve immediately with hot biscuits or fresh bread.",222972
Bring 6 cups salted water to boil in large pot. Add green beansboil 3 minutes. Drain in colander. Return beans to potadd parmesan cheese. Stir in fettuccinecook 8-10 minutes or until pasta is done. Drainkeep warm. Stir in half-and-half. Serve with Canadian bacon. Sprinkle with parmesan cheese.,231519
"Cook ground beef over medium heat until brown. Drain off fat. Add all of the seasonings to the ground beef and cook over low heat until the seasonings are well blended with the ground beef. Cook the green beans until tender crisp. Drain the green beans and add the corn. Place all of the vegetables in a casserole dish or 9 x 13 pan. Pour the condensed tomato soup over the vegetables. Top with the ground beef mixture. Pour the steak sauce over the top of the casserole. Cover with the potatoes. Bake at 350 degrees until the potatoes are tender and the casserole begins to brown, about 25 to 30 minutes.",17729
Grate squash and zucchini. Mix with carrot and onion. Add eggs and salt and pepper. Mix well. Stir in matzo meal. Place about 2 tbsp of filling into the center of each matzo cracker. Fold dough over filling. Press down firmly and flatten slightly. Drop into hot oil. Cook until golden. Drain on paper towels. Serve.,168271
"Wash potatoes well and pat dry with paper towel. Cook potatoes as directed on package. While potatoes are cooking, grate 2/3 of the cheese, add butter to grated cheese and mix well with your hands until butter is incorporated throughout. Remove potato from heat and allow to cool for 30 minutes. When cool enough to handle, cut potato into 1/2-inch cubes. Add potato to cheese mixture (which will have melted butter added to it) with parsley, chives and garlic clove (minced). Mix well with your hands. Add 1 cup of cream cheese (not fat free) to mixture with your hands, mixing until completely incorporated. Taste mixture for seasoning with salt and pepper or seasonings of your choice (for example, rosemary or thyme). Serve immediately with your favorite meat or poultry dish, or serve as side dish for vegetables or fish.",251083
"In a large saucepan, cover sweet potatoes with water. Boil until tender. Drain. Remove the skins from the sweet potatoes and arrange them in a greased 2 quart baking dish. Process the brown sugar and butter in a blender until smooth. Spoon the peanut butter and brown sugar mixture over the sweet potatoes. Sprinkle with cinnamon and top with chopped pecans. Bake at 350 degrees for 30 minutes.",196245
Cream cheese and onion mixed together and shaped into a ball. Shaped ball put in a glass dish and chilled in refrigerator. Next add bell peppers chopped and mixed with cream cheese. After peppers have been mixed in put in pineapple and pecans. Cover with whipped cream cheese. Put in refrigerator and chilled for 12 hours. This ball is best if you have it 3 to 4 hours before serving.,26361
"Saute celery and mushrooms in butter until tender. Stir in barley, broth and garlic until thickened. Season with salt and pepper to taste.",269151
Mix flour and salt together. Mix the remaining ingredients together with the flour and salt. Add enough milk to make a soft dough. Turn out onto floured board and knead until smooth. Roll out to 1/2 inch thickness. Cut into circles and place on greased cookie sheet. Bake at 425 degrees F for 10-12 minutes. Remove from the oven and brush with a mixture of oil and beaten eggs. Bake 3-4 minutes longer.,300585
Slice the tomatoes in half. Bring water to a boil in a saucepan. Add the half-tomatoes and cook for 3 minutes. Drain the tomatoes well and pat dry. Slice the onion in half. Pound the onion in a mortar or with a pestle until it is finely minced. Slice the parsley in half. Cut the parsley stems from the leaves. Roughly chop the leaves. Add the parsley to the pounded onion. Add the paprika to the parsley mixture. Add the extra-virgin olive oil to the parsley mixture. Add the juice of 1 large lemon to the parsley mixture. Add salt to the parsley mixture. Add the pepper to the parsley mixture. Add the drained tomatoes to the parsley mixture. Stir the parsley mixture well. Pour the sauce into a bowl. Let the sauce stand for 4 hours. Stir well before serving. Enjoy.,424892
In a medium saucepan combine all the ingredients. Bring to a boil. Reduce heat to medium low simmer until sugar dissolves. Remove from heat. Transfer to a small bowl. Add toasted pistachio nuts. Serve.,199759
Preheat oven to 425F degrees. Spray a baking sheet with cooking spray and lay parsnip slices side by side on pan until they are all placed in a single layer. Drizzle parsnip slices with olive oil and sprinkle with salt and pepper. Place pan in oven and roast for 15-25 minutes or until tender and lightly browned. Remove from oven and add rosemary leaves and onion slices. Toss all with balsamic vinegar and brown sugar and then add a splash of olive oil. Continue tossing until all parsnip slices are lightly coated with the balsamic glaze and brown sugar mixture.,330372
"In a medium saucepan over low heat, combine the rice and water. Simmer for 8-10 minutes or until the rice is tender. In a large bowl, beat the pudding mix and milk until thick. Stir in the rice and raisins and mix well. Let stand until slightly thickened. Serve warm.",109793
Add beef to the slow cooker. Add the onion and butter to the slow cooker. Cook on low for 3 4 hours. Add the ketchup and soy sauce. Cook on low for another 2 3 hours. Add the apple cider vinegar and brown sugar. Cook on low for another 2 3 hours. Add the egg noodles. Cook on low until the noodles are done. Serve with steamed broccoli.,52192
Blend ice with all ingredients until smooth in a blender or food processor. Serve in a glass over crushed ice.,298166
Preheat oven to 350 degrees. Combine soup and sour cream. Place chicken on rack in roasting pan. Baste with mixture. Sprinkle with garlic powder and pepper. Top each chicken breast with half of the cheese. Place in oven and bake for about an hour or until chicken is cooked. Transfer chicken to platter. Sprinkle with the remaining cheese and broil until the cheese melts.,180671
"Preheat oven to 375 degrees F. Cook pork chops in hot oil until browned on all sides. Drain on paper towels. Sprinkle with cornstarch. Place pork in a shallow dish. Combine rice wine, ginger, eggs, panko bread crumbs, and tonkatsu sauce. Stir until combined. Coat chops with sauce. Arrange in a single layer in a lightly greased 9 x 13 inch pan. Bake for 15-20 minutes or until brown. Serve hot with rice.",426903
"In a large bowl combine shredded chicken, mushrooms (cooked or raw), greens and dressing. Toss to combine. Serve immediately.",326636
"Combine all the dry ingredients, then mix all the liquids together and add to the flour mixture. Fold in the cherries. Pour into a greased and floured loaf pan and bake at 350 degrees F (175 degrees C) for 60 to 75 minutes. Let cool slightly before removing from the pan and slicing. Enjoy!",238173
"Heat the grill to medium-high. Meanwhile, put the tomato sauce and brown sugar in a large bowl and mix well. Add the chicken wings and toss to coat evenly. Grill the wings, turning every 3 to 5 minutes, until the wings are browned and tender, about 40 to 50 minutes total.",58389
Cream butter and sugar until light and fluffy. Add egg. Sift flours and bicarbonate of soda into a large bowl and rub in the butter. Add the egg and beat well. Turn mixture onto a lightly floured surface and roll out to 5mm thickness. Place over a 23cm fluted tart tin and prick the base with a fork. Line with baking paper and fill with baking weights. Blind bake for 15 minutes. Remove baking weights and paper and bake for a further 8-10 minutes or until golden and firm. Brush with melted butter and bake for a further 5 minutes or until golden. Cool completely.,439212
"In a large saucepan, combine corn, cream style corn, eggs, sugar, flour and milk. Bring to a boil over medium-high heat. Reduce heat to low and cook about 5 minutes or until pudding is thickened. Add salt, pepper, and butter. Serve warm.",49249
Soak edamame in water for 24 hours. Drain and rinse in cold water. Drain again. Blanch edamame in boiling water for 45 seconds. Drain and rinse in cold water. Drain again. Heat oil in a wok or large pan over medium heat. Add ginger and garlic and saute for 1 minute. Add edamame and sesame seeds and toss to coat. Cook for 1 minute. Serve with sesame seeds on top.,296583
Brown hamburger and refried beans together. Add avocado and salsa. Mix well. Add Velveeta cheese. Add garlic powder to taste.,277179
Lay out a wonton wrapper on a flat surface. Spread a thin layer of goat cheese on top. Place a chicken breast on top of the goat cheese. Top with a sliced tomato. Roll up the wonton wrapper around the filling. Repeat with all the wontons. Place the wontons on a baking sheet lined with parchment paper. Brush the wontons with olive oil. Bake for 15-20 minutes until crispy.,329360
Mix all ingredients together and serve with crackers.,291320
"Heat 1 tbsp of olive oil in pan. Saute onion for 5 min. Add bell pepper and saute for another 5 min. Add garlic to mixture and saute for another 2 min. Add diced tomatoes, chicken broth, dried basil and dried oregano. Reduce heat to low-medium and cook 15 min. Add fish to mixture and cook for 15 min. Remove from heat. Sprinkle with black pepper to taste. Serve over rice if desired.",100218
Mix butter and seasonings together. Spread evenly over a 13x9 pan. Sprinkle cereal evenly over top. Microwave uncovered for 6 minutes. Let stand for 5 minutes. Sprinkle cheese over top. Microwave uncovered for another 6 minutes. Let stand for 5 minutes. Stir cheese. Microwave uncovered for another 6 minutes. Let stand for 5 minutes. Stir again and serve.,282204
Bring a large pot of water to a boil. Add soybeans and cook for about 10 minutes. Drain and rinse under cold water. Prepare the other ingredients as directed on the package. Pour the soybeans and the cream-style corn into a large baking dish. Top with the cheese and seasonings. Combine the breadcrumbs and paprika. Sprinkle on the top. Bake at 350f for 35 minutes.,22538
Whisk pan juices together with fat. Gradually mix in flour. Add stock. Bring to boil. Boil 1 to 2 minutes. Serve.,301117
In a large bowl combine cooked rice with vegetables. Stir in soy sauce to taste. Serve warm.,204510
"Preheat oven to 350 degrees. Spread pie filling in bottom of a 9 x 13 inch pan. Pour cake mix into a large bowl. Add eggs, milk and almond extract. Stir with a wire whisk. Pour cake batter into pan. Drop chocolate chips over the filling. Bake for about 30 minutes. Allow cake to cool before frosting. Frost with a store bought icing or make your own. Frost over cake. Sprinkle with chopped almonds. Makes 12 servings.",52195
"Mix oil and garlic in large skillet over medium heatcook and stir until garlic is tender. Add chickencook 6 to 8 minutes or until chicken is done. Add ricecook and stir 2 minutes. Add tomatoes and salsacook and stir until liquid is absorbed, about 2 minutes more. Top with cheesecook and stir until cheese is melted. Serve with lettuce and tomato slices. Serves 6.",92689
Place uncooked rice in a large pan. Cover with cold water and boil until all the water is absorbed. Combine all remaining ingredients and mix well. Pour over rice. Bake at 375 degrees for 25 minutes. Let stand 5 minutes before serving. Serves 4.,253352
"Cook macaroni in boiling salt water until tender. Drain. Add cottage cheese, sour cream, eggs, and season salt. Mix well. Add shredded cheese. Bake in a 350 degree oven for 20 minutes.",454436
Add chicken stock and 3 cups water to a saucepan and bring to a boil. Reduce heat and simmer for 15 minutes. Add butter to a large soup pot. When butter is melted add rice and stir for about 2 minutes. Add 4 cups of stock and cook for 15 minutes. Add olive oil to the risotto and stir. Add 2 cups of broth and cook for 10 minutes. Add remaining broth and cook for another 10 minutes. Add shrimp to the soup pot and cook for 5 minutes. Add remaining broth and cook for another 10 minutes. Add lemon peel and cook for another 5 minutes. Add lemon juice and zest to the soup pot and stir. Remove from heat and add Parmesan cheese and stir.,166255
Preheat oven to 325f. Combine all ingredients in a large saucepan and bring to a boil. Reduce heat and simmer for 4 minutes. Remove from heat and cool slightly. Place orange in a large bowl. Pour syrup over orange and marinate overnight in refrigerator. Transfer orange segments to a large pitcher and refrigerate until ready to serve. Serve chilled with ice cream.,265566
Sprinkle pork with salt and pepper. Heat 1 tablespoon of oil in a large nonstick skillet over medium heat. Add pork and brown on both sides. Remove from pan and drain on paper towels. Sprinkle with caraway seeds. Return pan to heatadd remaining 1 tablespoon of oil. Add onions. Cook and stir until tender. Stir in sauerkraut. Pour in 1 cup sour cream. Return pork to pan. Cover pancook on medium-low heat 5 minutes. Uncoveradd remaining 1 cup of sour cream. Simmer on low heat 10 minutes longer.,159435
"Brown chicken breasts on both sides. Season with salt & pepper, then set aside. Preheat oven to 350f. To make the sauce, whisk together egg yolks, water, lemon juice, mustard & salt & pepper. Gradually whisk in melted butter until well incorporated. Whisk egg whites until stiff peaks form, then fold into yolk mixture. Cook asparagus until crisp-tender & set aside. Spoon sauce into serving dish & top with asparagus & chicken.",17374
Mix pudding mix and milk together in small bowl and microwave until set. Add pumpkin and mix well. Fold in pumpkin pie spice and raisins. Spoon into dessert cups and refrigerate 2 hours.,178419
Preheat oven to 400 degrees. Beat butter and sugar until light and fluffy. Add eggs one at a time. Add flour and salt and beat until combined. Add bourbon. Add pecans and chocolate chips. Divide into two crusts. Place one on bottom of the pan. Fill with filling. Place second crust on top. Fold edges under. Cut a hole in the center and brush with milk. Bake for 30 minutes.,74154
Mix all ingredients in large pot. Bring to boiling. Reduce heat. Simmer 5-10 minutes. Remove from heat. Strain through fine mesh strainer. Allow to cool. Add 1 1/2 cups vodka. Pour into clean bottles or jars. Use immediately or keep refrigerated. Will keep about 3 weeks.,435928
In a medium-sized pan bring 2 cups of water and 1 tablespoon olive oil to a boil. Add salt and pepper to taste. Reduce heat to low. Add rice and stir well to coat. Cover and cook for 5 minutes. Remove cover and cook an additional 10 minutes or until all liquid is absorbed. Stir in the mushrooms. Cook an additional 5 minutes. Add the onions and butter and cook until onions are tender and rice is tender. Add salt and pepper to taste. Serve with a garnish of fresh parsley if desired.,75209
"Preheat oven to 350. Grease a 9 x 13 pan. In a large bowl cream butter and sugars. Beat in the eggs. Add the peanut butter and mix well. Add the flour, baking soda and oats. Add the chocolate chips. Pour batter into prepared pan. Bake for 25 minutes. Let cool completely. Cut into squares. Store in an airtight container.",258522
"Melt butter in heavy pan over med-hi heat. Add brown sugar and whisk constantly until dissolved. Add maple syrup and whisk until well blended. Add bananas and stir until bananas are softened. Add rum extract. Remove from heat and pour into a small bowl. Cover with plastic wrap and let cool to room temp. Pour into a blender container and add whipping cream. Blend on high until well mixed and creamy. Pour into a bowl, cover with plastic wrap and refrigerate until well chilled, 30 - 60 minutes. Serve over ice cream or pound cake or cereal as desired.",358201
"Cook burgers in skillet over medium heat until brown and heated through. Top rye bread with 1 slice of cheese, cooked burger and another slice of cheese. Place in skillet over low heat until cheese is melted. Place sandwich in skillet over medium heat until cheese is melted and bread is warm. Top with thinly sliced onion. Serve with vegetable broth for dipping.",137124
Slice the bread sticks in half diagonally. Place the bread sticks into a shallow pan and coat with the cinnamon and sugar mixture. Toast the bread sticks for a few minutes until lightly browned. Serve warm with honey or butter and jam for dipping.,82973
In medium size pot brown chicken breast on all sides. Pour off any grease from pot and discard grease. In the same pot add cream of chicken soup water and seasoning (salt and pepper). Stir until combined. Add chicken breast and cook on low heat until heated through and chicken is tender about 10 minutes. In small bowl add sour cream and mix with cayenne pepper and paprika until blended. Serve over english muffins with creamed chicken mixture.,264658
"Place pork chops in flour mixture. Shake off excess. Heat butter and oil over medium-high heat in a large skillet. Add pork chops. Sear for 2 minutes. Turn pork chops. Cook until done, about 5-7 minutes. Remove pork chops. Pour off all but 1 tablespoon drippings from skillet. Add onions. Cook until tender. Stir in mushrooms. Cook until tender. Add wine. Cook until wine is almost evaporated. Add milk. Bring to a boil. Stir in thyme. Cook until gravy is thick. Return pork chops to skillet. Top with Parmesan cheese.",64478
"Preheat olive oil to about 350 degrees. Crack eggs into a small bowl. In the bowl, mix olive oil with a dash of cumin. Place eggs one at a time into the hot oil. Cook about 3 minutes or until the eggs are cooked through. Drain on paper towels. Serve at once.",414808
"Heat 2 tablespoons of the oil in a small saucepan. Saute garlic until lightly browned. Add liquid honey and cornstarch. Cook over medium heat, stirring constantly for 2 minutes. Add water. Bring to a boil. Reduce heat and simmer until thickened. Serve hot. This will keep refrigerated for several days.",87803
"Bring 1 1/2 cups quinoa and 1 1/2 cups water to a boil in a small saucepan. Reduce heat to low and simmer until liquid is absorbed and quinoa is fluffy, about 10 minutes. Cool slightly. In a blender or food processor, combine 1/2 cup quinoa and 1/2 cup soymilk. Process until smooth and creamy. Stir in remaining quinoa and soymilk until thoroughly combined. Add apples and spices and process until smooth and creamy. Serve warm or chilled.",456157
"Heat oven to 350 degrees. In an ungreased 13 by 9-inch baking dish, layer biscuits with brown sugar mixture, pecans, cinnamon and butter until all biscuits are used up. Pour enough water into large shallow baking pan to come halfway up sides of dish of biscuits. Bake for 35-45 minutes or until golden brown on top. Let cool for 15 minutes before serving with butter.",117044
"Bring a large pot of water to boil. Add green beans to the boiling water and cook for about two minutes. Transfer green beans to a bowl of ice cold water. Drain. Combine shallot, red wine vinegar, and a pinch of each of the salt and the pepper. Whisk together to combine. Add the olive oil. Toss the beans with the dressing and the cherry tomatoes. Add the fresh basil leaves. Toss to combine. Serve immediately.",376486
Peel apples and cut into wedges. Place apples and sugar into a 9×11 inch baking dish. Sprinkle with cinnamon and flour. Pour the egg and butter over the apples and bake for about 40 minutes until browned. Serve with vanilla ice-cream if desired.,29939
Sauté the chopped cauliflower with olive oil for 10 minutes. Add milk and simmer. Add curry powder to taste. Mix cheddar cheese with mayo and add to cauliflower mixture. Sprinkle with cracker crumbs. Bake at 350 for 30 minutes.,63495
Preheat oven to 350 degrees F. Coat portabella mushroom caps with flour. Heat butter in large skillet over medium-high heat. Add flour-coated mushroomsseason with salt and pepper. Cook mushrooms for 4 minutes. Add red peppersreduce heat to low. Cook 4 minutes longer. Transfer mushrooms to shallow baking dish. Fill each mushroom with 2 tablespoons crabmeat. Bake mushrooms for 20 minutes. Spread mayonnaise evenly onto one side of each mushroom. Sprinkle with fine dry breadcrumbs. Place mushrooms in shallow baking dishbroil 3 minutes. Garnish with fresh parsley. Serve immediately.,411901
Slice peaches and place on bottom of 9x13 casserole dish. In a saucepan add butter and vanilla bean. Pour in white wine. Bring to boil and cook until reduced and thick. Remove vanilla bean. Pour over peaches and bake at 350 degrees for 30 minutes or until tender. Serve with ice cream.,387865
In a large non-stick frying pan over medium heat combine corn syrup and sugar. Cook for 3 to 4 minutes until mixture just begins to bubble. Remove from heat and add peanut butter. Stir to combine and pour over rice krispies. Sprinkle with chocolate chips and refrigerate for 30 minutes until chips are melted and mixture is set. Lift out of pan using a fork. Transfer to wax paper. Cut into squares and serve. Store leftover treats in an air-tight container for up to 3 days.,63262
Boil potatoes in water until tender. Drain. Mash potatoes. Add lard. Mix well. Add salt. Mix well. Serve with onion on top. Serve warm.,255052
"Blend watermelon cubes with tequila, orange liqueur, lime juice, sugar and ice cubes in a blender until smooth. Pour into glasses. Garnish with lime wedge and orange slice.",53816
"In a large saucepan over medium heat, heat olive oil. Add yellow onion, garbanzo beans, red pepper, red wine vinegar. Cook until onion is translucent. Add white wine vinegar, dried thyme, salt. Cover. Cook 10 minutes. Transfer to a large bowl. Add red pepper, raisins, white wine vinegar. Gently toss. Serve warm. Makes 6 servings.",41287
Place sugar in a small bowl. Add cinnamon. Mix well. Place 1/2 cup of the sugar-cinnamon mixture in a small bowl. Dip each marshmallow half into the mixture. Place the marshmallows onto the crescent rolls. Roll up the rolls around the marshmallows. Place seam side down on an ungreased cookie sheet. Bake in a preheated 375 degree oven for 10-12 minutes or until golden brown. Serve immediately.,157412
"Put the currants into a bowl with the lemon juice. Leave for 20 minutes. Sift the flour into a bowl, add the mixed spice, the wine and the oil. Make a well in the centre of the flour. Pour in the currants. Mix to form a soft dough. Make small round balls of the mixture. Put them on a greased baking sheet. Leave them to rise for half an hour. Preheat the oven to 180c. Put the lard into a saucepan. Put the pan in the oven to melt the lard. Meanwhile, bake the dumplings for 15 minutes. Brush each round ball of the mixture with the lard. Cook the buns for another 15 minutes until they are golden brown. Serve warm.",238806
Heat oil in large heavy-bottom pot over medium heat. Add bacon and cook until crisp. Add remaining ingredients and bring to boil. Reduce heat and simmer for 30 minutes. Taste and adjust seasonings. Pour into large bowl or individual plates and serve warm.,54471
"Preheat oven to 350f. In a small bowl, combine lemon juice and olive oil. Mix to combine. Add oregano and black pepper and whisk until combined. Add sole fillets to a shallow dish and top with carrots. Drizzle with the lemon juice mixture. Place in refrigerator and marinate for 15 minutes. Preheat a grill pan over medium heat. Grease the pan with olive oil. Drain the sole from the marinade and pat dry. Place fillets on the pan and cook for 5 to 7 minutes per side. Transfer to a plate. Meanwhile, cut the bread into thin slices. Lay the bread slices flat on a work surface and spread with about 1/3 cup of the marinating sauce. Spread each fillet with the marinating sauce and arrange on the bread. Top with carrots. Roll the bread and fillets up. Bring a large pot filled with water to a boil. Cook the rolls in the boiling water until they float to the surface. Remove and drain on a paper towel.",33464
"In large skillet cook onion, garlic and carrot with oil for 5 minutes or until tender. Stir broccoli into onion mixture. Cook broccoli for 5 minutes or until tender. Add tomato with its juices and cook 2 minutes more. Stir broccoli mixture and chicken into pasta shells. Sprinkle with parmesan cheese. Mix to coat. Cook over medium heat for 3 to 5 minutes or until heated through. Serve with salad.",237544
"Chop cabbage finely. Heat vegetable oil in a pan. Add cabbage and stir-fry until slightly soft. Add soy sauce, sugar and vinegar. Stir until the sugar has dissolved. Transfer to a serving dish and sprinkle fried noodles. Enjoy.",149422
"In a large pot over medium heat, bring the buttermilk to a boil. Stir in the potatoes until completely coated. Reduce the heat to maintain a steady simmer (no more than a gentle bubbling). Cover the pot. Cook until the potatoes are very tender when pierced with a fork. Remove the pot from the heat, drain the potatoes, then return them to the pot to keep them warm while you make the mash. Using a potato masher, a hand mixer or a stand mixer with a paddle attachment, mash the potatoes until they are completely smooth. Add the chipotle and salt, then continue to mash until smooth. Add the black pepper to taste. Serve warm.",285149
"Mix flour, baking powder. Cream margarine. Add eggs. Gradually add dry ingredients. Mix well. Fold in preserves. Roll dough to 1/4-inch thickness on lightly floured surface. Cut with floured round cutter (about 3 to 3 1/2 inches). Place 1/4-inch apart on greased cookie sheet. Bake at 375 degrees for 15 to 18 minutes. Remove to wire rack. Cool.",127279
Prepare vegetables as shown in the picture. Pour dressing over vegetables and toss gently. Place lettuce on large platter. Arrange vegetables in decorative design on lettuce. Sprinkle with peanut butter. Serve immediately.,112582
"In a bowl mix ricotta cheese, parmesan cheese, and pesto sauceseason with salt and pepper to taste. Place chicken breasts in a deep dish baking dish and pour pesto mixture on top of chicken. Pour soup and wine on top of ricotta mixtureseason with salt and pepper to taste. Cover dish and refrigerate for 4-6 hours or overnight. Pre-heat oven to 375 degrees Fahrenheit. Bake stuffed chicken breasts for about an hour. Garnish with fresh basil leaves.",42720
Marinate chicken wings in the louisiana hot sauce and vinegar for at least an hour or overnight for a super flavorful treat. Remove wings from marinade and dry well. Heat oven to 350 degrees fahrenheit. Place wings in shallow baking dish and pour about half of the ranch mix over wings and toss to coat. Bake for about 25 minutes or until the wings are golden brown and crispy and the sauce is bubbling hot. Serve with celery sticks and ranch dip for dipping.,117476
Carefully shell and slice eggs into halves. Scoop out yolks and place in small bowl. Add remaining ingredients and stir well with fork or wire whisk until combined. Spoon into egg whites and garnish with paprika if desired. Serve immediately.,214172
"In a large saucepan over medium-high heat add the apples and water. Cook until tender. Add raisins. Add sugar and stir to dissolve. When apples are tender, add butter and red cinnamon candies. Stir until melted. Spoon into a 9 by 13 inch baking pan. Bake 20-30 minutes untill brown. Serve warm.",163389
In a large saucepan over medium heat melt the butter. Add the scallions and garlic and cook for 1 minute. Add the vodka and half-and-half and bring to a boil. Reduce heat and simmer for 2 minutes. Add the tomato sauce and basil and season with garlic powder. Bring the mixture back to a simmer. Add the pasta and cook according to directions. When the pasta is done add the cheese and cook until melted. Serve immediately.,9003
