response,target_recipe
Melt the butter and mix it with the sugar and egg until creamy and smooth. Sift the flour and mix it into the mixture. Add the milk and mix again until the dough is soft and sticky and then roll it into balls of 2cm thickness and place on an oven tray lined with greaseproof paper. Gently press each ball down on the tray so that they are about 2cm thick and place one sultana on each ball and then bake for about 10 minutes until the top is golden brown. Serve hot or cold and with jam or cream.,198185
Blend banana and ice cubes in blender until smooth. Add dark creme de cacao. Pour into four tall glasses and chill. Add a few pieces of dark chocolate.,41008
"Preheat oven to 400. In a shallow dish, combine oil, mustard, parsley. Add the chicken pieces and turn to coat. Place in a single layer in a baking dish. Season with paprika. Bake for 30-45 minutes. Check doneness by inserting a knife into the thickest portion of the meat. The juices should run clear when the meat is fully cooked. Serve immediately.",47439
"Combine dry ingredients and add milk and egg. Add melted fat. Pour into a greased and floured loaf pan. Bake at 350 degrees for one hour and fifteen minutes or until golden brown and a toothpick inserted in center of bread comes out clean.
The FDA has approved the sale of the first drug to treat irritable bowel syndrome with constipation (IBS-C). The drug, Zelnorm (tegaserod), was approved by the FDA in October of 2002 as the first drug to treat IBS-D (irritable bowel syndrome with diarrhea). The drug was developed by Zelus Pharmaceuticals Inc., and will be marketed by Novartis Pharmaceuticals Corp., which acquired Zelus in March of 2002.
IBS is a chronic condition that affects the large intestine (colon) and causes symptoms such as abdominal pain and cramps, constipation or diarrhea, and gas and bloating. According to Novartis, IBS-C affects 25 to 3",375263
"Boil sprouts for 5-10 minutes. Drain well. In a small bowl mix the low sodium soy sauce, fresh ginger, minced garlic cloves, splenda granular. Toss the sprouts with the marinade. Heat the marinated sprouts in a large saute pan over medium high heat. Saute for 3 minutes or until the sprouts are heated through. Sprinkle the red pepper flakes on top. Serve immediately. Makes 4 servings.",151926
"In a large skillet, melt butter over medium-high heat. Add apples. Cook until lightly browned. Add water. Bring to a boil. Cook until tender. Remove from heat. In a small saucepan over medium heat, combine brown sugar, cinnamon, and heavy cream. Bring to a boil. Cook until thick. Drizzle over apples. Serve immediately.",377451
"Spread mayo on one slice of white bread. Add roast beef, american cheese slice, tomato, smoked ham. Fold the sandwich in half. Insert a toothpick in the sandwich to hold it together. Repeat with the other slice of white bread to make a sandwich.",199745
"Bring a large pot of lightly salted water to a boil. Add pasta and cook until tender but still firm to the bite. Drain and rinse with cold water. Combine the bacon, Miracle Whip, sugar, garlic salt and mustard. In a large bowl add the cooked pasta and mix well. Fold in the other ingredients. Cover and refrigerate for 2 hours before serving.",86059
"Mix all-purpose flour, 1/4 cup sugar, 1 tsp. baking powder and 1/4 tsp. salt in a large bowl. In a medium bowl, combine 1/2 cup of buttermilk, 1 large egg and 1/4 cup oil and beat with a wire whisk until well blended. Make a well in the center of the dry ingredients and pour in the buttermilk mixture. Stir just until a smooth batter forms. Heat a waffle iron according to the manufacturer's instructions and spray with cooking spray. Pour 1/2 cup batter into the center of the iron and cook until golden brown and crisp, about 4 minutes. Repeat with remaining batter. Serve immediately.",469808
"Cream together margarine and sugar. Sift together flour and baking soda. Add vanilla, nuts and flour mixture to creamed butter and mix well. Shape into walnut sized balls and place on ungreased cookie sheet. Press down slightly with a fork. Bake at 375 degrees for 10-12 minutes or until lightly browned. Cool on cookie sheet 1-2 minutes. Roll in powdered sugar to coat. Store in airtight container for up to 3 weeks or in freezer for 1 month.",74460
"Pour the juice from the watermelon into a pan, add the sugar and cook until it is almost syrupy. Mix the cornstarch with the milk and add to the juice. Cook until thickened and then add the vanilla extract. Pour into individual cups or bowls and chill until serving time. Serve with the crushed pistachios sprinkled on top with chocolate shavings and candied citron peel on the side.",67676
"Preheat oven to 375 degrees. Heat butter over medium heat in a large saucepan. Add the onions. Cook for 10 to 15 minutes or until golden brown. Add the beef broth and water. Bring to a boil. Add worcestershire sauce and reduce heat. Cover and cook for 5 minutes. Spoon into bowls. Top with parmesan and swiss cheese. Place under the broiler until cheese melts. Serve immediately.
Cool! I love French Onion Soup!
I love French Onion Soup!
I love French Onion Soup.
French Onion Soup is my favorite!
I love French Onion Soup! I've never tried it with cider.
I love French Onion Soup. Thanks for the recipes!
I love French Onion Soup. I have never made it at home.
I love French Onion Soup. Thanks for the giveaway.
I love French Onion Soup! I've never tried to make it at home though!
I love French Onion Soup! I would love to win!",356763
"Cook bacon in large saucepan over medium heat until crisp. Remove bacon, leaving 2 tablespoons drippings in pan. Add onioncook until tender. Stir in okra and garlic powder. Add stewed tomatoes and their liquid. Cook until okra is tender. Season with salt, pepper, and cayenne. Serve with bacon.",290538
"Preheat oven to 375 degrees. Mix together all ingredients except the rice crispies and bake for 15 minutes or until slightly brown around the edges. Stir in rice crispies and bake for 5 more minutes or until rice crispies are golden brown. Cool on wax paper.
This is my own recipe and it is delicious!!!
Cream together the brown sugar and butter until smooth and fluffy. Add the egg and vanilla and blend well. Add the flour and baking powder and stir until well mixed. Stir in the nuts and chocolate chips or raisins. Drop by teaspoons onto greased cookie sheet and bake at 375 degrees for 8-10 minutes or until done.
These are very good and I make them all the time.
These are really good and so easy to make.
Cream butter and sugar until smooth. Add eggs and vanilla and mix well. Add the flour and baking powder and mix well. Add the chocolate chips and mix well. Drop by teaspoon onto greased cookie sheet",169849
"Thinly slice beef. Combine in a medium bowl with lemon juice and soy sauce. Stir in green onion and onion. Sprinkle with red pepper flakes, if desired.",334846
"Bring a large saucepan of water to a boil. Add the frozen green beans and cook until they are bright green and tender. Drain the beans and cool them under cold running water. Meanwhile, heat the olive oil and sesame oil in a skillet. Add the mushrooms and cook until golden and browned. Add the tamari and mix thoroughly. Add the green beans and cook until heated through. Sprinkle with toasted almonds.
Green Bean Recipes for Nutrition and Health!
Green beans are a very good source of vitamin C. In fact, they are one of the top 10 food sources of vitamin C. In addition to vitamin C, green beans are also a good source of folate, and a very good source of manganese.
Green Bean Recipes for Nutrition and Health! Green beans are a very good source of vitamin C. In fact, they are one of the top 10 food sources of vitamin C. In addition to vitamin C, green beans are also a good source of folate, and a very good source of manganese.",249423
"Preheat oven to 350 degrees F (175 degrees C).Melt 2 tablespoons of the butter in a medium skillet. Sauti garlic and lemon peel in the skillet until golden brownset aside. Place the shrimp in an ungreased 1-quart baking dishsprinkle with the remaining 2 tablespoons of butter. Bake in the preheated oven until pink and cooked through, 8 to 10 minutes. Sprinkle with green onion and drizzle with the lemon juice and Tabasco sauce to taste. Serve hot.",185609
Combine sugar and butter in saucepan. Bring to boil. Remove from heat and beat in egg whites. Add flour and baking powder. Blend well. Add hot water. Pour batter into a greased and floured 9 by 13 inch baking pan. Bake at 350 degrees for 20 to 25 minutes. Remove from oven when top of the cake springs back when lightly touched. Cool on rack before removing. This cake never fails.,41911
"Preheat oven to 375 F. Lightly spray a gratin dish with cooking oil spray or brush with oil. Arrange tomatoes on bottom of dish. Season with salt and pepper and drizzle with olive oil. Place bread slices on top of tomatoes. Cover with a thin layer of prosciutto slices. Whisk together eggs, heavy cream and red wine vinegar. Pour over bread. Bake 20-30 minutes or until bubbly and golden brown. Sprinkle with chives before serving. Serve with crusty bread or crackers for dipping.",337398
"In a medium bowl combine the granola, brown sugar and cinnamon. Beat eggs with milk and melted butter until smooth. Place crescent rolls on ungreased cookie sheets. Brush the tops of each roll with the egg mixture and sprinkle with the granola mixture. Bake at 375° for 10 to 12 minutes or until golden brown. Makes 12 servings. Serve warm.
name: ooey gooey chocolatey puffed wheat squaresingredients: butter, corn syrup, brown sugar, cocoa, vanilla, marshmallows, puffed wheat cerealpreparation:Melt butter in saucepan. Add syrup, sugar, cocoa, marshmallows and vanilla. When mixture begins to bubble, remove from heat. Add puffed wheat and mix well. Put in a buttered 9 x 12-inch pan. Press down with spoon. Cut in squares.
name: chocolate puffed wheat squaresingredients: corn syrup, margarine,",88060
"In a medium bowl, beat eggs with milk and salt. Add bisquick and mix until smooth. Heat oil in a large skillet over medium-high heat. Cook ham in skillet until crisp. Remove ham from skillet and set aside. Add green bell peppers and dried onion flakes to the skillet. Cook and stir until the green peppers are just tender. In a 13x9 inch baking dish layer the ham, then the hash browns. Top with the green pepper mixture. Spread the egg mixture evenly over top. Bake, uncovered, for 30 to 35 minutes or until the top is golden brown. Let stand for 10 minutes before cutting into squares.",63985
"Make potato mixture. Combine potatoes, cheese, spices and chicken broth. Cook shells according to package directions. Drain and place in serving dish. Spoon potato mixture over top. Bake at 375F for 15 minutes or until potatoes are heated through and cheese is melted. Garnish with green onions.",206425
"Brown ground beef and onions in skillet. Add garlic powder, flour and seasonings. Add mushrooms and cream of chicken soup. Simmer until hot. Serve over noodles or rice.",123503
"Combine flour, baking powder, salt, shortening or lard in large bowl or food processor until well mixed. Beat in milk until dough is soft enough to roll. Divide dough into four balls. On lightly floured surface roll out dough to about 1/4-inch thickness. With sharp knife or pizza cutter, cut dough into 3-inch squares. With fingers or fork, gently squeeze square to make well in center of dough. Place well in center of each square. Spoon about 1/2 teaspoon of light maple syrup into each well. Fold dough over filling to cover completely. Seal edges of dough together with finger or fork. Place on ungreased cookie sheet. Bake at 400 degrees for 10 to 12 minutes until dumplings are golden brown. Makes 12 dumplings.",291632
"In a large stock pot combine apple juice and apple cider. Bring to a boil. Whisk in brown sugar and sugar. Reduce heat to medium and add 2 cinnamon sticks. Continue to boil for 1 hour. Pour in everclear grain alcohol 190 proof. Stir and mix well. Using a ladle or measuring cup with spout, pour moonshine mixture into mason jars. Seal and refrigerate for 5-6 days. Shake well before drinking. Keep refrigerated and drink responsibly.",476461
Cook minute rice in boiling water according to package directions. Rinse with cold water. Drain. Place in large bowl. Add tomatoes. Add fish fillets to minute rice mixture. Drain on paper towel. Add italian dressing. Toss gently. Sprinkle with cheese.,188058
Combine all ingredients in a large bowl. Cut tortillas into wedges. Divide mixture evenly and place on tortillas. Sprinkle with chopped parsley. Wrap tightly and refrigerate for at least 2 hours before serving.,33244
"Preheat oven to 350F. Line baking sheet with parchment paper or wax paper. Beat together butter, almond extract and vanilla in the bowl of an electric mixer fitted with the paddle attachment on medium speed until creamy. Beat in egg white until fully incorporated. Add the powdered sugar one cup at a time until mixture comes together. Beat on high speed for 5 minutes until light and fluffy. Sprinkle in blanched almonds until incorporated. Spread onto baking sheet. Bake for 10 minutes or until the mixture is crisp and lightly golden in color. Let cool completely before using or storing in an air tight container.",54148
Marinate the wings for 3 hours or overnight in the refrigerator in the marinade. Place in a greased roasting pan. Bake uncovered at 400°F for 40 to 45 minutes until browned and cooked through. Remove from the oven and mix 1/3 cup of the marinade with 2 Tbsp of water. Pour over the chicken wings and return to the oven for 5 more minutes or until bubbly and glazed. Serve hot.,42968
"In a large saute pan over medium heat, add the butter, leeks and parsley. Cook until the leeks are tender. Add the tomatoes and cook until the sauce has thickened. Remove from the heat and set aside to cool. Place the dough on a floured surface and roll into an 11 inch circle. Spread half of the leek and tomato mixture on the dough. Sprinkle the remaining half of the leek and tomato mixture on top of the dough. Sprinkle the montrachet and parsley on top. Bake in a preheated oven at 400 degrees for 15 to 20 minutes.",3431
Prepare the dip mix according to the package directions. Spread the bottom of a 9-inch pie plate with the mayonnaise. Sprinkle the chicken breasts with the seasoning mix. Place each chicken breast on top of the dip mix in the pie plate. Top with the onion dip mix and the panko breadcrumbs.,301650
"Beat first 3 ingredients at medium speed with a mixer until well blendedStir in chips and toffee piecesSpread into a pie pan or shallow dishSpread topping over cream cheese mixtureCover and refrigerate until ready to serveJust before serving, core and cut apples into wedgesArrange around edge of pan or dishServe with apple wedges.",393138
Combine gelatin and hot water in a large bowl and stir well. Add frozen strawberries and stir well. Add dry pudding and stir well. Place a layer of angel food cake in the bottom of a 9x13 pan and spread half of the jello mixture on top. Add a layer of the miniature marshmallows and repeat the process. Top with a layer of the cool whip and repeat the process one last time. Sprinkle fresh strawberries on the top of the dessert before serving.,216032
"Season the rump roast with salt and pepper. Place the roast in a 5 or 6 quart crockpot. Add the potatoes, carrots, onions and celery. Pour the cider over the vegetables. Place the bay leaf and the marjoram in the crockpot. Cook the roast slowly for 6 to 8 hours. Serve with gravy.",395991
"Bring 2 cups of chicken broth to a boil. Add the uncooked rice and cook until the rice is done, about 20 minutes. Cool the mixture slightly, then pour into a blender or food processor. Blend or process until smooth. Beat in the egg yolks and 2 tablespoons of lemon juice until well combined. Return the mixture to the saucepan. Cook over medium heat until the mixture thickens enough to coat the back of a wooden spoon. Remove from the heat and stir in the remaining lemon juice. Season with the oregano, parsley, pepper, and Tabasco to taste. Serve warm.",246032
"Melt the butter in a large saucepan over low heat. Stir in the syrup, brown sugar and porridge oats. Heat and stir over low heat until the mixture is the consistency of thick batter. Remove from heat. Put in a greased 8 inch square pan. Cut into squares.",347385
Prepare pie crust according to package directions. Crumble beef into bowl. Add hot dogs. Stir in beans. Spoon into pie crust. Bake at 350 degrees F for 1 hour. Sprinkle with brown sugar. Bake 10 minutes longer or until crust is browned. Spread with mustard. Top with cheese. Cut into wedges.,341856
"In a heavy-bottomed pan, heat the oil over medium high heat until hot and shimmering. Add the cloves, cardamom and bay leaves and saute until the spices are aromatic and the bay leaves are crisp and fragrant. Add the rice, stir well and add the cinnamon stick. Saute the rice for 3 minutes and then add the cumin and stir to combine. Add the water and bring to a boil over high heat. Reduce the heat to low and cover the pan with a tight fitting lid. Simmer until the liquid is absorbed, about 15 minutes. Remove from heat and let stand covered 5 minutes before serving. Garnish with coriander and serve hot.",186797
Combine pudding mix with milk as per instructions on pudding box. Mix pudding well until smooth. Fold in chocolate chips. Spread over prebaked pie crust. Refrigerate.,401886
"Mix cornmeal and flour in bowl. Add eggs and mix well. Add sugar and mix until well combined. Add vinegar and mix well. Add margarine and mix until well blended. Add milk and stir until well combined. Pour into unbaked pie shell and bake in 350 degree oven until golden brown. Cool completely and serve.
 peanut butter and jelly cupcakesingredients: cupcake mix, peanut butter, jellypreparation:Combine cupcake mix with peanut butter and jelly. Mix well and bake according to package directions. Top with melted chocolate and enjoy.",140603
"In a large bowl, combine the cornmeal and milk. In a separate small saucepan, combine the sugar and waterbring to a boil and boil for 1 minute. Remove from heat and stir in the vanilla and the baking powder. Add the hot liquid to the cornmeal mixture and beat until smooth. Add the eggs and the butter and beat until combined. Pour into a greased and lightly floured 9 inch square pan or 8 inch round cake pan and bake for 45-50 minutes or until the bread is firm in the center. Cool for 5 minutes before serving. Serves 8.
If you are not going to be using your oven to roast or cook anything else during the time it takes to bake the bread, turn it on and leave the oven door slightly open (about 1/2 inch) to reduce the drying effect of the heat on the dough.
You can also place a shallow pan of boiling water in the oven during the last 20 minutes of the bread's cooking time to add steam to the oven and prevent the loaf from drying out",113636
"Preheat oven to 400 degrees. Wash new potatoes and slice into 1/2 inch slices. In a large bowl combine potatoes, olive oil and salt/pepper. Spread evenly onto a baking sheet. Roast for 20-30 minutes or until golden brown. Remove from oven and sprinkle with italian cheese blend and fresh basil. Return to oven for 5 more minutes or until cheese is melted and bubbly. Garnish with green onions. Serves 4-6.",493047
"Cut stomach into pieces. Place in a pot with enough water to cover the stomach pieces. Add sausage, potato, cabbage and onion. Bring to a boil and simmer for 3 hours. When done add more salt to taste and black pepper.",232856
"In saucepan combine first 4 ingredients, stirring with whisk until smoothcook over medium heat until thickened and bubbly. Cool completelystir in lemon juice and juice. Spoon sauce over slices of ice creamtop with peaches.",51163
"Cream sugar and butter in large mixer bowl. Beat in egg and vanilla. Stir in flour and oats. Press mixture evenly onto ungreased 12 x 15-inch baking sheet. Bake at 350 degrees F for 20 minutes or until crust is lightly browned. Spread caramels over hot crust. Bake 2-1/2 to 3 minutes longer or until caramels are melted. Spread over hot crust with a knife or spatula. Cool completely. Break into pieces. In microwave, melt chocolate chips, half-and-half, and cashew pieces in small microwave-safe bowl on high for 45 seconds or until smoothstir until smooth. Drizzle over broken pieces of crust. Cool. Store in tightly covered container in refrigerator.",30840
Dip each chicken breast in a mixture of half flour and half seasonings. Brown in hot butter in skillet. Add chicken broth and continue cooking until chicken is done. Stir in lemon juice. Serve over hot rice.,307525
"Cook pasta to package directions. Drain pasta and add to serving bowl. Add olive oil and basil and toss. Add salt and pepper to taste. Serve.
How do you think about the Linguine ?
Linguine 2008",228281
"Preheat oven to 375f degrees Fahrenheit. In a small bowl, mix together the brown sugar with the garlic powder and onion powder. Coat a baking dish with cooking spray and place the smokies in the baking dish in a single layer. Wrap each smokie with 2 strips of the bacon, folding the ends to secure the wrap. Brush the wrapped smokies with the brown sugar mixture. Bake for about 20 minutes or until the bacon is browned and the smokies are heated through. Serve hot.",339184
Prepare french loaf by slicing off top and removing crust. Slice into 2 inch thick slices. Butter both sides of slices. Combine mozzarella cheese with blue cheese dressing. Spread between slices. Top with diced tomato. Broil for about a minute or until cheese is melted. Serves 4.,316064
Mix all ingredients together in a large bowl. Shape into balls. Brown in a skillet. Serve with your favorite pasta sauce.,432394
"Line the bottom of a 6 inch round glass dish with vanilla wafers. Pour 1/3 cup hot water over the wafers to soften them. Add a layer of 1/2 the prepared pudding. Spread half the prepared whipped topping over the pudding. Sprinkle with 1/4 cup cocoa powder. Repeat the layers with the remaining wafer, hot water, pudding, and topping. Refrigerate for several hours. Garnish with a dollop of whipped topping and sprinkle with remaining cocoa powder. Serves 2.",198914
"Place 1/2 cup yogurt in a small bowlstir in 1/2 cup raspberry jam until blended. Set aside. Prepare 2 cups cooked vanilla pudding according to package directions using skim milk as directed on the package. Cool slightly. Slice angel food cake into 1-inch slices. Layer half of the cake in the bottom of a 10-cup trifle dishtop with half the yogurt mixture, half the pudding, half the peaches in syrup, half the sherry, and half the mint sprig. Repeat layers. Refrigerate at least 2 hours or until ready to serve.",2828
Combine all of the ingredients. Pour into an ice chest and freeze. Take out and serve.,373424
"In medium saucepan combine 1/2 cup water and 1/2 cup sugarstir over medium heat until sugar is dissolved. Add cranberries and stir. Cook for 15 minutes or until tender. Drain mixture well. In large bowl, combine cranberries with remaining water and sugar. Add orange juice. Stir until mixture is well mixed. Add dried cherries and nuts. Refrigerate for 2 hours or until mixture is cold. Stir in Grand Marnier. Serve with turkey.",194408
"Preheat oven to 350 degrees F (175 degrees C). Grease 8 or 9 inch square baking dish. In a large bowl, cream together the butter and sugar. Beat in the egg. Stir in the milk. In a separate bowl, whisk together the flour, baking powder, and saltadd to the creamed mixture alternately with the milk. Spread batter evenly into prepared pan. Bake for 20 to 25 minutes in the preheated oven, or until a toothpick inserted into the center comes out clean.",225635
"Mix together 1/4 cup butter and 2 eggs. Spread over half of a flour tortilla. Layer cooked ham, onions and cheese. Fold other half of the tortilla over and seal the edges with egg mixture. Roll up and cut into 1 inch slices. Melt butter in small skillet and brown each slice of the rolled tortilla. Serve with sour cream.",172057
"Place the soaked beans in a large saucepan with the bay leaves and enough water to cover by 1 inch. Bring to a boil over high heat. Reduce the heat to low, cover, and simmer until the beans are tender (about 2 hours). Drain the beans. Meanwhile, heat the oil in a large skillet over medium heat. Add the onion and sauté for 3 minutes. Add the garlic and sauté for 1 minute. Add the chorizo and sauté until the fat is rendered (about 8 minutes). Add the sage leaves and cook until they wilt (about 1 minute). Stir the cooked beans into the skillet. Season with the salt and freshly ground black pepper to taste. Serve with cheese.",235994
"Combine goat cheese, cream cheese and parmesan in a small bowl until smooth. Divide mixture into 4 portions, and shape each into a 1-inch-thick log. Wrap each log in 3 pieces of plastic wrap, then wrap in foil. Place on grill rack coated with cooking spraygrill 12 minutes or until heated through. Meanwhile, in a small bowl combine tomato juice, juice from 1 lime, and next 5 ingredientsstir well. Serve dip with peppers.",377222
"In a shallow bowl combine the melted butter and lemon juice. Dip fish into butter mixture, then press into the spice mixture. Place in a shallow casserole sprayed with non-stick cooking spray. Bake at 450 degrees for about 15 minutes, or until fish flakes when pressed.
I like to serve this with a side of rice pilaf and california blend veggies.
Crush ritz crackers. Add parsley, greek seasoning, salt, and pepper to ritz mixture. Combine egg and milk. Heat large skillet over med-high heat. Dip fish in egg wash and ritz mixture. Cook in olive oil in skillet 3 minutes on each side.
Whilst broccoli is still hot from blanching, heat the butter and extra virgin olive oil in a pan until a light brown colour. Add roasted almond flakes and toss. Place blanched broccoli in pan. Pour over with juice of the lemon, and use seasonings to taste. Serve.
Melt the butter in a",189236
Cut the sausage into 1 inch pieces and brown. Drain grease. Add the remaining ingredients. Cook over medium heat until heated through. Serve with rice.,527429
Salt & pepper the pork chops. Brown both sides of the pork chops in butter. Add onions & saute until tender. Add the remaining ingredients. Bring to a boil. Reduce heat & simmer for 1 hour. Serve over rice.,388215
"Heat oven to 350 degrees F. Place chicken breasts in shallow dish and sprinkle with seasoned salt and pepper. Heat real butter in heavy skillet over medium-high heat. Add chicken and cook for 5 minutes. Turn and cook an additional 5 minutes. Remove from skillet and set aside. Add garlic to skillet and cook 1 minute. Add broccoli and cook 2 minutes. Add wine and cook 2 minutes. Add heavy cream and cook 5 minutes or until cream is thickened and chicken is cooked through. Spoon half the chicken, broccoli and sauce on top of ziti. Cover with remaining sauce and sprinkle with parmesan cheese. Bake 30 minutes or until hot and bubbly.",102704
"In a large skillet over medium heat, add olive oil. Add ginger and garlic cloves and cook until softened and fragrant. Add flounder filets and season well with fresh cracked pepper. Add white wine and cook until liquid evaporates and fish is cooked through. In a small bowl mix together soy sauce and hoisin sauce. Remove fish from skillet and place on a plate. Pour sauce over fish and top with scallion slices and sesame seeds. Serve over rice and enjoy.
name: flounder with white wine sauce
ingredients: flounder fillets, salt, black pepper, white wine, butter, lemon juice, capers, fresh parsley
preparation:Preheat grill to medium-high heat. Cut 4 pieces of aluminum foil twice the size of each fillet. Place each fillet on a piece of foil. Sprinkle fish evenly with salt and pepper. Top each with 1 tablespoon wine, 1 tablespoon butter, 2 teaspoons lemon juice, 1 te",314086
Season fish with lemon juice and white pepper to taste. Dill can be used with or without the lemon juice. Cover and refrigerate 4 hours or overnight. Serve on toasted bread with mayonnaise and lemon slices on the side.,127792
Combine all ingredients except shrimp in a small bowl until blended. Gently fold in shrimp. Refrigerate until ready to serve. Makes 4 servings.,365837
"Cook ground beef until brown in skillet. Add carrot, Chinese bellflower, and bean sprouts. Cook until wilted. Add rice and mix well. Add dried mushrooms and boiling water. Cook until hot. Add lettuce and stir gently. Cook until lettuce is wilted but still bright green. Add egg and stir gently. Add red pepper paste to taste and stir gently. Serve hot.",14627
"Combine first 6 ingredients in medium bowlpour over chicken. Marinate in refrigerator for 30 minutes. Grill as directed. Meanwhile, combine remaining 3 ingredients in medium bowl. Serve with chicken. Yield: 12 servings.",84028
"Place the rice vinegar, sugar, salt and sake in a nonreactive pot. Add the kombu and bring to a boil over medium heat, stirring constantly until the sugar is dissolved. Cool and store up to 2 weeks covered in the refrigerator.",522874
Beat together the first 7 ingredients. Add the other 6 and beat until smooth. Pour into a greased 9 x 13 pan. Sprinkle with dry cake mix. Sprinkle with walnuts. Bake at 350 for 45 minutes. Serve with ice cream or cool whip.,290294
"In a large saucepan saute garlic and butter. Add the onion and saute until soft and translucent. Add the broth, clams and bring to a boil. Reduce heat and simmer about 10 minutes or until the clams open. Add cream of mushroom soup and stir until melted. Add the pepper and half-and-half. Heat until hot. Do not boil after adding the cream of mushroom soup or it will curdle. Serves 4 to 6.",255621
"In a heavy based pan, heat half of the olive oil. Add half of the plum tomatoes and half of the white onion. Stir well. Add 1/2 tsp of the garlic cloves, 2 of the thyme sprigs and 1 tsp of the sugar. Season with salt and pepper. Cook until the tomatoes soften. In another pan, heat the remaining olive oil. Add the remaining plum tomatoes, white onion, 1 garlic clove, remaining thyme sprig and remaining sugar. Cook until soft. Add the vegetable stock and simmer for 2 minutes. Add the basil. Season with salt and pepper. Add the tomato mixture to the pan of the roasted tomatoes. Bring to the boil then season again with salt and pepper. Serve warm.",370287
